Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/neos-3426132-dieze.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          neos-3426132-dieze
At line 2 ROWS
At line 574 COLUMNS
At line 23677 RHS
At line 23698 BOUNDS
At line 35249 ENDATA
Problem neos-3426132-dieze has 570 rows, 11550 columns and 22550 elements
Coin0008I neos-3426132-dieze read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 401.995 - 0.341042 seconds
Cgl0004I processed model has 570 rows, 11550 columns (11550 integer (2750 of which binary)) and 22550 elements
Coin3009W Conflict graph built in 0.009 seconds, density: 0.001%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0031I 979 added rows had average density of 15.916241
Cbc0013I At root node, 979 cuts changed objective from 401.9952 to 401.9952 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 3175 row cuts average 5.4 elements, 0 column cuts (253 active)  in 1.830 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 7538 row cuts average 34.1 elements, 0 column cuts (0 active)  in 6.404 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 506 row cuts average 4.7 elements, 0 column cuts (0 active)  in 0.431 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.002 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.003 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 461 row cuts average 12.5 elements, 0 column cuts (0 active)  in 0.383 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 786 row cuts average 3.0 elements, 0 column cuts (0 active)  in 0.378 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 5396 row cuts average 19.3 elements, 0 column cuts (0 active)  in 3.692 seconds - new frequency is -100
Cbc0014I Cut generator 8 (ZeroHalf) - 317 row cuts average 22.8 elements, 0 column cuts (0 active)  in 5.608 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible 401.9952 (52.00 seconds)
Cbc0010I After 69 nodes, 51 on tree, 1e+50 best solution, best possible 401.9952 (78.28 seconds)
Cbc0010I After 72 nodes, 53 on tree, 1e+50 best solution, best possible 401.9952 (79.22 seconds)
Cbc0010I After 75 nodes, 54 on tree, 1e+50 best solution, best possible 401.9952 (80.11 seconds)
Cbc0010I After 78 nodes, 56 on tree, 1e+50 best solution, best possible 401.9952 (80.91 seconds)
Cbc0010I After 81 nodes, 58 on tree, 1e+50 best solution, best possible 401.9952 (81.68 seconds)
Cbc0010I After 84 nodes, 60 on tree, 1e+50 best solution, best possible 401.9952 (82.59 seconds)
Cbc0010I After 87 nodes, 62 on tree, 1e+50 best solution, best possible 401.9952 (83.43 seconds)
Cbc0010I After 90 nodes, 64 on tree, 1e+50 best solution, best possible 401.9952 (84.32 seconds)
Cbc0010I After 93 nodes, 66 on tree, 1e+50 best solution, best possible 401.9952 (85.19 seconds)
Cbc0010I After 96 nodes, 68 on tree, 1e+50 best solution, best possible 401.9952 (86.08 seconds)
Cbc0010I After 99 nodes, 70 on tree, 1e+50 best solution, best possible 401.9952 (86.91 seconds)
Cbc0010I After 102 nodes, 72 on tree, 1e+50 best solution, best possible 401.9952 (87.82 seconds)
Cbc0010I After 105 nodes, 74 on tree, 1e+50 best solution, best possible 401.9952 (88.81 seconds)
Cbc0010I After 108 nodes, 76 on tree, 1e+50 best solution, best possible 401.9952 (89.73 seconds)
Cbc0010I After 111 nodes, 78 on tree, 1e+50 best solution, best possible 401.9952 (90.66 seconds)
Cbc0010I After 114 nodes, 80 on tree, 1e+50 best solution, best possible 401.9952 (91.62 seconds)
Cbc0010I After 117 nodes, 82 on tree, 1e+50 best solution, best possible 401.9952 (92.56 seconds)
Cbc0010I After 120 nodes, 84 on tree, 1e+50 best solution, best possible 401.9952 (93.49 seconds)
Cbc0010I After 123 nodes, 86 on tree, 1e+50 best solution, best possible 401.9952 (94.31 seconds)
Cbc0010I After 126 nodes, 88 on tree, 1e+50 best solution, best possible 401.9952 (95.39 seconds)
Cbc0010I After 129 nodes, 90 on tree, 1e+50 best solution, best possible 401.9952 (96.28 seconds)
Cbc0010I After 132 nodes, 92 on tree, 1e+50 best solution, best possible 401.9952 (97.11 seconds)
Cbc0010I After 135 nodes, 94 on tree, 1e+50 best solution, best possible 401.9952 (97.92 seconds)
Cbc0010I After 138 nodes, 96 on tree, 1e+50 best solution, best possible 401.9952 (98.73 seconds)
Cbc0010I After 141 nodes, 98 on tree, 1e+50 best solution, best possible 401.9952 (99.60 seconds)
Cbc0010I After 144 nodes, 100 on tree, 1e+50 best solution, best possible 401.9952 (100.42 seconds)
Cbc0010I After 147 nodes, 102 on tree, 1e+50 best solution, best possible 401.9952 (101.34 seconds)
Cbc0010I After 150 nodes, 104 on tree, 1e+50 best solution, best possible 401.9952 (102.41 seconds)
Cbc0010I After 153 nodes, 105 on tree, 1e+50 best solution, best possible 401.9952 (103.36 seconds)
Cbc0010I After 156 nodes, 107 on tree, 1e+50 best solution, best possible 401.9952 (104.25 seconds)
Cbc0010I After 159 nodes, 109 on tree, 1e+50 best solution, best possible 401.9952 (105.07 seconds)
Cbc0010I After 162 nodes, 111 on tree, 1e+50 best solution, best possible 401.9952 (106.18 seconds)
Cbc0010I After 165 nodes, 113 on tree, 1e+50 best solution, best possible 401.9952 (107.25 seconds)
Cbc0010I After 168 nodes, 115 on tree, 1e+50 best solution, best possible 401.9952 (108.31 seconds)
Cbc0010I After 171 nodes, 117 on tree, 1e+50 best solution, best possible 401.9952 (109.17 seconds)
Cbc0010I After 174 nodes, 119 on tree, 1e+50 best solution, best possible 401.9952 (110.08 seconds)
Cbc0010I After 177 nodes, 121 on tree, 1e+50 best solution, best possible 401.9952 (111.00 seconds)
Cbc0010I After 180 nodes, 123 on tree, 1e+50 best solution, best possible 401.9952 (111.95 seconds)
Cbc0010I After 183 nodes, 125 on tree, 1e+50 best solution, best possible 401.9952 (113.01 seconds)
Cbc0010I After 186 nodes, 126 on tree, 1e+50 best solution, best possible 401.9952 (114.11 seconds)
Cbc0010I After 189 nodes, 128 on tree, 1e+50 best solution, best possible 401.9952 (115.36 seconds)
Cbc0010I After 192 nodes, 130 on tree, 1e+50 best solution, best possible 401.9952 (116.40 seconds)
Cbc0010I After 195 nodes, 132 on tree, 1e+50 best solution, best possible 401.9952 (117.34 seconds)
Cbc0010I After 198 nodes, 134 on tree, 1e+50 best solution, best possible 401.9952 (118.31 seconds)
Cbc0010I After 201 nodes, 136 on tree, 1e+50 best solution, best possible 401.9952 (119.25 seconds)
Cbc0010I After 204 nodes, 138 on tree, 1e+50 best solution, best possible 401.9952 (120.23 seconds)
Cbc0010I After 207 nodes, 140 on tree, 1e+50 best solution, best possible 401.9952 (121.08 seconds)
Cbc0010I After 210 nodes, 142 on tree, 1e+50 best solution, best possible 401.9952 (122.01 seconds)
Cbc0010I After 213 nodes, 144 on tree, 1e+50 best solution, best possible 401.9952 (122.95 seconds)
Cbc0010I After 216 nodes, 146 on tree, 1e+50 best solution, best possible 401.9952 (123.79 seconds)
Cbc0010I After 219 nodes, 148 on tree, 1e+50 best solution, best possible 401.9952 (124.66 seconds)
Cbc0010I After 222 nodes, 149 on tree, 1e+50 best solution, best possible 401.9952 (125.41 seconds)
Cbc0010I After 225 nodes, 151 on tree, 1e+50 best solution, best possible 401.9952 (126.26 seconds)
Cbc0010I After 228 nodes, 153 on tree, 1e+50 best solution, best possible 401.9952 (127.14 seconds)
Cbc0010I After 231 nodes, 155 on tree, 1e+50 best solution, best possible 401.9952 (127.92 seconds)
Cbc0010I After 234 nodes, 157 on tree, 1e+50 best solution, best possible 401.9952 (128.76 seconds)
Cbc0010I After 237 nodes, 159 on tree, 1e+50 best solution, best possible 401.9952 (129.60 seconds)
Cbc0010I After 240 nodes, 161 on tree, 1e+50 best solution, best possible 401.9952 (130.35 seconds)
Cbc0010I After 243 nodes, 163 on tree, 1e+50 best solution, best possible 401.9952 (131.47 seconds)
Cbc0010I After 246 nodes, 165 on tree, 1e+50 best solution, best possible 401.9952 (132.25 seconds)
Cbc0010I After 249 nodes, 167 on tree, 1e+50 best solution, best possible 401.9952 (133.15 seconds)
Cbc0010I After 252 nodes, 169 on tree, 1e+50 best solution, best possible 401.9952 (134.05 seconds)
Cbc0010I After 255 nodes, 170 on tree, 1e+50 best solution, best possible 401.9952 (134.83 seconds)
Cbc0010I After 258 nodes, 172 on tree, 1e+50 best solution, best possible 401.9952 (135.68 seconds)
Cbc0010I After 261 nodes, 174 on tree, 1e+50 best solution, best possible 401.9952 (136.44 seconds)
Cbc0010I After 264 nodes, 176 on tree, 1e+50 best solution, best possible 401.9952 (137.28 seconds)
Cbc0010I After 267 nodes, 178 on tree, 1e+50 best solution, best possible 401.9952 (138.01 seconds)
Cbc0010I After 270 nodes, 180 on tree, 1e+50 best solution, best possible 401.9952 (138.74 seconds)
Cbc0010I After 273 nodes, 182 on tree, 1e+50 best solution, best possible 401.9952 (139.45 seconds)
Cbc0010I After 276 nodes, 184 on tree, 1e+50 best solution, best possible 401.9952 (140.18 seconds)
Cbc0010I After 279 nodes, 186 on tree, 1e+50 best solution, best possible 401.9952 (140.89 seconds)
Cbc0010I After 282 nodes, 187 on tree, 1e+50 best solution, best possible 401.9952 (141.66 seconds)
Cbc0010I After 285 nodes, 189 on tree, 1e+50 best solution, best possible 401.9952 (142.36 seconds)
Cbc0010I After 288 nodes, 191 on tree, 1e+50 best solution, best possible 401.9952 (143.07 seconds)
Cbc0010I After 291 nodes, 193 on tree, 1e+50 best solution, best possible 401.9952 (143.77 seconds)
Cbc0010I After 294 nodes, 194 on tree, 1e+50 best solution, best possible 401.9952 (144.61 seconds)
Cbc0010I After 297 nodes, 196 on tree, 1e+50 best solution, best possible 401.9952 (145.36 seconds)
Cbc0010I After 300 nodes, 197 on tree, 1e+50 best solution, best possible 401.9952 (146.13 seconds)
Cbc0010I After 303 nodes, 199 on tree, 1e+50 best solution, best possible 401.9952 (146.84 seconds)
Cbc0010I After 306 nodes, 201 on tree, 1e+50 best solution, best possible 401.9952 (147.62 seconds)
Cbc0010I After 310 nodes, 203 on tree, 1e+50 best solution, best possible 401.9952 (148.40 seconds)
Cbc0010I After 312 nodes, 204 on tree, 1e+50 best solution, best possible 401.9952 (149.17 seconds)
Cbc0010I After 315 nodes, 205 on tree, 1e+50 best solution, best possible 401.9952 (149.94 seconds)
Cbc0010I After 318 nodes, 207 on tree, 1e+50 best solution, best possible 401.9952 (150.72 seconds)
Cbc0010I After 322 nodes, 209 on tree, 1e+50 best solution, best possible 401.9952 (151.50 seconds)
Cbc0010I After 324 nodes, 210 on tree, 1e+50 best solution, best possible 401.9952 (152.26 seconds)
Cbc0010I After 327 nodes, 212 on tree, 1e+50 best solution, best possible 401.9952 (153.09 seconds)
Cbc0010I After 330 nodes, 214 on tree, 1e+50 best solution, best possible 401.9952 (153.90 seconds)
Cbc0010I After 333 nodes, 214 on tree, 1e+50 best solution, best possible 401.9952 (154.72 seconds)
Cbc0010I After 336 nodes, 216 on tree, 1e+50 best solution, best possible 401.9952 (155.50 seconds)
Cbc0010I After 339 nodes, 218 on tree, 1e+50 best solution, best possible 401.9952 (156.22 seconds)
Cbc0010I After 342 nodes, 220 on tree, 1e+50 best solution, best possible 401.9952 (156.95 seconds)
Cbc0010I After 345 nodes, 222 on tree, 1e+50 best solution, best possible 401.9952 (157.68 seconds)
Cbc0010I After 348 nodes, 224 on tree, 1e+50 best solution, best possible 401.9952 (158.41 seconds)
Cbc0010I After 351 nodes, 226 on tree, 1e+50 best solution, best possible 401.9952 (159.22 seconds)
Cbc0010I After 354 nodes, 227 on tree, 1e+50 best solution, best possible 401.9952 (159.96 seconds)
Cbc0010I After 357 nodes, 229 on tree, 1e+50 best solution, best possible 401.9952 (160.69 seconds)
Cbc0010I After 361 nodes, 231 on tree, 1e+50 best solution, best possible 401.9952 (161.45 seconds)
Cbc0010I After 365 nodes, 234 on tree, 1e+50 best solution, best possible 401.9952 (162.22 seconds)
Cbc0010I After 367 nodes, 235 on tree, 1e+50 best solution, best possible 401.9952 (162.94 seconds)
Cbc0010I After 370 nodes, 237 on tree, 1e+50 best solution, best possible 401.9952 (163.68 seconds)
Cbc0010I After 372 nodes, 239 on tree, 1e+50 best solution, best possible 401.9952 (164.41 seconds)
Cbc0010I After 375 nodes, 240 on tree, 1e+50 best solution, best possible 401.9952 (165.15 seconds)
Cbc0010I After 379 nodes, 242 on tree, 1e+50 best solution, best possible 401.9952 (166.04 seconds)
Cbc0010I After 381 nodes, 244 on tree, 1e+50 best solution, best possible 401.9952 (166.75 seconds)
Cbc0010I After 384 nodes, 246 on tree, 1e+50 best solution, best possible 401.9952 (167.45 seconds)
Cbc0010I After 387 nodes, 247 on tree, 1e+50 best solution, best possible 401.9952 (168.39 seconds)
Cbc0010I After 390 nodes, 249 on tree, 1e+50 best solution, best possible 401.9952 (169.15 seconds)
Cbc0010I After 394 nodes, 251 on tree, 1e+50 best solution, best possible 401.9952 (169.92 seconds)
Cbc0010I After 396 nodes, 253 on tree, 1e+50 best solution, best possible 401.9952 (170.64 seconds)
Cbc0010I After 399 nodes, 255 on tree, 1e+50 best solution, best possible 401.9952 (171.39 seconds)
Cbc0010I After 402 nodes, 257 on tree, 1e+50 best solution, best possible 401.9952 (172.27 seconds)
Cbc0010I After 405 nodes, 259 on tree, 1e+50 best solution, best possible 401.9952 (173.13 seconds)
Cbc0010I After 409 nodes, 261 on tree, 1e+50 best solution, best possible 401.9952 (173.88 seconds)
Cbc0010I After 411 nodes, 263 on tree, 1e+50 best solution, best possible 401.9952 (174.63 seconds)
Cbc0010I After 414 nodes, 265 on tree, 1e+50 best solution, best possible 401.9952 (175.41 seconds)
Cbc0010I After 417 nodes, 267 on tree, 1e+50 best solution, best possible 401.9952 (176.25 seconds)
Cbc0010I After 420 nodes, 269 on tree, 1e+50 best solution, best possible 401.9952 (177.01 seconds)
Cbc0010I After 423 nodes, 271 on tree, 1e+50 best solution, best possible 401.9952 (177.74 seconds)
Cbc0010I After 426 nodes, 273 on tree, 1e+50 best solution, best possible 401.9952 (178.54 seconds)
Cbc0010I After 430 nodes, 275 on tree, 1e+50 best solution, best possible 401.9952 (179.33 seconds)
Cbc0010I After 432 nodes, 277 on tree, 1e+50 best solution, best possible 401.9952 (180.10 seconds)
Cbc0010I After 435 nodes, 279 on tree, 1e+50 best solution, best possible 401.9952 (180.82 seconds)
Cbc0010I After 438 nodes, 281 on tree, 1e+50 best solution, best possible 401.9952 (181.59 seconds)
Cbc0010I After 441 nodes, 282 on tree, 1e+50 best solution, best possible 401.9952 (182.37 seconds)
Cbc0010I After 445 nodes, 284 on tree, 1e+50 best solution, best possible 401.9952 (183.15 seconds)
Cbc0010I After 449 nodes, 287 on tree, 1e+50 best solution, best possible 401.9952 (183.89 seconds)
Cbc0010I After 452 nodes, 289 on tree, 1e+50 best solution, best possible 401.9952 (184.61 seconds)
Cbc0010I After 456 nodes, 292 on tree, 1e+50 best solution, best possible 401.9952 (185.82 seconds)
Cbc0010I After 459 nodes, 294 on tree, 1e+50 best solution, best possible 401.9952 (186.65 seconds)
Cbc0010I After 463 nodes, 296 on tree, 1e+50 best solution, best possible 401.9952 (187.36 seconds)
Cbc0010I After 467 nodes, 298 on tree, 1e+50 best solution, best possible 401.9952 (188.09 seconds)
Cbc0010I After 470 nodes, 300 on tree, 1e+50 best solution, best possible 401.9952 (188.87 seconds)
Cbc0010I After 473 nodes, 301 on tree, 1e+50 best solution, best possible 401.9952 (189.57 seconds)
Cbc0010I After 477 nodes, 304 on tree, 1e+50 best solution, best possible 401.9952 (190.72 seconds)
Cbc0010I After 480 nodes, 306 on tree, 1e+50 best solution, best possible 401.9952 (191.49 seconds)
Cbc0010I After 484 nodes, 308 on tree, 1e+50 best solution, best possible 401.9952 (192.26 seconds)
Cbc0010I After 488 nodes, 311 on tree, 1e+50 best solution, best possible 401.9952 (192.99 seconds)
Cbc0010I After 491 nodes, 313 on tree, 1e+50 best solution, best possible 401.9952 (193.76 seconds)
Cbc0010I After 494 nodes, 315 on tree, 1e+50 best solution, best possible 401.9952 (194.51 seconds)
Cbc0010I After 498 nodes, 318 on tree, 1e+50 best solution, best possible 401.9952 (195.72 seconds)
Cbc0010I After 502 nodes, 320 on tree, 1e+50 best solution, best possible 401.9952 (196.48 seconds)
Cbc0010I After 504 nodes, 322 on tree, 1e+50 best solution, best possible 401.9952 (197.28 seconds)
Cbc0010I After 507 nodes, 324 on tree, 1e+50 best solution, best possible 401.9952 (198.00 seconds)
Cbc0010I After 511 nodes, 325 on tree, 1e+50 best solution, best possible 401.9952 (198.74 seconds)
Cbc0010I After 514 nodes, 327 on tree, 1e+50 best solution, best possible 401.9952 (199.49 seconds)
Cbc0010I After 517 nodes, 329 on tree, 1e+50 best solution, best possible 401.9952 (200.22 seconds)
Cbc0010I After 521 nodes, 332 on tree, 1e+50 best solution, best possible 401.9952 (201.00 seconds)
Cbc0010I After 525 nodes, 335 on tree, 1e+50 best solution, best possible 401.9952 (202.21 seconds)
Cbc0010I After 528 nodes, 336 on tree, 1e+50 best solution, best possible 401.9952 (203.01 seconds)
Cbc0010I After 532 nodes, 338 on tree, 1e+50 best solution, best possible 401.9952 (203.77 seconds)
Cbc0010I After 536 nodes, 341 on tree, 1e+50 best solution, best possible 401.9952 (204.52 seconds)
Cbc0010I After 540 nodes, 343 on tree, 1e+50 best solution, best possible 401.9952 (205.81 seconds)
Cbc0010I After 543 nodes, 346 on tree, 1e+50 best solution, best possible 401.9952 (206.54 seconds)
Cbc0010I After 547 nodes, 348 on tree, 1e+50 best solution, best possible 401.9952 (207.30 seconds)
Cbc0010I After 551 nodes, 351 on tree, 1e+50 best solution, best possible 401.9952 (208.02 seconds)
Cbc0010I After 555 nodes, 354 on tree, 1e+50 best solution, best possible 401.9952 (209.22 seconds)
Cbc0010I After 559 nodes, 356 on tree, 1e+50 best solution, best possible 401.9952 (209.95 seconds)
Cbc0010I After 564 nodes, 360 on tree, 1e+50 best solution, best possible 401.9952 (211.21 seconds)
Cbc0010I After 568 nodes, 361 on tree, 1e+50 best solution, best possible 401.9952 (211.94 seconds)
Cbc0010I After 572 nodes, 364 on tree, 1e+50 best solution, best possible 401.9952 (212.69 seconds)
Cbc0010I After 574 nodes, 365 on tree, 1e+50 best solution, best possible 401.9952 (213.42 seconds)
Cbc0010I After 577 nodes, 366 on tree, 1e+50 best solution, best possible 401.9952 (214.14 seconds)
Cbc0010I After 579 nodes, 367 on tree, 1e+50 best solution, best possible 401.9952 (214.84 seconds)
Cbc0010I After 582 nodes, 370 on tree, 1e+50 best solution, best possible 401.9952 (215.65 seconds)
Cbc0010I After 585 nodes, 371 on tree, 1e+50 best solution, best possible 401.9952 (216.42 seconds)
Cbc0010I After 588 nodes, 373 on tree, 1e+50 best solution, best possible 401.9952 (217.20 seconds)
Cbc0010I After 592 nodes, 375 on tree, 1e+50 best solution, best possible 401.9952 (217.97 seconds)
Cbc0010I After 594 nodes, 376 on tree, 1e+50 best solution, best possible 401.9952 (218.70 seconds)
Cbc0010I After 597 nodes, 378 on tree, 1e+50 best solution, best possible 401.9952 (219.42 seconds)
Cbc0010I After 600 nodes, 379 on tree, 1e+50 best solution, best possible 401.9952 (220.21 seconds)
Cbc0010I After 603 nodes, 381 on tree, 1e+50 best solution, best possible 401.9952 (220.93 seconds)
Cbc0010I After 606 nodes, 383 on tree, 1e+50 best solution, best possible 401.9952 (221.76 seconds)
Cbc0010I After 610 nodes, 385 on tree, 1e+50 best solution, best possible 401.9952 (222.52 seconds)
Cbc0010I After 613 nodes, 387 on tree, 1e+50 best solution, best possible 401.9952 (223.27 seconds)
Cbc0010I After 617 nodes, 389 on tree, 1e+50 best solution, best possible 401.9952 (224.03 seconds)
Cbc0010I After 621 nodes, 392 on tree, 1e+50 best solution, best possible 401.9952 (225.22 seconds)
Cbc0010I After 624 nodes, 394 on tree, 1e+50 best solution, best possible 401.9952 (225.94 seconds)
Cbc0010I After 627 nodes, 396 on tree, 1e+50 best solution, best possible 401.9952 (226.66 seconds)
Cbc0010I After 630 nodes, 398 on tree, 1e+50 best solution, best possible 401.9952 (227.52 seconds)
Cbc0010I After 633 nodes, 400 on tree, 1e+50 best solution, best possible 401.9952 (228.29 seconds)
Cbc0010I After 636 nodes, 401 on tree, 1e+50 best solution, best possible 401.9952 (229.03 seconds)
Cbc0010I After 639 nodes, 403 on tree, 1e+50 best solution, best possible 401.9952 (229.78 seconds)
Cbc0010I After 642 nodes, 404 on tree, 1e+50 best solution, best possible 401.9952 (230.50 seconds)
Cbc0010I After 645 nodes, 407 on tree, 1e+50 best solution, best possible 401.9952 (231.24 seconds)
Cbc0010I After 648 nodes, 409 on tree, 1e+50 best solution, best possible 401.9952 (232.16 seconds)
Cbc0010I After 651 nodes, 411 on tree, 1e+50 best solution, best possible 401.9952 (232.91 seconds)
Cbc0010I After 654 nodes, 412 on tree, 1e+50 best solution, best possible 401.9952 (233.64 seconds)
Cbc0010I After 658 nodes, 414 on tree, 1e+50 best solution, best possible 401.9952 (234.43 seconds)
Cbc0010I After 661 nodes, 415 on tree, 1e+50 best solution, best possible 401.9952 (235.23 seconds)
Cbc0010I After 665 nodes, 418 on tree, 1e+50 best solution, best possible 401.9952 (235.99 seconds)
Cbc0010I After 668 nodes, 420 on tree, 1e+50 best solution, best possible 401.9952 (236.74 seconds)
Cbc0010I After 671 nodes, 422 on tree, 1e+50 best solution, best possible 401.9952 (237.50 seconds)
Cbc0010I After 673 nodes, 423 on tree, 1e+50 best solution, best possible 401.9952 (238.24 seconds)
Cbc0010I After 677 nodes, 426 on tree, 1e+50 best solution, best possible 401.9952 (238.96 seconds)
Cbc0010I After 681 nodes, 429 on tree, 1e+50 best solution, best possible 401.9952 (240.27 seconds)
Cbc0010I After 685 nodes, 431 on tree, 1e+50 best solution, best possible 401.9952 (241.02 seconds)
Cbc0010I After 688 nodes, 431 on tree, 1e+50 best solution, best possible 401.9952 (241.74 seconds)
Cbc0010I After 691 nodes, 433 on tree, 1e+50 best solution, best possible 401.9952 (242.50 seconds)
Cbc0010I After 695 nodes, 436 on tree, 1e+50 best solution, best possible 401.9952 (243.21 seconds)
Cbc0010I After 699 nodes, 439 on tree, 1e+50 best solution, best possible 401.9952 (244.36 seconds)
Cbc0010I After 702 nodes, 440 on tree, 1e+50 best solution, best possible 401.9952 (245.11 seconds)
Cbc0010I After 705 nodes, 442 on tree, 1e+50 best solution, best possible 401.9952 (245.82 seconds)
Cbc0010I After 709 nodes, 444 on tree, 1e+50 best solution, best possible 401.9952 (246.61 seconds)
Cbc0010I After 712 nodes, 446 on tree, 1e+50 best solution, best possible 401.9952 (247.35 seconds)
