Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/neos-2657525-crna.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          neos-2657525-crna
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2657525-crna has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2657525-crna read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.007514 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (121 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.056%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0031I 6 added rows had average density of 76.333333
Cbc0013I At root node, 6 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 2 row cuts average 15.0 elements, 0 column cuts (0 active)  in 0.140 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 58 row cuts average 275.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.027 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.004 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 13 row cuts average 16.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 7 (TwoMirCuts) - 81 row cuts average 86.6 elements, 0 column cuts (0 active)  in 0.069 seconds - new frequency is -100
Cbc0010I After 1 nodes, 2 on tree, 1e+50 best solution, best possible 0 (0.71 seconds)
Cbc0010I After 4129 nodes, 165 on tree, 1e+50 best solution, best possible 0 (16.19 seconds)
Cbc0010I After 4438 nodes, 165 on tree, 1e+50 best solution, best possible 0 (16.89 seconds)
Cbc0010I After 4700 nodes, 163 on tree, 1e+50 best solution, best possible 0 (17.59 seconds)
Cbc0010I After 4976 nodes, 172 on tree, 1e+50 best solution, best possible 0 (18.29 seconds)
Cbc0010I After 5211 nodes, 221 on tree, 1e+50 best solution, best possible 0 (18.99 seconds)
Cbc0010I After 5488 nodes, 205 on tree, 1e+50 best solution, best possible 0 (19.70 seconds)
Cbc0010I After 5720 nodes, 203 on tree, 1e+50 best solution, best possible 0 (20.40 seconds)
Cbc0010I After 5873 nodes, 198 on tree, 1e+50 best solution, best possible 0 (21.11 seconds)
Cbc0010I After 6060 nodes, 198 on tree, 1e+50 best solution, best possible 0 (21.81 seconds)
Cbc0010I After 6278 nodes, 204 on tree, 1e+50 best solution, best possible 0 (22.51 seconds)
Cbc0010I After 6581 nodes, 216 on tree, 1e+50 best solution, best possible 0 (23.21 seconds)
Cbc0010I After 6928 nodes, 211 on tree, 1e+50 best solution, best possible 0 (23.91 seconds)
Cbc0010I After 7175 nodes, 200 on tree, 1e+50 best solution, best possible 0 (24.61 seconds)
Cbc0010I After 7407 nodes, 198 on tree, 1e+50 best solution, best possible 0 (25.31 seconds)
Cbc0010I After 7668 nodes, 202 on tree, 1e+50 best solution, best possible 0 (26.01 seconds)
Cbc0010I After 7942 nodes, 203 on tree, 1e+50 best solution, best possible 0 (26.72 seconds)
Cbc0010I After 8162 nodes, 200 on tree, 1e+50 best solution, best possible 0 (27.42 seconds)
Cbc0010I After 8412 nodes, 203 on tree, 1e+50 best solution, best possible 0 (28.12 seconds)
Cbc0010I After 8670 nodes, 194 on tree, 1e+50 best solution, best possible 0 (28.82 seconds)
Cbc0010I After 8877 nodes, 200 on tree, 1e+50 best solution, best possible 0 (29.52 seconds)
Cbc0010I After 9054 nodes, 221 on tree, 1e+50 best solution, best possible 0 (30.22 seconds)
Cbc0010I After 9301 nodes, 218 on tree, 1e+50 best solution, best possible 0 (30.93 seconds)
Cbc0010I After 9469 nodes, 220 on tree, 1e+50 best solution, best possible 0 (31.63 seconds)
Cbc0010I After 9681 nodes, 218 on tree, 1e+50 best solution, best possible 0 (32.34 seconds)
Cbc0010I After 9896 nodes, 221 on tree, 1e+50 best solution, best possible 0 (33.04 seconds)
Cbc0010I After 10102 nodes, 211 on tree, 1e+50 best solution, best possible 0 (33.74 seconds)
Cbc0010I After 10354 nodes, 212 on tree, 1e+50 best solution, best possible 0 (34.44 seconds)
Cbc0010I After 10547 nodes, 216 on tree, 1e+50 best solution, best possible 0 (35.14 seconds)
Cbc0010I After 10775 nodes, 219 on tree, 1e+50 best solution, best possible 0 (35.85 seconds)
Cbc0010I After 10999 nodes, 210 on tree, 1e+50 best solution, best possible 0 (36.55 seconds)
Cbc0010I After 11093 nodes, 253 on tree, 1e+50 best solution, best possible 0 (37.25 seconds)
Cbc0010I After 11168 nodes, 285 on tree, 1e+50 best solution, best possible 0 (37.95 seconds)
Cbc0010I After 11304 nodes, 325 on tree, 1e+50 best solution, best possible 0 (38.66 seconds)
Cbc0010I After 11431 nodes, 344 on tree, 1e+50 best solution, best possible 0 (39.37 seconds)
Cbc0010I After 11579 nodes, 404 on tree, 1e+50 best solution, best possible 0 (40.07 seconds)
Cbc0010I After 11702 nodes, 446 on tree, 1e+50 best solution, best possible 0 (40.78 seconds)
Cbc0010I After 11823 nodes, 481 on tree, 1e+50 best solution, best possible 0 (41.49 seconds)
Cbc0010I After 11929 nodes, 520 on tree, 1e+50 best solution, best possible 0 (42.19 seconds)
Cbc0010I After 12100 nodes, 566 on tree, 1e+50 best solution, best possible 0 (42.90 seconds)
Cbc0010I After 12270 nodes, 603 on tree, 1e+50 best solution, best possible 0 (43.61 seconds)
Cbc0010I After 12436 nodes, 638 on tree, 1e+50 best solution, best possible 0 (44.31 seconds)
Cbc0010I After 12567 nodes, 669 on tree, 1e+50 best solution, best possible 0 (45.01 seconds)
Cbc0010I After 12717 nodes, 706 on tree, 1e+50 best solution, best possible 0 (45.72 seconds)
Cbc0010I After 12837 nodes, 740 on tree, 1e+50 best solution, best possible 0 (46.43 seconds)
Cbc0010I After 12965 nodes, 774 on tree, 1e+50 best solution, best possible 0 (47.13 seconds)
Cbc0010I After 13236 nodes, 797 on tree, 1e+50 best solution, best possible 0 (47.83 seconds)
Cbc0010I After 13472 nodes, 792 on tree, 1e+50 best solution, best possible 0 (48.53 seconds)
Cbc0010I After 13774 nodes, 796 on tree, 1e+50 best solution, best possible 0 (49.23 seconds)
Cbc0010I After 14015 nodes, 785 on tree, 1e+50 best solution, best possible 0 (49.93 seconds)
Cbc0010I After 14283 nodes, 775 on tree, 1e+50 best solution, best possible 0 (50.63 seconds)
Cbc0010I After 14565 nodes, 783 on tree, 1e+50 best solution, best possible 0 (51.34 seconds)
Cbc0010I After 14884 nodes, 793 on tree, 1e+50 best solution, best possible 0 (52.04 seconds)
Cbc0010I After 15158 nodes, 781 on tree, 1e+50 best solution, best possible 0 (52.74 seconds)
Cbc0010I After 15375 nodes, 784 on tree, 1e+50 best solution, best possible 0 (53.44 seconds)
Cbc0010I After 15650 nodes, 784 on tree, 1e+50 best solution, best possible 0 (54.14 seconds)
Cbc0010I After 15961 nodes, 785 on tree, 1e+50 best solution, best possible 0 (54.84 seconds)
Cbc0010I After 16266 nodes, 781 on tree, 1e+50 best solution, best possible 0 (55.54 seconds)
Cbc0010I After 16617 nodes, 778 on tree, 1e+50 best solution, best possible 0 (56.25 seconds)
Cbc0010I After 16966 nodes, 791 on tree, 1e+50 best solution, best possible 0 (56.95 seconds)
Cbc0010I After 17255 nodes, 790 on tree, 1e+50 best solution, best possible 0 (57.65 seconds)
Cbc0010I After 17616 nodes, 789 on tree, 1e+50 best solution, best possible 0 (58.36 seconds)
Cbc0010I After 17900 nodes, 792 on tree, 1e+50 best solution, best possible 0 (59.06 seconds)
Cbc0010I After 18231 nodes, 800 on tree, 1e+50 best solution, best possible 0 (59.76 seconds)
Cbc0010I After 18597 nodes, 785 on tree, 1e+50 best solution, best possible 0 (60.46 seconds)
Cbc0010I After 18957 nodes, 789 on tree, 1e+50 best solution, best possible 0 (61.16 seconds)
Cbc0010I After 19304 nodes, 787 on tree, 1e+50 best solution, best possible 0 (61.86 seconds)
Cbc0010I After 19684 nodes, 784 on tree, 1e+50 best solution, best possible 0 (62.56 seconds)
Cbc0010I After 20129 nodes, 786 on tree, 1e+50 best solution, best possible 0 (63.26 seconds)
Cbc0010I After 20554 nodes, 786 on tree, 1e+50 best solution, best possible 0 (63.96 seconds)
Cbc0010I After 20975 nodes, 789 on tree, 1e+50 best solution, best possible 0 (64.67 seconds)
Cbc0010I After 21419 nodes, 792 on tree, 1e+50 best solution, best possible 0 (65.37 seconds)
Cbc0010I After 21833 nodes, 789 on tree, 1e+50 best solution, best possible 0 (66.07 seconds)
Cbc0010I After 22199 nodes, 791 on tree, 1e+50 best solution, best possible 0 (66.77 seconds)
Cbc0010I After 22617 nodes, 783 on tree, 1e+50 best solution, best possible 0 (67.47 seconds)
Cbc0010I After 23017 nodes, 786 on tree, 1e+50 best solution, best possible 0 (68.17 seconds)
Cbc0010I After 23403 nodes, 783 on tree, 1e+50 best solution, best possible 0 (68.87 seconds)
Cbc0010I After 23764 nodes, 783 on tree, 1e+50 best solution, best possible 0 (69.57 seconds)
Cbc0010I After 24025 nodes, 781 on tree, 1e+50 best solution, best possible 0 (70.27 seconds)
Cbc0010I After 24309 nodes, 782 on tree, 1e+50 best solution, best possible 0 (70.97 seconds)
Cbc0010I After 24613 nodes, 785 on tree, 1e+50 best solution, best possible 0 (71.68 seconds)
Cbc0010I After 24975 nodes, 784 on tree, 1e+50 best solution, best possible 0 (72.38 seconds)
Cbc0010I After 25252 nodes, 778 on tree, 1e+50 best solution, best possible 0 (73.08 seconds)
Cbc0010I After 25569 nodes, 782 on tree, 1e+50 best solution, best possible 0 (73.78 seconds)
Cbc0010I After 25950 nodes, 777 on tree, 1e+50 best solution, best possible 0 (74.48 seconds)
Cbc0010I After 26316 nodes, 781 on tree, 1e+50 best solution, best possible 0 (75.18 seconds)
Cbc0010I After 26629 nodes, 779 on tree, 1e+50 best solution, best possible 0 (75.88 seconds)
Cbc0010I After 26953 nodes, 784 on tree, 1e+50 best solution, best possible 0 (76.58 seconds)
Cbc0010I After 27269 nodes, 780 on tree, 1e+50 best solution, best possible 0 (77.29 seconds)
Cbc0010I After 27628 nodes, 781 on tree, 1e+50 best solution, best possible 0 (77.99 seconds)
Cbc0010I After 27978 nodes, 777 on tree, 1e+50 best solution, best possible 0 (78.69 seconds)
Cbc0010I After 28321 nodes, 780 on tree, 1e+50 best solution, best possible 0 (79.39 seconds)
Cbc0010I After 28609 nodes, 779 on tree, 1e+50 best solution, best possible 0 (80.09 seconds)
Cbc0010I After 28919 nodes, 779 on tree, 1e+50 best solution, best possible 0 (80.80 seconds)
Cbc0010I After 29202 nodes, 780 on tree, 1e+50 best solution, best possible 0 (81.50 seconds)
Cbc0010I After 29547 nodes, 777 on tree, 1e+50 best solution, best possible 0 (82.20 seconds)
Cbc0010I After 29849 nodes, 784 on tree, 1e+50 best solution, best possible 0 (82.90 seconds)
Cbc0010I After 30178 nodes, 782 on tree, 1e+50 best solution, best possible 0 (83.60 seconds)
Cbc0010I After 30468 nodes, 783 on tree, 1e+50 best solution, best possible 0 (84.30 seconds)
Cbc0010I After 30816 nodes, 780 on tree, 1e+50 best solution, best possible 0 (85.00 seconds)
Cbc0010I After 31135 nodes, 784 on tree, 1e+50 best solution, best possible 0 (85.71 seconds)
Cbc0010I After 31465 nodes, 780 on tree, 1e+50 best solution, best possible 0 (86.41 seconds)
Cbc0010I After 31796 nodes, 781 on tree, 1e+50 best solution, best possible 0 (87.11 seconds)
Cbc0010I After 32112 nodes, 777 on tree, 1e+50 best solution, best possible 0 (87.81 seconds)
Cbc0010I After 32445 nodes, 779 on tree, 1e+50 best solution, best possible 0 (88.51 seconds)
Cbc0010I After 32789 nodes, 777 on tree, 1e+50 best solution, best possible 0 (89.21 seconds)
Cbc0010I After 33187 nodes, 775 on tree, 1e+50 best solution, best possible 0 (89.91 seconds)
Cbc0010I After 33551 nodes, 786 on tree, 1e+50 best solution, best possible 0 (90.62 seconds)
Cbc0010I After 33911 nodes, 780 on tree, 1e+50 best solution, best possible 0 (91.32 seconds)
Cbc0010I After 34301 nodes, 780 on tree, 1e+50 best solution, best possible 0 (92.02 seconds)
Cbc0010I After 34713 nodes, 778 on tree, 1e+50 best solution, best possible 0 (92.72 seconds)
Cbc0010I After 35041 nodes, 782 on tree, 1e+50 best solution, best possible 0 (93.42 seconds)
Cbc0010I After 35418 nodes, 780 on tree, 1e+50 best solution, best possible 0 (94.12 seconds)
Cbc0010I After 35823 nodes, 784 on tree, 1e+50 best solution, best possible 0 (94.82 seconds)
Cbc0010I After 36217 nodes, 776 on tree, 1e+50 best solution, best possible 0 (95.52 seconds)
Cbc0010I After 36650 nodes, 782 on tree, 1e+50 best solution, best possible 0 (96.23 seconds)
Cbc0010I After 37022 nodes, 775 on tree, 1e+50 best solution, best possible 0 (96.93 seconds)
Cbc0010I After 37418 nodes, 779 on tree, 1e+50 best solution, best possible 0 (97.63 seconds)
Cbc0010I After 37827 nodes, 784 on tree, 1e+50 best solution, best possible 0 (98.33 seconds)
Cbc0010I After 38213 nodes, 782 on tree, 1e+50 best solution, best possible 0 (99.03 seconds)
Cbc0010I After 38610 nodes, 786 on tree, 1e+50 best solution, best possible 0 (99.73 seconds)
Cbc0010I After 39005 nodes, 780 on tree, 1e+50 best solution, best possible 0 (100.43 seconds)
Cbc0010I After 39418 nodes, 780 on tree, 1e+50 best solution, best possible 0 (101.14 seconds)
Cbc0010I After 39878 nodes, 780 on tree, 1e+50 best solution, best possible 0 (101.84 seconds)
Cbc0010I After 40295 nodes, 778 on tree, 1e+50 best solution, best possible 0 (102.54 seconds)
Cbc0010I After 40671 nodes, 784 on tree, 1e+50 best solution, best possible 0 (103.24 seconds)
Cbc0010I After 41022 nodes, 777 on tree, 1e+50 best solution, best possible 0 (103.94 seconds)
Cbc0010I After 41459 nodes, 782 on tree, 1e+50 best solution, best possible 0 (104.64 seconds)
Cbc0010I After 41796 nodes, 768 on tree, 1e+50 best solution, best possible 0 (105.34 seconds)
Cbc0010I After 42118 nodes, 779 on tree, 1e+50 best solution, best possible 0 (106.04 seconds)
Cbc0010I After 42450 nodes, 782 on tree, 1e+50 best solution, best possible 0 (106.74 seconds)
Cbc0010I After 42815 nodes, 784 on tree, 1e+50 best solution, best possible 0 (107.44 seconds)
Cbc0010I After 43146 nodes, 777 on tree, 1e+50 best solution, best possible 0 (108.14 seconds)
Cbc0010I After 43547 nodes, 786 on tree, 1e+50 best solution, best possible 0 (108.84 seconds)
Cbc0010I After 44040 nodes, 788 on tree, 1e+50 best solution, best possible 0 (109.54 seconds)
Cbc0010I After 44478 nodes, 792 on tree, 1e+50 best solution, best possible 0 (110.25 seconds)
Cbc0010I After 44881 nodes, 790 on tree, 1e+50 best solution, best possible 0 (110.95 seconds)
Cbc0010I After 45164 nodes, 788 on tree, 1e+50 best solution, best possible 0 (111.65 seconds)
Cbc0010I After 45562 nodes, 786 on tree, 1e+50 best solution, best possible 0 (112.35 seconds)
Cbc0010I After 45925 nodes, 789 on tree, 1e+50 best solution, best possible 0 (113.06 seconds)
Cbc0010I After 46297 nodes, 782 on tree, 1e+50 best solution, best possible 0 (113.76 seconds)
Cbc0010I After 46675 nodes, 788 on tree, 1e+50 best solution, best possible 0 (114.46 seconds)
Cbc0010I After 47014 nodes, 784 on tree, 1e+50 best solution, best possible 0 (115.16 seconds)
Cbc0010I After 47379 nodes, 794 on tree, 1e+50 best solution, best possible 0 (115.86 seconds)
Cbc0010I After 47727 nodes, 787 on tree, 1e+50 best solution, best possible 0 (116.56 seconds)
Cbc0010I After 48131 nodes, 782 on tree, 1e+50 best solution, best possible 0 (117.26 seconds)
Cbc0010I After 48479 nodes, 783 on tree, 1e+50 best solution, best possible 0 (117.97 seconds)
Cbc0010I After 48859 nodes, 781 on tree, 1e+50 best solution, best possible 0 (118.67 seconds)
Cbc0010I After 49141 nodes, 792 on tree, 1e+50 best solution, best possible 0 (119.37 seconds)
Cbc0010I After 49405 nodes, 790 on tree, 1e+50 best solution, best possible 0 (120.07 seconds)
Cbc0010I After 49710 nodes, 787 on tree, 1e+50 best solution, best possible 0 (120.78 seconds)
Cbc0010I After 49977 nodes, 788 on tree, 1e+50 best solution, best possible 0 (121.48 seconds)
Cbc0010I After 50328 nodes, 781 on tree, 1e+50 best solution, best possible 0 (122.18 seconds)
Cbc0010I After 50684 nodes, 782 on tree, 1e+50 best solution, best possible 0 (122.88 seconds)
Cbc0010I After 51031 nodes, 784 on tree, 1e+50 best solution, best possible 0 (123.58 seconds)
Cbc0010I After 51404 nodes, 782 on tree, 1e+50 best solution, best possible 0 (124.28 seconds)
Cbc0010I After 51726 nodes, 781 on tree, 1e+50 best solution, best possible 0 (124.98 seconds)
Cbc0010I After 52104 nodes, 782 on tree, 1e+50 best solution, best possible 0 (125.68 seconds)
Cbc0010I After 52430 nodes, 782 on tree, 1e+50 best solution, best possible 0 (126.39 seconds)
Cbc0010I After 52808 nodes, 785 on tree, 1e+50 best solution, best possible 0 (127.09 seconds)
Cbc0010I After 53126 nodes, 791 on tree, 1e+50 best solution, best possible 0 (127.79 seconds)
Cbc0010I After 53380 nodes, 786 on tree, 1e+50 best solution, best possible 0 (128.49 seconds)
Cbc0010I After 53681 nodes, 781 on tree, 1e+50 best solution, best possible 0 (129.19 seconds)
Cbc0016I Integer solution of 15.444248 found by strong branching after 493977 iterations and 53772 nodes (129.35 seconds)
Cbc0010I After 53937 nodes, 811 on tree, 15.444248 best solution, best possible 0 (129.89 seconds)
Cbc0010I After 54079 nodes, 868 on tree, 15.444248 best solution, best possible 0 (130.60 seconds)
Cbc0010I After 54208 nodes, 908 on tree, 15.444248 best solution, best possible 0 (131.30 seconds)
Cbc0010I After 54299 nodes, 944 on tree, 15.444248 best solution, best possible 0 (132.00 seconds)
Cbc0010I After 54438 nodes, 997 on tree, 15.444248 best solution, best possible 0 (132.70 seconds)
Cbc0010I After 54564 nodes, 1035 on tree, 15.444248 best solution, best possible 0 (133.41 seconds)
Cbc0010I After 54691 nodes, 1080 on tree, 15.444248 best solution, best possible 0 (134.11 seconds)
Cbc0010I After 54878 nodes, 1133 on tree, 15.444248 best solution, best possible 0 (134.81 seconds)
Cbc0010I After 55030 nodes, 1169 on tree, 15.444248 best solution, best possible 0 (135.51 seconds)
Cbc0010I After 55169 nodes, 1225 on tree, 15.444248 best solution, best possible 0 (136.22 seconds)
Cbc0010I After 55277 nodes, 1266 on tree, 15.444248 best solution, best possible 0 (136.92 seconds)
Cbc0010I After 55416 nodes, 1306 on tree, 15.444248 best solution, best possible 0 (137.62 seconds)
Cbc0010I After 55554 nodes, 1344 on tree, 15.444248 best solution, best possible 0 (138.33 seconds)
Cbc0010I After 55662 nodes, 1384 on tree, 15.444248 best solution, best possible 0 (139.03 seconds)
Cbc0010I After 55803 nodes, 1408 on tree, 15.444248 best solution, best possible 0 (139.74 seconds)
Cbc0010I After 55959 nodes, 1444 on tree, 15.444248 best solution, best possible 0 (140.44 seconds)
Cbc0010I After 56102 nodes, 1454 on tree, 15.444248 best solution, best possible 0 (141.14 seconds)
Cbc0010I After 56280 nodes, 1469 on tree, 15.444248 best solution, best possible 0 (141.85 seconds)
Cbc0010I After 56427 nodes, 1492 on tree, 15.444248 best solution, best possible 0 (142.55 seconds)
Cbc0010I After 56568 nodes, 1543 on tree, 15.444248 best solution, best possible 0 (143.25 seconds)
Cbc0010I After 56724 nodes, 1581 on tree, 15.444248 best solution, best possible 0 (143.95 seconds)
Cbc0010I After 56850 nodes, 1614 on tree, 15.444248 best solution, best possible 0 (144.66 seconds)
Cbc0010I After 56997 nodes, 1638 on tree, 15.444248 best solution, best possible 0 (145.36 seconds)
Cbc0010I After 57514 nodes, 1634 on tree, 15.444248 best solution, best possible 0 (146.06 seconds)
Cbc0010I After 57998 nodes, 1635 on tree, 15.444248 best solution, best possible 0 (146.76 seconds)
Cbc0010I After 58161 nodes, 1676 on tree, 15.444248 best solution, best possible 0 (147.46 seconds)
Cbc0010I After 58319 nodes, 1692 on tree, 15.444248 best solution, best possible 0 (148.17 seconds)
Cbc0010I After 58483 nodes, 1751 on tree, 15.444248 best solution, best possible 0 (148.87 seconds)
Cbc0010I After 58606 nodes, 1811 on tree, 15.444248 best solution, best possible 0 (149.57 seconds)
Cbc0010I After 58802 nodes, 1869 on tree, 15.444248 best solution, best possible 0 (150.28 seconds)
Cbc0010I After 58991 nodes, 1915 on tree, 15.444248 best solution, best possible 0 (150.98 seconds)
Cbc0010I After 59139 nodes, 1958 on tree, 15.444248 best solution, best possible 0 (151.68 seconds)
Cbc0010I After 59285 nodes, 2012 on tree, 15.444248 best solution, best possible 0 (152.39 seconds)
Cbc0010I After 59404 nodes, 2051 on tree, 15.444248 best solution, best possible 0 (153.09 seconds)
Cbc0010I After 59553 nodes, 2112 on tree, 15.444248 best solution, best possible 0 (153.80 seconds)
Cbc0010I After 59697 nodes, 2125 on tree, 15.444248 best solution, best possible 0 (154.50 seconds)
Cbc0010I After 59840 nodes, 2171 on tree, 15.444248 best solution, best possible 0 (155.21 seconds)
Cbc0010I After 60001 nodes, 2221 on tree, 15.444248 best solution, best possible 0 (155.92 seconds)
Cbc0010I After 60144 nodes, 2270 on tree, 15.444248 best solution, best possible 0 (156.62 seconds)
Cbc0010I After 60281 nodes, 2315 on tree, 15.444248 best solution, best possible 0 (157.33 seconds)
Cbc0010I After 60523 nodes, 2387 on tree, 15.444248 best solution, best possible 0 (158.03 seconds)
Cbc0010I After 60706 nodes, 2447 on tree, 15.444248 best solution, best possible 0 (158.73 seconds)
Cbc0010I After 60853 nodes, 2499 on tree, 15.444248 best solution, best possible 0 (159.43 seconds)
Cbc0010I After 61069 nodes, 2553 on tree, 15.444248 best solution, best possible 0 (160.13 seconds)
Cbc0010I After 61447 nodes, 2549 on tree, 15.444248 best solution, best possible 0 (160.84 seconds)
Cbc0010I After 61722 nodes, 2550 on tree, 15.444248 best solution, best possible 0 (161.56 seconds)
Cbc0010I After 62036 nodes, 2558 on tree, 15.444248 best solution, best possible 0 (162.26 seconds)
Cbc0010I After 62187 nodes, 2605 on tree, 15.444248 best solution, best possible 0 (162.96 seconds)
Cbc0010I After 62334 nodes, 2657 on tree, 15.444248 best solution, best possible 0 (163.67 seconds)
Cbc0010I After 62476 nodes, 2694 on tree, 15.444248 best solution, best possible 0 (164.37 seconds)
Cbc0010I After 62650 nodes, 2752 on tree, 15.444248 best solution, best possible 0 (165.07 seconds)
Cbc0010I After 62823 nodes, 2792 on tree, 15.444248 best solution, best possible 0 (165.78 seconds)
Cbc0010I After 62979 nodes, 2835 on tree, 15.444248 best solution, best possible 0 (166.48 seconds)
Cbc0010I After 63155 nodes, 2874 on tree, 15.444248 best solution, best possible 0 (167.18 seconds)
Cbc0010I After 63350 nodes, 2916 on tree, 15.444248 best solution, best possible 0 (167.89 seconds)
Cbc0010I After 63559 nodes, 2961 on tree, 15.444248 best solution, best possible 0 (168.59 seconds)
Cbc0010I After 63753 nodes, 2986 on tree, 15.444248 best solution, best possible 0 (169.29 seconds)
