Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/cod105.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          cod105
At line 2 ROWS
At line 1028 COLUMNS
At line 59399 RHS
At line 60424 BOUNDS
At line 61449 ENDATA
Problem cod105 has 1024 rows, 1024 columns and 57344 elements
Coin0008I cod105 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is -18.2857 - 16.1239 seconds
Cgl0004I processed model has 1024 rows, 1024 columns (1024 integer (1024 of which binary)) and 57344 elements
Coin3009W Conflict graph built in 0.172 seconds, density: 9.444%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 694 integers unsatisfied sum - 18.2857
Cbc0038I Solution found of -0
Cbc0038I Before mini branch and bound, 330 integers at bound fixed and 0 continuous
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 694 columns - too large
Cbc0038I Mini branch and bound did not improve solution (20.02 seconds)
Cbc0038I Round again with cutoff of -2.72848
Cbc0038I Pass   1: suminf.    0.27152 (1) obj. -2.72848 iterations 3023
Cbc0038I Solution found of -3
Cbc0038I Rounding solution of -9 is better than previous of -3
Cbc0038I Before mini branch and bound, 329 integers at bound fixed and 0 continuous
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 695 columns - 2 fixed gives 912, 257 - still too large
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 912 rows 257 columns - too large
Cbc0038I Mini branch and bound did not improve solution (41.53 seconds)
Cbc0038I Round again with cutoff of -11.6571
Cbc0038I Pass   2: suminf.   11.65706 (83) obj. -11.6571 iterations 270
Cbc0038I Pass   3: suminf.    8.02039 (165) obj. -11.6571 iterations 1094
Cbc0038I Pass   4: suminf.    2.44826 (188) obj. -11.6571 iterations 1522
Cbc0038I Solution found of -12
Cbc0038I Before mini branch and bound, 234 integers at bound fixed and 0 continuous
Cbc0038I Mini branch and bound did not improve solution (44.75 seconds)
Cbc0038I Round again with cutoff of -14.5856
Cbc0038I Pass   5: suminf.   14.58564 (166) obj. -14.5856 iterations 723
Cbc0038I Pass   6: suminf.   14.58564 (214) obj. -14.5856 iterations 1053
Cbc0038I Pass   7: suminf.   14.58565 (172) obj. -14.5856 iterations 1594
Cbc0038I Pass   8: suminf.   14.91891 (183) obj. -14.9189 iterations 1310
Cbc0038I Pass   9: suminf.   14.58564 (164) obj. -14.5856 iterations 1666
Cbc0038I Pass  10: suminf.   14.60790 (173) obj. -14.6079 iterations 1369
Cbc0038I Pass  11: suminf.   15.14544 (194) obj. -15.1454 iterations 1571
Cbc0038I Pass  12: suminf.   14.99747 (187) obj. -14.9975 iterations 1723
Cbc0038I Pass  13: suminf.   15.22992 (200) obj. -15.2299 iterations 1554
Cbc0038I Pass  14: suminf.   14.84902 (181) obj. -14.849 iterations 1644
Cbc0038I Pass  15: suminf.   14.80463 (180) obj. -14.8046 iterations 1777
Cbc0038I Pass  16: suminf.   14.97305 (182) obj. -14.973 iterations 1624
Cbc0038I Pass  17: suminf.   14.96192 (179) obj. -14.9619 iterations 1590
Cbc0038I Pass  18: suminf.   14.87465 (180) obj. -14.8747 iterations 1441
Cbc0038I No solution found this major pass
Cbc0038I After 68.97 seconds - Feasibility pump exiting with objective of -12 - took 50.03 seconds
Cbc0012I Integer solution of -12 found by feasibility pump after 0 iterations and 0 nodes (68.97 seconds)
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 698 columns - 12 fixed gives 0, 0 - ok now
Cbc0013I At root node, 0 cuts changed objective from -18.285714 to -18.285714 in 1 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.321 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 1.259 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.111 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 2.111 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.023 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, -12 best solution, best possible -18.285714 (532.44 seconds)
Cbc0010I After 893 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2267.65 seconds)
Cbc0010I After 895 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2268.52 seconds)
Cbc0010I After 897 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2269.41 seconds)
Cbc0010I After 899 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2270.24 seconds)
Cbc0010I After 901 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2271.01 seconds)
Cbc0010I After 903 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2272.43 seconds)
Cbc0010I After 905 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2273.34 seconds)
Cbc0010I After 907 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2274.32 seconds)
Cbc0010I After 909 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2275.10 seconds)
Cbc0010I After 911 nodes, 255 on tree, -12 best solution, best possible -18.285714 (2276.03 seconds)
Cbc0010I After 913 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2276.76 seconds)
Cbc0010I After 915 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2277.51 seconds)
Cbc0010I After 917 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2278.22 seconds)
Cbc0010I After 920 nodes, 252 on tree, -12 best solution, best possible -18.285714 (2279.20 seconds)
Cbc0010I After 923 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2280.16 seconds)
Cbc0010I After 926 nodes, 252 on tree, -12 best solution, best possible -18.285714 (2281.92 seconds)
Cbc0010I After 928 nodes, 250 on tree, -12 best solution, best possible -18.285714 (2282.65 seconds)
Cbc0010I After 930 nodes, 252 on tree, -12 best solution, best possible -18.285714 (2283.89 seconds)
Cbc0010I After 932 nodes, 252 on tree, -12 best solution, best possible -18.285714 (2284.79 seconds)
Cbc0010I After 935 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2286.23 seconds)
Cbc0010I After 937 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2287.18 seconds)
Cbc0010I After 939 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2287.96 seconds)
Cbc0010I After 941 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2288.82 seconds)
Cbc0010I After 943 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2289.53 seconds)
Cbc0010I After 945 nodes, 249 on tree, -12 best solution, best possible -18.285714 (2290.25 seconds)
Cbc0010I After 948 nodes, 250 on tree, -12 best solution, best possible -18.285714 (2291.63 seconds)
Cbc0010I After 950 nodes, 250 on tree, -12 best solution, best possible -18.285714 (2292.64 seconds)
Cbc0010I After 952 nodes, 250 on tree, -12 best solution, best possible -18.285714 (2293.48 seconds)
Cbc0010I After 954 nodes, 248 on tree, -12 best solution, best possible -18.285714 (2294.22 seconds)
Cbc0010I After 957 nodes, 247 on tree, -12 best solution, best possible -18.285714 (2295.29 seconds)
Cbc0010I After 959 nodes, 247 on tree, -12 best solution, best possible -18.285714 (2296.17 seconds)
Cbc0010I After 961 nodes, 249 on tree, -12 best solution, best possible -18.285714 (2297.37 seconds)
Cbc0010I After 962 nodes, 250 on tree, -12 best solution, best possible -18.285714 (2298.13 seconds)
Cbc0010I After 965 nodes, 247 on tree, -12 best solution, best possible -18.285714 (2299.10 seconds)
Cbc0010I After 967 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2299.98 seconds)
Cbc0010I After 969 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2300.98 seconds)
Cbc0010I After 971 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2301.87 seconds)
Cbc0010I After 973 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2302.58 seconds)
Cbc0010I After 976 nodes, 246 on tree, -12 best solution, best possible -18.285714 (2303.60 seconds)
Cbc0010I After 978 nodes, 246 on tree, -12 best solution, best possible -18.285714 (2304.36 seconds)
Cbc0010I After 981 nodes, 243 on tree, -12 best solution, best possible -18.285714 (2305.44 seconds)
Cbc0010I After 983 nodes, 241 on tree, -12 best solution, best possible -18.285714 (2306.44 seconds)
Cbc0010I After 987 nodes, 243 on tree, -12 best solution, best possible -18.285714 (2307.62 seconds)
Cbc0010I After 989 nodes, 243 on tree, -12 best solution, best possible -18.285714 (2308.37 seconds)
Cbc0010I After 992 nodes, 244 on tree, -12 best solution, best possible -18.285714 (2309.37 seconds)
Cbc0010I After 993 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2310.07 seconds)
Cbc0010I After 995 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2310.82 seconds)
Cbc0010I After 997 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2311.61 seconds)
Cbc0010I After 1000 nodes, 242 on tree, -12 best solution, best possible -18.285714 (2312.49 seconds)
Cbc0010I After 1002 nodes, 244 on tree, -12 best solution, best possible -18.285714 (2317.64 seconds)
Cbc0010I After 1003 nodes, 245 on tree, -12 best solution, best possible -18.285714 (2325.14 seconds)
Cbc0010I After 1004 nodes, 246 on tree, -12 best solution, best possible -18.285714 (2331.04 seconds)
Cbc0010I After 1005 nodes, 247 on tree, -12 best solution, best possible -18.285714 (2336.19 seconds)
Cbc0010I After 1006 nodes, 248 on tree, -12 best solution, best possible -18.285714 (2341.16 seconds)
Cbc0010I After 1007 nodes, 249 on tree, -12 best solution, best possible -18.285714 (2346.89 seconds)
Cbc0010I After 1008 nodes, 250 on tree, -12 best solution, best possible -18.285714 (2351.94 seconds)
Cbc0010I After 1009 nodes, 251 on tree, -12 best solution, best possible -18.285714 (2356.90 seconds)
Cbc0010I After 1010 nodes, 252 on tree, -12 best solution, best possible -18.285714 (2361.86 seconds)
Cbc0010I After 1011 nodes, 253 on tree, -12 best solution, best possible -18.285714 (2368.70 seconds)
Cbc0010I After 1012 nodes, 254 on tree, -12 best solution, best possible -18.285714 (2374.87 seconds)
Cbc0010I After 1013 nodes, 255 on tree, -12 best solution, best possible -18.285714 (2380.43 seconds)
Cbc0010I After 1014 nodes, 256 on tree, -12 best solution, best possible -18.285714 (2385.72 seconds)
Cbc0010I After 1015 nodes, 257 on tree, -12 best solution, best possible -18.285714 (2390.57 seconds)
Cbc0010I After 1016 nodes, 258 on tree, -12 best solution, best possible -18.285714 (2393.81 seconds)
Cbc0010I After 1017 nodes, 259 on tree, -12 best solution, best possible -18.285714 (2398.26 seconds)
Cbc0010I After 1018 nodes, 260 on tree, -12 best solution, best possible -18.285714 (2405.84 seconds)
Cbc0010I After 1019 nodes, 261 on tree, -12 best solution, best possible -18.285714 (2412.26 seconds)
Cbc0010I After 1020 nodes, 262 on tree, -12 best solution, best possible -18.285714 (2418.57 seconds)
Cbc0010I After 1021 nodes, 263 on tree, -12 best solution, best possible -18.285714 (2423.62 seconds)
Cbc0010I After 1022 nodes, 264 on tree, -12 best solution, best possible -18.285714 (2428.11 seconds)
Cbc0010I After 1023 nodes, 265 on tree, -12 best solution, best possible -18.285714 (2433.58 seconds)
Cbc0010I After 1024 nodes, 266 on tree, -12 best solution, best possible -18.285714 (2438.81 seconds)
Cbc0010I After 1025 nodes, 267 on tree, -12 best solution, best possible -18.285714 (2443.19 seconds)
Cbc0010I After 1026 nodes, 268 on tree, -12 best solution, best possible -18.285714 (2447.34 seconds)
Cbc0010I After 1027 nodes, 269 on tree, -12 best solution, best possible -18.285714 (2451.60 seconds)
Cbc0010I After 1028 nodes, 270 on tree, -12 best solution, best possible -18.285714 (2454.94 seconds)
Cbc0010I After 1029 nodes, 271 on tree, -12 best solution, best possible -18.285714 (2461.01 seconds)
Cbc0010I After 1030 nodes, 272 on tree, -12 best solution, best possible -18.285714 (2466.16 seconds)
Cbc0010I After 1031 nodes, 273 on tree, -12 best solution, best possible -18.285714 (2471.22 seconds)
Cbc0010I After 1032 nodes, 274 on tree, -12 best solution, best possible -18.285714 (2475.65 seconds)
Cbc0010I After 1033 nodes, 275 on tree, -12 best solution, best possible -18.285714 (2480.81 seconds)
Cbc0010I After 1034 nodes, 276 on tree, -12 best solution, best possible -18.285714 (2484.83 seconds)
Cbc0010I After 1035 nodes, 277 on tree, -12 best solution, best possible -18.285714 (2488.86 seconds)
Cbc0010I After 1036 nodes, 278 on tree, -12 best solution, best possible -18.285714 (2493.33 seconds)
Cbc0010I After 1037 nodes, 279 on tree, -12 best solution, best possible -18.285714 (2497.44 seconds)
Cbc0010I After 1038 nodes, 280 on tree, -12 best solution, best possible -18.285714 (2500.22 seconds)
Cbc0010I After 1039 nodes, 281 on tree, -12 best solution, best possible -18.285714 (2505.88 seconds)
Cbc0010I After 1040 nodes, 282 on tree, -12 best solution, best possible -18.285714 (2509.94 seconds)
Cbc0010I After 1041 nodes, 283 on tree, -12 best solution, best possible -18.285714 (2515.10 seconds)
Cbc0010I After 1042 nodes, 284 on tree, -12 best solution, best possible -18.285714 (2519.50 seconds)
Cbc0010I After 1043 nodes, 285 on tree, -12 best solution, best possible -18.285714 (2524.44 seconds)
Cbc0010I After 1044 nodes, 286 on tree, -12 best solution, best possible -18.285714 (2528.54 seconds)
Cbc0010I After 1045 nodes, 287 on tree, -12 best solution, best possible -18.285714 (2533.27 seconds)
Cbc0010I After 1046 nodes, 288 on tree, -12 best solution, best possible -18.285714 (2537.48 seconds)
Cbc0010I After 1047 nodes, 289 on tree, -12 best solution, best possible -18.285714 (2543.85 seconds)
Cbc0010I After 1048 nodes, 290 on tree, -12 best solution, best possible -18.285714 (2547.90 seconds)
Cbc0010I After 1049 nodes, 291 on tree, -12 best solution, best possible -18.285714 (2551.64 seconds)
Cbc0010I After 1050 nodes, 292 on tree, -12 best solution, best possible -18.285714 (2555.50 seconds)
Cbc0010I After 1051 nodes, 293 on tree, -12 best solution, best possible -18.285714 (2560.82 seconds)
Cbc0010I After 1052 nodes, 294 on tree, -12 best solution, best possible -18.285714 (2566.03 seconds)
Cbc0010I After 1053 nodes, 295 on tree, -12 best solution, best possible -18.285714 (2568.22 seconds)
Cbc0010I After 1054 nodes, 296 on tree, -12 best solution, best possible -18.285714 (2574.14 seconds)
Cbc0010I After 1055 nodes, 297 on tree, -12 best solution, best possible -18.285714 (2577.29 seconds)
Cbc0010I After 1056 nodes, 298 on tree, -12 best solution, best possible -18.285714 (2583.08 seconds)
Cbc0010I After 1057 nodes, 299 on tree, -12 best solution, best possible -18.285714 (2585.12 seconds)
Cbc0010I After 1058 nodes, 300 on tree, -12 best solution, best possible -18.285714 (2588.44 seconds)
Cbc0010I After 1059 nodes, 301 on tree, -12 best solution, best possible -18.285714 (2593.51 seconds)
Cbc0010I After 1061 nodes, 303 on tree, -12 best solution, best possible -18.285714 (2599.49 seconds)
Cbc0010I After 1062 nodes, 304 on tree, -12 best solution, best possible -18.285714 (2600.49 seconds)
Cbc0010I After 1063 nodes, 305 on tree, -12 best solution, best possible -18.285714 (2601.48 seconds)
Cbc0010I After 1064 nodes, 306 on tree, -12 best solution, best possible -18.285714 (2602.56 seconds)
Cbc0010I After 1065 nodes, 307 on tree, -12 best solution, best possible -18.285714 (2617.59 seconds)
Cbc0010I After 1066 nodes, 308 on tree, -12 best solution, best possible -18.285714 (2629.83 seconds)
Cbc0010I After 1067 nodes, 309 on tree, -12 best solution, best possible -18.285714 (2634.19 seconds)
Cbc0010I After 1068 nodes, 310 on tree, -12 best solution, best possible -18.285714 (2638.65 seconds)
Cbc0010I After 1069 nodes, 311 on tree, -12 best solution, best possible -18.285714 (2649.94 seconds)
Cbc0010I After 1070 nodes, 312 on tree, -12 best solution, best possible -18.285714 (2655.65 seconds)
Cbc0010I After 1071 nodes, 313 on tree, -12 best solution, best possible -18.285714 (2665.47 seconds)
Cbc0010I After 1072 nodes, 314 on tree, -12 best solution, best possible -18.285714 (2669.62 seconds)
Cbc0010I After 1073 nodes, 315 on tree, -12 best solution, best possible -18.285714 (2673.89 seconds)
Cbc0010I After 1074 nodes, 316 on tree, -12 best solution, best possible -18.285714 (2684.48 seconds)
Cbc0010I After 1075 nodes, 317 on tree, -12 best solution, best possible -18.285714 (2689.32 seconds)
Cbc0010I After 1076 nodes, 318 on tree, -12 best solution, best possible -18.285714 (2692.64 seconds)
Cbc0010I After 1077 nodes, 319 on tree, -12 best solution, best possible -18.285714 (2704.99 seconds)
Cbc0010I After 1078 nodes, 320 on tree, -12 best solution, best possible -18.285714 (2708.96 seconds)
Cbc0010I After 1079 nodes, 321 on tree, -12 best solution, best possible -18.285714 (2712.09 seconds)
Cbc0010I After 1080 nodes, 322 on tree, -12 best solution, best possible -18.285714 (2720.84 seconds)
Cbc0010I After 1081 nodes, 323 on tree, -12 best solution, best possible -18.285714 (2724.34 seconds)
Cbc0010I After 1082 nodes, 324 on tree, -12 best solution, best possible -18.285714 (2726.66 seconds)
Cbc0010I After 1083 nodes, 325 on tree, -12 best solution, best possible -18.285714 (2728.87 seconds)
Cbc0010I After 1084 nodes, 326 on tree, -12 best solution, best possible -18.285714 (2734.86 seconds)
Cbc0010I After 1085 nodes, 327 on tree, -12 best solution, best possible -18.285714 (2739.13 seconds)
Cbc0010I After 1086 nodes, 328 on tree, -12 best solution, best possible -18.285714 (2745.14 seconds)
Cbc0010I After 1087 nodes, 329 on tree, -12 best solution, best possible -18.285714 (2752.29 seconds)
Cbc0010I After 1088 nodes, 330 on tree, -12 best solution, best possible -18.285714 (2755.57 seconds)
Cbc0010I After 1089 nodes, 331 on tree, -12 best solution, best possible -18.285714 (2758.55 seconds)
Cbc0010I After 1090 nodes, 332 on tree, -12 best solution, best possible -18.285714 (2762.35 seconds)
Cbc0010I After 1091 nodes, 333 on tree, -12 best solution, best possible -18.285714 (2763.84 seconds)
Cbc0010I After 1092 nodes, 334 on tree, -12 best solution, best possible -18.285714 (2766.24 seconds)
Cbc0010I After 1093 nodes, 335 on tree, -12 best solution, best possible -18.285714 (2772.37 seconds)
Cbc0010I After 1094 nodes, 336 on tree, -12 best solution, best possible -18.285714 (2774.17 seconds)
Cbc0010I After 1095 nodes, 337 on tree, -12 best solution, best possible -18.285714 (2782.61 seconds)
Cbc0010I After 1096 nodes, 338 on tree, -12 best solution, best possible -18.285714 (2785.68 seconds)
Cbc0010I After 1097 nodes, 339 on tree, -12 best solution, best possible -18.285714 (2787.81 seconds)
Cbc0010I After 1098 nodes, 340 on tree, -12 best solution, best possible -18.285714 (2790.49 seconds)
Cbc0010I After 1099 nodes, 341 on tree, -12 best solution, best possible -18.285714 (2799.84 seconds)
Cbc0010I After 1100 nodes, 342 on tree, -12 best solution, best possible -18.285714 (2802.86 seconds)
Cbc0010I After 1101 nodes, 343 on tree, -12 best solution, best possible -18.285714 (2805.63 seconds)
Cbc0010I After 1102 nodes, 344 on tree, -12 best solution, best possible -18.285714 (2807.55 seconds)
Cbc0010I After 1103 nodes, 345 on tree, -12 best solution, best possible -18.285714 (2809.24 seconds)
Cbc0010I After 1104 nodes, 346 on tree, -12 best solution, best possible -18.285714 (2813.69 seconds)
Cbc0010I After 1105 nodes, 347 on tree, -12 best solution, best possible -18.285714 (2814.46 seconds)
Cbc0010I After 1106 nodes, 348 on tree, -12 best solution, best possible -18.285714 (2815.83 seconds)
Cbc0010I After 1107 nodes, 349 on tree, -12 best solution, best possible -18.285714 (2817.45 seconds)
Cbc0010I After 1108 nodes, 350 on tree, -12 best solution, best possible -18.285714 (2825.53 seconds)
Cbc0010I After 1109 nodes, 351 on tree, -12 best solution, best possible -18.285714 (2827.73 seconds)
Cbc0010I After 1110 nodes, 352 on tree, -12 best solution, best possible -18.285714 (2829.67 seconds)
Cbc0010I After 1111 nodes, 353 on tree, -12 best solution, best possible -18.285714 (2831.56 seconds)
Cbc0010I After 1112 nodes, 354 on tree, -12 best solution, best possible -18.285714 (2833.18 seconds)
Cbc0010I After 1113 nodes, 355 on tree, -12 best solution, best possible -18.285714 (2841.36 seconds)
Cbc0010I After 1114 nodes, 356 on tree, -12 best solution, best possible -18.285714 (2844.81 seconds)
Cbc0010I After 1115 nodes, 357 on tree, -12 best solution, best possible -18.285714 (2846.30 seconds)
Cbc0010I After 1116 nodes, 358 on tree, -12 best solution, best possible -18.285714 (2855.76 seconds)
Cbc0010I After 1117 nodes, 359 on tree, -12 best solution, best possible -18.285714 (2857.37 seconds)
Cbc0010I After 1118 nodes, 360 on tree, -12 best solution, best possible -18.285714 (2858.86 seconds)
Cbc0010I After 1120 nodes, 362 on tree, -12 best solution, best possible -18.285714 (2861.51 seconds)
Cbc0010I After 1121 nodes, 363 on tree, -12 best solution, best possible -18.285714 (2863.57 seconds)
Cbc0010I After 1122 nodes, 364 on tree, -12 best solution, best possible -18.285714 (2865.17 seconds)
Cbc0010I After 1123 nodes, 365 on tree, -12 best solution, best possible -18.285714 (2873.03 seconds)
Cbc0010I After 1124 nodes, 366 on tree, -12 best solution, best possible -18.285714 (2876.03 seconds)
Cbc0010I After 1125 nodes, 367 on tree, -12 best solution, best possible -18.285714 (2877.63 seconds)
Cbc0010I After 1126 nodes, 368 on tree, -12 best solution, best possible -18.285714 (2878.50 seconds)
Cbc0010I After 1127 nodes, 369 on tree, -12 best solution, best possible -18.285714 (2879.55 seconds)
Cbc0010I After 1128 nodes, 370 on tree, -12 best solution, best possible -18.285714 (2880.52 seconds)
Cbc0010I After 1129 nodes, 371 on tree, -12 best solution, best possible -18.285714 (2881.86 seconds)
Cbc0010I After 1130 nodes, 372 on tree, -12 best solution, best possible -18.285714 (2882.69 seconds)
Cbc0010I After 1131 nodes, 373 on tree, -12 best solution, best possible -18.285714 (2887.35 seconds)
Cbc0010I After 1132 nodes, 374 on tree, -12 best solution, best possible -18.285714 (2889.58 seconds)
Cbc0010I After 1133 nodes, 375 on tree, -12 best solution, best possible -18.285714 (2891.61 seconds)
Cbc0010I After 1134 nodes, 376 on tree, -12 best solution, best possible -18.285714 (2898.71 seconds)
Cbc0010I After 1135 nodes, 377 on tree, -12 best solution, best possible -18.285714 (2901.98 seconds)
Cbc0010I After 1136 nodes, 378 on tree, -12 best solution, best possible -18.285714 (2904.04 seconds)
Cbc0010I After 1137 nodes, 379 on tree, -12 best solution, best possible -18.285714 (2905.16 seconds)
Cbc0010I After 1138 nodes, 380 on tree, -12 best solution, best possible -18.285714 (2906.29 seconds)
Cbc0010I After 1139 nodes, 381 on tree, -12 best solution, best possible -18.285714 (2907.35 seconds)
Cbc0010I After 1140 nodes, 382 on tree, -12 best solution, best possible -18.285714 (2911.53 seconds)
Cbc0010I After 1141 nodes, 383 on tree, -12 best solution, best possible -18.285714 (2912.65 seconds)
Cbc0010I After 1143 nodes, 385 on tree, -12 best solution, best possible -18.285714 (2914.98 seconds)
Cbc0010I After 1144 nodes, 386 on tree, -12 best solution, best possible -18.285714 (2915.73 seconds)
Cbc0010I After 1145 nodes, 387 on tree, -12 best solution, best possible -18.285714 (2919.38 seconds)
Cbc0010I After 1146 nodes, 388 on tree, -12 best solution, best possible -18.285714 (2920.16 seconds)
Cbc0010I After 1147 nodes, 389 on tree, -12 best solution, best possible -18.285714 (2923.38 seconds)
Cbc0010I After 1148 nodes, 390 on tree, -12 best solution, best possible -18.285714 (2932.36 seconds)
Cbc0010I After 1149 nodes, 391 on tree, -12 best solution, best possible -18.285714 (2934.60 seconds)
Cbc0010I After 1150 nodes, 392 on tree, -12 best solution, best possible -18.285714 (2936.24 seconds)
Cbc0010I After 1151 nodes, 393 on tree, -12 best solution, best possible -18.285714 (2936.97 seconds)
Cbc0010I After 1152 nodes, 394 on tree, -12 best solution, best possible -18.285714 (2937.73 seconds)
Cbc0010I After 1153 nodes, 395 on tree, -12 best solution, best possible -18.285714 (2944.60 seconds)
Cbc0010I After 1154 nodes, 396 on tree, -12 best solution, best possible -18.285714 (2946.79 seconds)
Cbc0010I After 1156 nodes, 398 on tree, -12 best solution, best possible -18.285714 (2948.72 seconds)
Cbc0010I After 1157 nodes, 399 on tree, -12 best solution, best possible -18.285714 (2949.84 seconds)
Cbc0010I After 1158 nodes, 400 on tree, -12 best solution, best possible -18.285714 (2956.57 seconds)
Cbc0010I After 1159 nodes, 401 on tree, -12 best solution, best possible -18.285714 (2958.82 seconds)
Cbc0010I After 1160 nodes, 402 on tree, -12 best solution, best possible -18.285714 (2960.30 seconds)
Cbc0010I After 1161 nodes, 403 on tree, -12 best solution, best possible -18.285714 (2962.07 seconds)
Cbc0010I After 1162 nodes, 404 on tree, -12 best solution, best possible -18.285714 (2969.46 seconds)
Cbc0010I After 1163 nodes, 405 on tree, -12 best solution, best possible -18.285714 (2971.68 seconds)
Cbc0010I After 1164 nodes, 406 on tree, -12 best solution, best possible -18.285714 (2973.46 seconds)
Cbc0010I After 1165 nodes, 407 on tree, -12 best solution, best possible -18.285714 (2974.16 seconds)
Cbc0010I After 1166 nodes, 408 on tree, -12 best solution, best possible -18.285714 (2976.12 seconds)
Cbc0010I After 1168 nodes, 410 on tree, -12 best solution, best possible -18.285714 (2983.72 seconds)
Cbc0010I After 1169 nodes, 411 on tree, -12 best solution, best possible -18.285714 (2986.31 seconds)
Cbc0010I After 1170 nodes, 412 on tree, -12 best solution, best possible -18.285714 (2987.26 seconds)
Cbc0010I After 1171 nodes, 413 on tree, -12 best solution, best possible -18.285714 (2988.28 seconds)
Cbc0010I After 1172 nodes, 414 on tree, -12 best solution, best possible -18.285714 (2989.22 seconds)
Cbc0010I After 1173 nodes, 415 on tree, -12 best solution, best possible -18.285714 (2990.24 seconds)
Cbc0010I After 1174 nodes, 416 on tree, -12 best solution, best possible -18.285714 (2997.24 seconds)
Cbc0010I After 1175 nodes, 417 on tree, -12 best solution, best possible -18.285714 (2998.77 seconds)
Cbc0010I After 1176 nodes, 418 on tree, -12 best solution, best possible -18.285714 (2999.70 seconds)
Cbc0010I After 1177 nodes, 419 on tree, -12 best solution, best possible -18.285714 (3000.68 seconds)
Cbc0010I After 1178 nodes, 420 on tree, -12 best solution, best possible -18.285714 (3001.88 seconds)
Cbc0010I After 1179 nodes, 421 on tree, -12 best solution, best possible -18.285714 (3002.74 seconds)
Cbc0010I After 1181 nodes, 423 on tree, -12 best solution, best possible -18.285714 (3004.78 seconds)
Cbc0010I After 1182 nodes, 424 on tree, -12 best solution, best possible -18.285714 (3009.72 seconds)
Cbc0010I After 1183 nodes, 425 on tree, -12 best solution, best possible -18.285714 (3011.31 seconds)
Cbc0010I After 1184 nodes, 426 on tree, -12 best solution, best possible -18.285714 (3012.25 seconds)
Cbc0010I After 1185 nodes, 427 on tree, -12 best solution, best possible -18.285714 (3013.13 seconds)
Cbc0010I After 1186 nodes, 428 on tree, -12 best solution, best possible -18.285714 (3020.97 seconds)
Cbc0010I After 1187 nodes, 429 on tree, -12 best solution, best possible -18.285714 (3023.32 seconds)
Cbc0010I After 1189 nodes, 431 on tree, -12 best solution, best possible -18.285714 (3024.37 seconds)
Cbc0010I After 1190 nodes, 432 on tree, -12 best solution, best possible -18.285714 (3025.84 seconds)
Cbc0010I After 1191 nodes, 433 on tree, -12 best solution, best possible -18.285714 (3026.85 seconds)
