Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Mar 30 2022
command line - -import /home/danilo/cbc-test-set/neos-5195221-niemur.mps.gz -timeM elapsed -seconds 10800 -knapsack off -solve -solu sol-group-root/neos-5195221-niemur.txt -quit (default strategy 1)
At line 1 NAME          neos-5195221-niemur
At line 2 ROWS
At line 42260 COLUMNS
At line 218851 RHS
At line 241578 BOUNDS
At line 251371 ENDATA
Problem neos-5195221-niemur has 42256 rows, 14546 columns and 176586 elements
Coin0008I neos-5195221-niemur read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 1.59147 seconds
Cgl0003I 1190 fixed, 0 tightened bounds, 10104 strengthened rows, 1794 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 3149 strengthened rows, 12 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 2452 strengthened rows, 658 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 283 strengthened rows, 122 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 51 strengthened rows, 2 substitutions
Cgl0003I 0 fixed, 0 tightened bounds, 33 strengthened rows, 0 substitutions
Cgl0004I processed model has 26019 rows, 8985 columns (4959 integer (4959 of which binary)) and 137492 elements
Coin3009W Conflict graph built in 0.022 seconds, density: 0.011%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 779 integers unsatisfied sum - 317.18
Cbc0038I Pass   1: (13.56 seconds) suminf.  135.00000 (589) obj. 0.015883 iterations 1739
Cbc0038I Pass   2: (16.90 seconds) suminf.   72.62500 (1090) obj. 0.0444033 iterations 1280
Cbc0038I Pass   3: (17.81 seconds) suminf.   71.00000 (947) obj. 0.0429651 iterations 254
Cbc0038I Pass   4: (18.35 seconds) suminf.   71.20930 (1214) obj. 0.0485435 iterations 131
Cbc0038I Pass   5: (19.44 seconds) suminf.   78.16667 (973) obj. 0.0434026 iterations 490
Cbc0038I Pass   6: (20.58 seconds) suminf.   73.08333 (949) obj. 0.0434026 iterations 456
Cbc0038I Pass   7: (20.71 seconds) suminf.   72.30556 (948) obj. 0.0434026 iterations 15
Cbc0038I Pass   8: (21.20 seconds) suminf.   71.00000 (947) obj. 0.0434026 iterations 123
Cbc0038I Pass   9: (21.75 seconds) suminf.   71.00000 (947) obj. 0.0434026 iterations 131
Cbc0038I Pass  10: (22.28 seconds) suminf.   71.80000 (1015) obj. 0.0468293 iterations 134
Cbc0038I Pass  11: (23.33 seconds) suminf.   78.80556 (972) obj. 0.0584826 iterations 520
Cbc0038I Pass  12: (24.48 seconds) suminf.   71.00000 (947) obj. 0.0584826 iterations 462
Cbc0038I Pass  13: (24.57 seconds) suminf.   71.00000 (947) obj. 0.0584826 iterations 2
Cbc0038I Pass  14: (24.97 seconds) suminf.   71.00000 (947) obj. 0.0584826 iterations 121
Cbc0038I Pass  15: (25.84 seconds) suminf.   79.02778 (974) obj. 0.0584826 iterations 434
Cbc0038I Pass  16: (27.09 seconds) suminf.   74.42105 (998) obj. 0.0596588 iterations 433
Cbc0038I Pass  17: (27.27 seconds) suminf.   72.67213 (1220) obj. 0.0600245 iterations 34
Cbc0038I Pass  18: (27.62 seconds) suminf.   71.09524 (1215) obj. 0.06019 iterations 81
Cbc0038I Pass  19: (28.01 seconds) suminf.   70.94737 (992) obj. 0.0596588 iterations 88
Cbc0038I Pass  20: (28.51 seconds) suminf.   70.94737 (992) obj. 0.0596588 iterations 119
Cbc0038I Pass  21: (29.45 seconds) suminf.   80.52778 (988) obj. 0.0611822 iterations 427
Cbc0038I Pass  22: (30.70 seconds) suminf.   70.94737 (992) obj. 0.0637212 iterations 460
Cbc0038I Pass  23: (30.81 seconds) suminf.   70.94737 (992) obj. 0.0637212 iterations 9
Cbc0038I Pass  24: (33.02 seconds) suminf.   86.50000 (173) obj. 0.0841469 iterations 604
Cbc0038I Pass  25: (34.04 seconds) suminf.   91.00000 (185) obj. 0.0897683 iterations 368
Cbc0038I Pass  26: (34.89 seconds) suminf.   85.50000 (171) obj. 0.0897683 iterations 330
Cbc0038I Pass  27: (35.37 seconds) suminf.   85.50000 (171) obj. 0.0897683 iterations 149
Cbc0038I Pass  28: (35.75 seconds) suminf.   84.50000 (169) obj. 0.0897683 iterations 136
Cbc0038I Pass  29: (36.09 seconds) suminf.   84.50000 (169) obj. 0.0897683 iterations 132
Cbc0038I Pass  30: (36.58 seconds) suminf.   84.50000 (169) obj. 0.0897683 iterations 138
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 3239 integers at bound fixed and 3662 continuous
Cbc0038I Mini branch and bound did not improve solution (36.68 seconds)
Cbc0038I After 36.69 seconds - Feasibility pump exiting - took 26.03 seconds
Cbc0031I 246 added rows had average density of 6.0731707
Cbc0013I At root node, 246 cuts changed objective from 0 to -4.7918385e-15 in 10 passes
Cbc0010I After 67 nodes, 37 on tree, 1e+50 best solution, best possible 0 (1096.51 seconds)
Cbc0010I After 68 nodes, 38 on tree, 1e+50 best solution, best possible 0 (1102.54 seconds)
Cbc0010I After 69 nodes, 38 on tree, 1e+50 best solution, best possible 0 (1122.21 seconds)
Cbc0010I After 70 nodes, 39 on tree, 1e+50 best solution, best possible 0 (1127.45 seconds)
Cbc0010I After 71 nodes, 39 on tree, 1e+50 best solution, best possible 0 (1138.17 seconds)
Cbc0010I After 72 nodes, 40 on tree, 1e+50 best solution, best possible 0 (1151.78 seconds)
Cbc0010I After 73 nodes, 40 on tree, 1e+50 best solution, best possible 0 (1160.86 seconds)
Cbc0010I After 74 nodes, 41 on tree, 1e+50 best solution, best possible 0 (1170.45 seconds)
Cbc0010I After 75 nodes, 42 on tree, 1e+50 best solution, best possible 0 (1185.14 seconds)
Cbc0010I After 76 nodes, 42 on tree, 1e+50 best solution, best possible 0 (1193.66 seconds)
Cbc0010I After 77 nodes, 43 on tree, 1e+50 best solution, best possible 0 (1214.35 seconds)
Cbc0010I After 78 nodes, 43 on tree, 1e+50 best solution, best possible 0 (1237.87 seconds)
Cbc0010I After 79 nodes, 43 on tree, 1e+50 best solution, best possible 0 (1246.36 seconds)
Cbc0010I After 80 nodes, 44 on tree, 1e+50 best solution, best possible 0 (1253.89 seconds)
Cbc0010I After 81 nodes, 44 on tree, 1e+50 best solution, best possible 0 (1269.33 seconds)
Cbc0010I After 82 nodes, 45 on tree, 1e+50 best solution, best possible 0 (1298.54 seconds)
Cbc0010I After 83 nodes, 45 on tree, 1e+50 best solution, best possible 0 (1330.32 seconds)
Cbc0010I After 84 nodes, 45 on tree, 1e+50 best solution, best possible 0 (1347.65 seconds)
Cbc0010I After 85 nodes, 46 on tree, 1e+50 best solution, best possible 0 (1353.96 seconds)
Cbc0010I After 86 nodes, 47 on tree, 1e+50 best solution, best possible 0 (1370.80 seconds)
Cbc0010I After 87 nodes, 48 on tree, 1e+50 best solution, best possible 0 (1384.02 seconds)
Cbc0010I After 88 nodes, 48 on tree, 1e+50 best solution, best possible 0 (1393.44 seconds)
Cbc0010I After 89 nodes, 49 on tree, 1e+50 best solution, best possible 0 (1399.24 seconds)
Cbc0010I After 90 nodes, 50 on tree, 1e+50 best solution, best possible 0 (1411.81 seconds)
Cbc0010I After 91 nodes, 50 on tree, 1e+50 best solution, best possible 0 (1418.73 seconds)
Cbc0010I After 92 nodes, 50 on tree, 1e+50 best solution, best possible 0 (1426.57 seconds)
Cbc0010I After 93 nodes, 51 on tree, 1e+50 best solution, best possible 0 (1434.92 seconds)
Cbc0010I After 94 nodes, 52 on tree, 1e+50 best solution, best possible 0 (1447.76 seconds)
Cbc0010I After 95 nodes, 53 on tree, 1e+50 best solution, best possible 0 (1456.42 seconds)
Cbc0010I After 96 nodes, 54 on tree, 1e+50 best solution, best possible 0 (1464.76 seconds)
Cbc0010I After 97 nodes, 55 on tree, 1e+50 best solution, best possible 0 (1473.45 seconds)
Cbc0010I After 98 nodes, 56 on tree, 1e+50 best solution, best possible 0 (1478.53 seconds)
Cbc0010I After 99 nodes, 57 on tree, 1e+50 best solution, best possible 0 (1490.68 seconds)
Cbc0010I After 100 nodes, 57 on tree, 1e+50 best solution, best possible 0 (1503.14 seconds)
Cbc0010I After 101 nodes, 57 on tree, 1e+50 best solution, best possible 0 (1508.93 seconds)
Cbc0010I After 102 nodes, 58 on tree, 1e+50 best solution, best possible 0 (1521.99 seconds)
Cbc0010I After 103 nodes, 59 on tree, 1e+50 best solution, best possible 0 (1529.75 seconds)
Cbc0010I After 104 nodes, 59 on tree, 1e+50 best solution, best possible 0 (1537.02 seconds)
Cbc0010I After 105 nodes, 60 on tree, 1e+50 best solution, best possible 0 (1547.13 seconds)
Cbc0010I After 106 nodes, 60 on tree, 1e+50 best solution, best possible 0 (1553.25 seconds)
Cbc0010I After 107 nodes, 61 on tree, 1e+50 best solution, best possible 0 (1557.91 seconds)
Cbc0010I After 108 nodes, 62 on tree, 1e+50 best solution, best possible 0 (1564.51 seconds)
Cbc0010I After 109 nodes, 62 on tree, 1e+50 best solution, best possible 0 (1569.69 seconds)
Cbc0010I After 110 nodes, 63 on tree, 1e+50 best solution, best possible 0 (1581.61 seconds)
Cbc0010I After 111 nodes, 62 on tree, 1e+50 best solution, best possible 0 (1588.39 seconds)
Cbc0010I After 112 nodes, 62 on tree, 1e+50 best solution, best possible 0 (1593.37 seconds)
Cbc0010I After 113 nodes, 63 on tree, 1e+50 best solution, best possible 0 (1600.90 seconds)
Cbc0010I After 114 nodes, 64 on tree, 1e+50 best solution, best possible 0 (1609.62 seconds)
Cbc0010I After 115 nodes, 64 on tree, 1e+50 best solution, best possible 0 (1616.67 seconds)
Cbc0010I After 116 nodes, 65 on tree, 1e+50 best solution, best possible 0 (1624.09 seconds)
Cbc0010I After 117 nodes, 65 on tree, 1e+50 best solution, best possible 0 (1630.62 seconds)
Cbc0010I After 118 nodes, 66 on tree, 1e+50 best solution, best possible 0 (1635.66 seconds)
Cbc0010I After 119 nodes, 66 on tree, 1e+50 best solution, best possible 0 (1641.36 seconds)
Cbc0010I After 120 nodes, 67 on tree, 1e+50 best solution, best possible 0 (1653.45 seconds)
Cbc0010I After 121 nodes, 66 on tree, 1e+50 best solution, best possible 0 (1660.91 seconds)
Cbc0010I After 122 nodes, 67 on tree, 1e+50 best solution, best possible 0 (1667.94 seconds)
Cbc0010I After 123 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1675.40 seconds)
Cbc0010I After 124 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1681.34 seconds)
Cbc0010I After 125 nodes, 67 on tree, 1e+50 best solution, best possible 0 (1683.05 seconds)
Cbc0010I After 126 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1692.39 seconds)
Cbc0010I After 127 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1704.77 seconds)
Cbc0010I After 128 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1711.08 seconds)
Cbc0010I After 129 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1713.36 seconds)
Cbc0010I After 130 nodes, 68 on tree, 1e+50 best solution, best possible 0 (1720.15 seconds)
Cbc0010I After 131 nodes, 69 on tree, 1e+50 best solution, best possible 0 (1729.82 seconds)
Cbc0010I After 132 nodes, 70 on tree, 1e+50 best solution, best possible 0 (1737.77 seconds)
Cbc0010I After 133 nodes, 71 on tree, 1e+50 best solution, best possible 0 (1745.76 seconds)
Cbc0010I After 134 nodes, 72 on tree, 1e+50 best solution, best possible 0 (1754.61 seconds)
Cbc0010I After 135 nodes, 72 on tree, 1e+50 best solution, best possible 0 (1766.31 seconds)
Cbc0010I After 136 nodes, 73 on tree, 1e+50 best solution, best possible 0 (1778.79 seconds)
Cbc0010I After 137 nodes, 73 on tree, 1e+50 best solution, best possible 0 (1792.11 seconds)
Cbc0010I After 138 nodes, 73 on tree, 1e+50 best solution, best possible 0 (1806.88 seconds)
Cbc0010I After 139 nodes, 74 on tree, 1e+50 best solution, best possible 0 (1817.10 seconds)
Cbc0010I After 140 nodes, 75 on tree, 1e+50 best solution, best possible 0 (1826.79 seconds)
Cbc0010I After 141 nodes, 76 on tree, 1e+50 best solution, best possible 0 (1838.80 seconds)
Cbc0010I After 142 nodes, 77 on tree, 1e+50 best solution, best possible 0 (1848.35 seconds)
Cbc0010I After 143 nodes, 78 on tree, 1e+50 best solution, best possible 0 (1857.74 seconds)
Cbc0010I After 144 nodes, 78 on tree, 1e+50 best solution, best possible 0 (1865.80 seconds)
Cbc0010I After 145 nodes, 79 on tree, 1e+50 best solution, best possible 0 (1872.85 seconds)
Cbc0010I After 146 nodes, 79 on tree, 1e+50 best solution, best possible 0 (1878.39 seconds)
Cbc0010I After 147 nodes, 79 on tree, 1e+50 best solution, best possible 0 (1879.30 seconds)
Cbc0010I After 149 nodes, 79 on tree, 1e+50 best solution, best possible 0 (1886.80 seconds)
Cbc0010I After 150 nodes, 79 on tree, 1e+50 best solution, best possible 0 (1895.04 seconds)
Cbc0010I After 151 nodes, 80 on tree, 1e+50 best solution, best possible 0 (1915.96 seconds)
Cbc0010I After 152 nodes, 80 on tree, 1e+50 best solution, best possible 0 (1931.81 seconds)
Cbc0010I After 153 nodes, 81 on tree, 1e+50 best solution, best possible 0 (1949.49 seconds)
Cbc0010I After 154 nodes, 81 on tree, 1e+50 best solution, best possible 0 (1958.19 seconds)
Cbc0010I After 155 nodes, 82 on tree, 1e+50 best solution, best possible 0 (1964.46 seconds)
Cbc0010I After 156 nodes, 83 on tree, 1e+50 best solution, best possible 0 (1973.38 seconds)
Cbc0010I After 157 nodes, 83 on tree, 1e+50 best solution, best possible 0 (1980.86 seconds)
Cbc0010I After 158 nodes, 83 on tree, 1e+50 best solution, best possible 0 (1984.56 seconds)
Cbc0010I After 159 nodes, 83 on tree, 1e+50 best solution, best possible 0 (2005.80 seconds)
Cbc0010I After 160 nodes, 83 on tree, 1e+50 best solution, best possible 0 (2011.68 seconds)
Cbc0010I After 161 nodes, 84 on tree, 1e+50 best solution, best possible 0 (2016.92 seconds)
Cbc0010I After 162 nodes, 84 on tree, 1e+50 best solution, best possible 0 (2024.37 seconds)
Cbc0010I After 163 nodes, 84 on tree, 1e+50 best solution, best possible 0 (2030.32 seconds)
Cbc0010I After 164 nodes, 85 on tree, 1e+50 best solution, best possible 0 (2035.71 seconds)
Cbc0010I After 165 nodes, 86 on tree, 1e+50 best solution, best possible 0 (2043.09 seconds)
Cbc0010I After 166 nodes, 86 on tree, 1e+50 best solution, best possible 0 (2049.38 seconds)
Cbc0010I After 167 nodes, 87 on tree, 1e+50 best solution, best possible 0 (2053.14 seconds)
Cbc0010I After 168 nodes, 88 on tree, 1e+50 best solution, best possible 0 (2064.74 seconds)
Cbc0010I After 169 nodes, 88 on tree, 1e+50 best solution, best possible 0 (2074.71 seconds)
Cbc0010I After 170 nodes, 88 on tree, 1e+50 best solution, best possible 0 (2082.46 seconds)
Cbc0010I After 171 nodes, 88 on tree, 1e+50 best solution, best possible 0 (2096.07 seconds)
Cbc0010I After 172 nodes, 88 on tree, 1e+50 best solution, best possible 0 (2113.84 seconds)
Cbc0010I After 173 nodes, 88 on tree, 1e+50 best solution, best possible 0 (2137.18 seconds)
Cbc0010I After 174 nodes, 89 on tree, 1e+50 best solution, best possible 0 (2150.82 seconds)
Cbc0010I After 175 nodes, 90 on tree, 1e+50 best solution, best possible 0 (2162.62 seconds)
