Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 10692 nodes, 140 on tree, 18.787275 best solution, best possible 0 (33.00 seconds)
Cbc0010I After 11004 nodes, 146 on tree, 18.787275 best solution, best possible 0 (33.71 seconds)
Cbc0010I After 11088 nodes, 186 on tree, 18.787275 best solution, best possible 0 (34.44 seconds)
Cbc0010I After 11171 nodes, 215 on tree, 18.787275 best solution, best possible 0 (35.14 seconds)
Cbc0010I After 11299 nodes, 270 on tree, 18.787275 best solution, best possible 0 (35.85 seconds)
Cbc0010I After 11442 nodes, 326 on tree, 18.787275 best solution, best possible 0 (36.55 seconds)
Cbc0010I After 11664 nodes, 422 on tree, 18.787275 best solution, best possible 0 (37.27 seconds)
Cbc0010I After 11772 nodes, 469 on tree, 18.787275 best solution, best possible 0 (37.97 seconds)
Cbc0010I After 11921 nodes, 537 on tree, 18.787275 best solution, best possible 0 (38.67 seconds)
Cbc0010I After 12035 nodes, 580 on tree, 18.787275 best solution, best possible 0 (39.37 seconds)
Cbc0010I After 12194 nodes, 643 on tree, 18.787275 best solution, best possible 0 (40.07 seconds)
Cbc0010I After 12352 nodes, 690 on tree, 18.787275 best solution, best possible 0 (40.78 seconds)
Cbc0010I After 12505 nodes, 740 on tree, 18.787275 best solution, best possible 0 (41.48 seconds)
Cbc0010I After 12643 nodes, 752 on tree, 18.787275 best solution, best possible 0 (42.18 seconds)
Cbc0010I After 12842 nodes, 780 on tree, 18.787275 best solution, best possible 0 (42.88 seconds)
Cbc0010I After 13013 nodes, 820 on tree, 18.787275 best solution, best possible 0 (43.58 seconds)
Cbc0010I After 13265 nodes, 820 on tree, 18.787275 best solution, best possible 0 (44.28 seconds)
Cbc0010I After 13610 nodes, 808 on tree, 18.787275 best solution, best possible 0 (44.98 seconds)
Cbc0010I After 13948 nodes, 803 on tree, 18.787275 best solution, best possible 0 (45.69 seconds)
Cbc0010I After 14168 nodes, 821 on tree, 18.787275 best solution, best possible 0 (46.39 seconds)
Cbc0010I After 14415 nodes, 866 on tree, 18.787275 best solution, best possible 0 (47.09 seconds)
Cbc0010I After 14756 nodes, 903 on tree, 18.787275 best solution, best possible 0 (47.79 seconds)
Cbc0010I After 15045 nodes, 919 on tree, 18.787275 best solution, best possible 0 (48.50 seconds)
Cbc0010I After 15276 nodes, 972 on tree, 18.787275 best solution, best possible 0 (49.20 seconds)
Cbc0010I After 15494 nodes, 994 on tree, 18.787275 best solution, best possible 0 (49.90 seconds)
Cbc0010I After 15753 nodes, 1008 on tree, 18.787275 best solution, best possible 0 (50.60 seconds)
Cbc0010I After 15963 nodes, 1043 on tree, 18.787275 best solution, best possible 0 (51.31 seconds)
Cbc0010I After 16141 nodes, 1061 on tree, 18.787275 best solution, best possible 0 (52.01 seconds)
Cbc0010I After 16327 nodes, 1074 on tree, 18.787275 best solution, best possible 0 (52.71 seconds)
Cbc0010I After 16472 nodes, 1055 on tree, 18.787275 best solution, best possible 0 (53.41 seconds)
Cbc0010I After 16665 nodes, 1032 on tree, 18.787275 best solution, best possible 0 (54.11 seconds)
Cbc0010I After 16841 nodes, 1060 on tree, 18.787275 best solution, best possible 0 (54.82 seconds)
Cbc0010I After 17025 nodes, 1063 on tree, 18.787275 best solution, best possible 0 (55.52 seconds)
Cbc0010I After 17262 nodes, 1025 on tree, 18.787275 best solution, best possible 0 (56.23 seconds)
Cbc0010I After 17508 nodes, 998 on tree, 18.787275 best solution, best possible 0 (56.94 seconds)
Cbc0010I After 17760 nodes, 955 on tree, 18.787275 best solution, best possible 0 (57.64 seconds)
Cbc0010I After 17932 nodes, 934 on tree, 18.787275 best solution, best possible 0 (58.34 seconds)
Cbc0010I After 18177 nodes, 949 on tree, 18.787275 best solution, best possible 0 (59.04 seconds)
Cbc0010I After 18417 nodes, 991 on tree, 18.787275 best solution, best possible 0 (59.75 seconds)
Cbc0010I After 18604 nodes, 1023 on tree, 18.787275 best solution, best possible 0 (60.45 seconds)
Cbc0010I After 18821 nodes, 1035 on tree, 18.787275 best solution, best possible 0 (61.16 seconds)
Cbc0010I After 18999 nodes, 1037 on tree, 18.787275 best solution, best possible 0 (61.86 seconds)
Cbc0010I After 19227 nodes, 1006 on tree, 18.787275 best solution, best possible 0 (62.56 seconds)
Cbc0010I After 19498 nodes, 1031 on tree, 18.787275 best solution, best possible 0 (63.26 seconds)
Cbc0010I After 19730 nodes, 1036 on tree, 18.787275 best solution, best possible 0 (63.96 seconds)
Cbc0010I After 19953 nodes, 1062 on tree, 18.787275 best solution, best possible 0 (64.66 seconds)
Cbc0010I After 20188 nodes, 1079 on tree, 18.787275 best solution, best possible 0 (65.37 seconds)
Cbc0010I After 20402 nodes, 1035 on tree, 18.787275 best solution, best possible 0 (66.07 seconds)
Cbc0010I After 20664 nodes, 1004 on tree, 18.787275 best solution, best possible 0 (66.77 seconds)
Cbc0010I After 20876 nodes, 1033 on tree, 18.787275 best solution, best possible 0 (67.47 seconds)
Cbc0010I After 21199 nodes, 997 on tree, 18.787275 best solution, best possible 0 (68.18 seconds)
Cbc0010I After 21476 nodes, 928 on tree, 18.787275 best solution, best possible 0 (68.88 seconds)
Cbc0010I After 21751 nodes, 872 on tree, 18.787275 best solution, best possible 0 (69.58 seconds)
Cbc0010I After 22022 nodes, 841 on tree, 18.787275 best solution, best possible 0 (70.28 seconds)
Cbc0010I After 22294 nodes, 847 on tree, 18.787275 best solution, best possible 0 (70.98 seconds)
Cbc0010I After 22532 nodes, 839 on tree, 18.787275 best solution, best possible 0 (71.68 seconds)
Cbc0010I After 22812 nodes, 876 on tree, 18.787275 best solution, best possible 0 (72.38 seconds)
Cbc0010I After 23078 nodes, 906 on tree, 18.787275 best solution, best possible 0 (73.09 seconds)
Cbc0010I After 23355 nodes, 946 on tree, 18.787275 best solution, best possible 0 (73.79 seconds)
Cbc0010I After 23663 nodes, 961 on tree, 18.787275 best solution, best possible 0 (74.49 seconds)
Cbc0010I After 23863 nodes, 952 on tree, 18.787275 best solution, best possible 0 (75.19 seconds)
Cbc0010I After 24071 nodes, 987 on tree, 18.787275 best solution, best possible 0 (75.90 seconds)
Cbc0010I After 24304 nodes, 1002 on tree, 18.787275 best solution, best possible 0 (76.60 seconds)
Cbc0010I After 24645 nodes, 1059 on tree, 18.787275 best solution, best possible 0 (77.30 seconds)
Cbc0010I After 24954 nodes, 1098 on tree, 18.787275 best solution, best possible 0 (78.02 seconds)
Cbc0010I After 25236 nodes, 1065 on tree, 18.787275 best solution, best possible 0 (78.72 seconds)
Cbc0010I After 25509 nodes, 1037 on tree, 18.787275 best solution, best possible 0 (79.42 seconds)
Cbc0010I After 25743 nodes, 992 on tree, 18.787275 best solution, best possible 0 (80.13 seconds)
Cbc0010I After 25905 nodes, 980 on tree, 18.787275 best solution, best possible 0 (80.83 seconds)
Cbc0010I After 26153 nodes, 1000 on tree, 18.787275 best solution, best possible 0 (81.55 seconds)
Cbc0010I After 26264 nodes, 1002 on tree, 18.787275 best solution, best possible 0 (82.25 seconds)
Cbc0010I After 26436 nodes, 1011 on tree, 18.787275 best solution, best possible 0 (82.97 seconds)
Cbc0010I After 26654 nodes, 1002 on tree, 18.787275 best solution, best possible 0 (83.67 seconds)
Cbc0010I After 26927 nodes, 1052 on tree, 18.787275 best solution, best possible 0 (84.38 seconds)
Cbc0010I After 27091 nodes, 1049 on tree, 18.787275 best solution, best possible 0 (85.08 seconds)
Cbc0010I After 27361 nodes, 1027 on tree, 18.787275 best solution, best possible 0 (85.78 seconds)
Cbc0010I After 27598 nodes, 1006 on tree, 18.787275 best solution, best possible 0 (86.48 seconds)
Cbc0010I After 27767 nodes, 1015 on tree, 18.787275 best solution, best possible 0 (87.19 seconds)
Cbc0010I After 28080 nodes, 1046 on tree, 18.787275 best solution, best possible 0 (87.89 seconds)
Cbc0010I After 28285 nodes, 1044 on tree, 18.787275 best solution, best possible 0 (88.59 seconds)
Cbc0010I After 28464 nodes, 1070 on tree, 18.787275 best solution, best possible 0 (89.29 seconds)
Cbc0010I After 28615 nodes, 1086 on tree, 18.787275 best solution, best possible 0 (89.99 seconds)
Cbc0010I After 28781 nodes, 1091 on tree, 18.787275 best solution, best possible 0 (90.70 seconds)
Cbc0010I After 28900 nodes, 1053 on tree, 18.787275 best solution, best possible 0 (91.40 seconds)
Cbc0010I After 29009 nodes, 1034 on tree, 18.787275 best solution, best possible 0 (92.11 seconds)
Cbc0010I After 29123 nodes, 1000 on tree, 18.787275 best solution, best possible 0 (92.81 seconds)
Cbc0010I After 29223 nodes, 980 on tree, 18.787275 best solution, best possible 0 (93.52 seconds)
Cbc0010I After 29356 nodes, 952 on tree, 18.787275 best solution, best possible 0 (94.23 seconds)
Cbc0010I After 29605 nodes, 938 on tree, 18.787275 best solution, best possible 0 (94.93 seconds)
Cbc0010I After 29862 nodes, 927 on tree, 18.787275 best solution, best possible 0 (95.63 seconds)
Cbc0010I After 30087 nodes, 933 on tree, 18.787275 best solution, best possible 0 (96.34 seconds)
Cbc0010I After 30228 nodes, 959 on tree, 18.787275 best solution, best possible 0 (97.04 seconds)
Cbc0010I After 30386 nodes, 1011 on tree, 18.787275 best solution, best possible 0 (97.75 seconds)
Cbc0010I After 30679 nodes, 1076 on tree, 18.787275 best solution, best possible 0 (98.45 seconds)
Cbc0010I After 31031 nodes, 1097 on tree, 18.787275 best solution, best possible 0 (99.15 seconds)
Cbc0010I After 31358 nodes, 1183 on tree, 18.787275 best solution, best possible 0 (99.85 seconds)
Cbc0010I After 31714 nodes, 1178 on tree, 18.787275 best solution, best possible 0 (100.55 seconds)
Cbc0010I After 32072 nodes, 1253 on tree, 18.787275 best solution, best possible 0 (101.25 seconds)
Cbc0010I After 32390 nodes, 1310 on tree, 18.787275 best solution, best possible 0 (101.95 seconds)
Cbc0010I After 32702 nodes, 1300 on tree, 18.787275 best solution, best possible 0 (102.66 seconds)
Cbc0010I After 33044 nodes, 1286 on tree, 18.787275 best solution, best possible 0 (103.36 seconds)
Cbc0010I After 33365 nodes, 1246 on tree, 18.787275 best solution, best possible 0 (104.06 seconds)
Cbc0010I After 33874 nodes, 1180 on tree, 18.787275 best solution, best possible 0 (104.76 seconds)
Cbc0010I After 34362 nodes, 1218 on tree, 18.787275 best solution, best possible 0 (105.46 seconds)
Cbc0010I After 34811 nodes, 1323 on tree, 18.787275 best solution, best possible 0 (106.16 seconds)
Cbc0010I After 35214 nodes, 1369 on tree, 18.787275 best solution, best possible 0 (106.86 seconds)
Cbc0010I After 35732 nodes, 1363 on tree, 18.787275 best solution, best possible 0 (107.56 seconds)
Cbc0010I After 36200 nodes, 1356 on tree, 18.787275 best solution, best possible 0 (108.26 seconds)
Cbc0010I After 36631 nodes, 1430 on tree, 18.787275 best solution, best possible 0 (108.96 seconds)
Cbc0010I After 37176 nodes, 1460 on tree, 18.787275 best solution, best possible 0 (109.66 seconds)
Cbc0010I After 37696 nodes, 1375 on tree, 18.787275 best solution, best possible 0 (110.37 seconds)
Cbc0010I After 38222 nodes, 1391 on tree, 18.787275 best solution, best possible 0 (111.07 seconds)
Cbc0010I After 38762 nodes, 1427 on tree, 18.787275 best solution, best possible 0 (111.77 seconds)
Cbc0010I After 39168 nodes, 1405 on tree, 18.787275 best solution, best possible 0 (112.47 seconds)
Cbc0010I After 39483 nodes, 1396 on tree, 18.787275 best solution, best possible 0 (113.17 seconds)
Cbc0010I After 39728 nodes, 1415 on tree, 18.787275 best solution, best possible 0 (113.87 seconds)
Cbc0010I After 40005 nodes, 1402 on tree, 18.787275 best solution, best possible 0 (114.57 seconds)
Cbc0010I After 40344 nodes, 1426 on tree, 18.787275 best solution, best possible 0 (115.28 seconds)
Cbc0010I After 40637 nodes, 1399 on tree, 18.787275 best solution, best possible 0 (115.98 seconds)
Cbc0010I After 40943 nodes, 1352 on tree, 18.787275 best solution, best possible 0 (116.68 seconds)
Cbc0010I After 41220 nodes, 1323 on tree, 18.787275 best solution, best possible 0 (117.38 seconds)
Cbc0010I After 41648 nodes, 1276 on tree, 18.787275 best solution, best possible 0 (118.08 seconds)
Cbc0010I After 42070 nodes, 1247 on tree, 18.787275 best solution, best possible 0 (118.79 seconds)
Cbc0010I After 42375 nodes, 1286 on tree, 18.787275 best solution, best possible 0 (119.49 seconds)
Cbc0010I After 42662 nodes, 1295 on tree, 18.787275 best solution, best possible 0 (120.19 seconds)
Cbc0010I After 42991 nodes, 1286 on tree, 18.787275 best solution, best possible 0 (120.89 seconds)
Cbc0010I After 43229 nodes, 1281 on tree, 18.787275 best solution, best possible 0 (121.59 seconds)
Cbc0010I After 43529 nodes, 1317 on tree, 18.787275 best solution, best possible 0 (122.29 seconds)
Cbc0010I After 43841 nodes, 1363 on tree, 18.787275 best solution, best possible 0 (122.99 seconds)
Cbc0010I After 44055 nodes, 1389 on tree, 18.787275 best solution, best possible 0 (123.70 seconds)
Cbc0010I After 44236 nodes, 1391 on tree, 18.787275 best solution, best possible 0 (124.41 seconds)
Cbc0010I After 44505 nodes, 1399 on tree, 18.787275 best solution, best possible 0 (125.11 seconds)
Cbc0010I After 44716 nodes, 1398 on tree, 18.787275 best solution, best possible 0 (125.81 seconds)
Cbc0010I After 44971 nodes, 1365 on tree, 18.787275 best solution, best possible 0 (126.52 seconds)
Cbc0010I After 45262 nodes, 1316 on tree, 18.787275 best solution, best possible 0 (127.23 seconds)
Cbc0010I After 45576 nodes, 1288 on tree, 18.787275 best solution, best possible 0 (127.93 seconds)
Cbc0010I After 45889 nodes, 1254 on tree, 18.787275 best solution, best possible 0 (128.63 seconds)
Cbc0010I After 46336 nodes, 1188 on tree, 18.787275 best solution, best possible 0 (129.33 seconds)
Cbc0010I After 46600 nodes, 1203 on tree, 18.787275 best solution, best possible 0 (130.03 seconds)
Cbc0010I After 46756 nodes, 1221 on tree, 18.787275 best solution, best possible 0 (130.74 seconds)
Cbc0010I After 46999 nodes, 1221 on tree, 18.787275 best solution, best possible 0 (131.44 seconds)
Cbc0010I After 47286 nodes, 1226 on tree, 18.787275 best solution, best possible 0 (132.14 seconds)
Cbc0010I After 47609 nodes, 1254 on tree, 18.787275 best solution, best possible 0 (132.85 seconds)
Cbc0010I After 47895 nodes, 1284 on tree, 18.787275 best solution, best possible 0 (133.55 seconds)
Cbc0010I After 48167 nodes, 1289 on tree, 18.787275 best solution, best possible 0 (134.25 seconds)
Cbc0010I After 48467 nodes, 1264 on tree, 18.787275 best solution, best possible 0 (134.95 seconds)
Cbc0010I After 48759 nodes, 1272 on tree, 18.787275 best solution, best possible 0 (135.67 seconds)
Cbc0010I After 49075 nodes, 1244 on tree, 18.787275 best solution, best possible 0 (136.37 seconds)
Cbc0010I After 49443 nodes, 1199 on tree, 18.787275 best solution, best possible 0 (137.07 seconds)
Cbc0010I After 49792 nodes, 1161 on tree, 18.787275 best solution, best possible 0 (137.78 seconds)
Cbc0010I After 50096 nodes, 1150 on tree, 18.787275 best solution, best possible 0 (138.48 seconds)
Cbc0010I After 50389 nodes, 1145 on tree, 18.787275 best solution, best possible 0 (139.18 seconds)
Cbc0010I After 50565 nodes, 1118 on tree, 18.787275 best solution, best possible 0 (139.89 seconds)
Cbc0010I After 50710 nodes, 1110 on tree, 18.787275 best solution, best possible 0 (140.59 seconds)
Cbc0010I After 50833 nodes, 1139 on tree, 18.787275 best solution, best possible 0 (141.30 seconds)
Cbc0010I After 50939 nodes, 1137 on tree, 18.787275 best solution, best possible 0 (142.01 seconds)
Cbc0010I After 51123 nodes, 1157 on tree, 18.787275 best solution, best possible 0 (142.72 seconds)
Cbc0010I After 51398 nodes, 1185 on tree, 18.787275 best solution, best possible 0 (143.42 seconds)
Cbc0010I After 51537 nodes, 1207 on tree, 18.787275 best solution, best possible 0 (144.13 seconds)
Cbc0010I After 51686 nodes, 1221 on tree, 18.787275 best solution, best possible 0 (144.83 seconds)
Cbc0010I After 51861 nodes, 1246 on tree, 18.787275 best solution, best possible 0 (145.53 seconds)
Cbc0010I After 52070 nodes, 1250 on tree, 18.787275 best solution, best possible 0 (146.24 seconds)
Cbc0010I After 52308 nodes, 1244 on tree, 18.787275 best solution, best possible 0 (146.94 seconds)
Cbc0010I After 52447 nodes, 1235 on tree, 18.787275 best solution, best possible 0 (147.64 seconds)
Cbc0010I After 52612 nodes, 1204 on tree, 18.787275 best solution, best possible 0 (148.36 seconds)
