Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/liu.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/liu.txt -quit (default strategy 1)
At line 1 NAME           liu
At line 2 ROWS
At line 2182 COLUMNS
At line 7600 RHS
At line 8690 BOUNDS
At line 9780 ENDATA
Problem liu has 2178 rows, 1156 columns and 10626 elements
Coin0008I liu read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 346 - 0.13959 seconds
Cgl0004I processed model has 2178 rows, 1154 columns (1087 integer (1087 of which binary)) and 10626 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.041%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 371 integers unsatisfied sum - 6.88631
Cbc0038I Pass   1: suminf.    0.00000 (0) obj. 4720 iterations 421
Cbc0038I Solution found of 4720
Cbc0038I Relaxing continuous gives 4720
Cbc0038I Before mini branch and bound, 716 integers at bound fixed and 34 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 666 rows 203 columns
Cbc0038I Mini branch and bound improved solution from 4720 to 4292 (1.86 seconds)
Cbc0038I Freeing continuous variables gives a solution of 4292
Cbc0038I Round again with cutoff of 3897.4
Cbc0038I Pass   2: suminf.    0.09795 (8) obj. 3897.4 iterations 9
Cbc0038I Pass   3: suminf.    0.02746 (3) obj. 3897.4 iterations 24
Cbc0038I Pass   4: suminf.    0.00412 (2) obj. 3897.4 iterations 9
Cbc0038I Pass   5: suminf.    0.01007 (2) obj. 3897.4 iterations 2
Cbc0038I Pass   6: suminf.    5.65254 (226) obj. 3897.4 iterations 642
Cbc0038I Pass   7: suminf.    4.72565 (202) obj. 3897.4 iterations 83
Cbc0038I Pass   8: suminf.    4.28459 (186) obj. 3897.4 iterations 90
Cbc0038I Pass   9: suminf.    3.24101 (155) obj. 3897.4 iterations 93
Cbc0038I Pass  10: suminf.    2.78709 (125) obj. 3897.4 iterations 121
Cbc0038I Pass  11: suminf.    2.09216 (78) obj. 3897.4 iterations 132
Cbc0038I Pass  12: suminf.    1.85163 (66) obj. 3897.4 iterations 65
Cbc0038I Pass  13: suminf.    1.74708 (65) obj. 3897.4 iterations 120
Cbc0038I Pass  14: suminf.    1.70683 (41) obj. 3897.4 iterations 95
Cbc0038I Pass  15: suminf.    1.78042 (57) obj. 3897.4 iterations 98
Cbc0038I Pass  16: suminf.    1.16933 (32) obj. 3897.4 iterations 98
Cbc0038I Pass  17: suminf.    1.65492 (58) obj. 3897.4 iterations 82
Cbc0038I Pass  18: suminf.    1.13813 (25) obj. 3897.4 iterations 95
Cbc0038I Pass  19: suminf.    1.39819 (44) obj. 3897.4 iterations 79
Cbc0038I Pass  20: suminf.    1.11979 (28) obj. 3897.4 iterations 79
Cbc0038I Pass  21: suminf.    0.97023 (32) obj. 3897.4 iterations 70
Cbc0038I Pass  22: suminf.    1.01095 (25) obj. 3897.4 iterations 62
Cbc0038I Pass  23: suminf.    1.03477 (27) obj. 3897.4 iterations 47
Cbc0038I Pass  24: suminf.    0.86068 (19) obj. 3897.4 iterations 53
Cbc0038I Pass  25: suminf.    0.68373 (21) obj. 3897.4 iterations 46
Cbc0038I Pass  26: suminf.    1.02953 (25) obj. 3897.4 iterations 60
Cbc0038I Pass  27: suminf.    0.72493 (17) obj. 3897.4 iterations 47
Cbc0038I Pass  28: suminf.    0.74137 (14) obj. 3897.4 iterations 36
Cbc0038I Pass  29: suminf.    0.62181 (11) obj. 3897.4 iterations 34
Cbc0038I Pass  30: suminf.    0.71469 (14) obj. 3897.4 iterations 29
Cbc0038I Pass  31: suminf.    0.61396 (15) obj. 3897.4 iterations 37
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 445 integers at bound fixed and 0 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 709 columns - 6 fixed gives 2178, 703 - still too large
Cbc0038I Mini branch and bound did not improve solution (2.52 seconds)
Cbc0038I After 2.52 seconds - Feasibility pump exiting with objective of 4292 - took 1.31 seconds
Cbc0012I Integer solution of 4292 found by feasibility pump after 0 iterations and 0 nodes (2.53 seconds)
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 438 columns - 5 fixed gives 2178, 433 - still too large
Cbc0031I 311 added rows had average density of 5.8938907
Cbc0013I At root node, 311 cuts changed objective from 346 to 560 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 445 row cuts average 5.1 elements, 0 column cuts (231 active)  in 0.049 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 437 row cuts average 8.0 elements, 0 column cuts (0 active)  in 0.384 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.043 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 793 row cuts average 3.5 elements, 0 column cuts (0 active)  in 0.124 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.055 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 626 row cuts average 5.2 elements, 0 column cuts (0 active)  in 0.433 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 4292 best solution, best possible 560 (6.20 seconds)
Cbc0010I After 616 nodes, 330 on tree, 4292 best solution, best possible 560 (56.71 seconds)
Cbc0010I After 628 nodes, 337 on tree, 4292 best solution, best possible 560 (57.42 seconds)
Cbc0010I After 635 nodes, 341 on tree, 4292 best solution, best possible 560 (58.25 seconds)
Cbc0010I After 643 nodes, 344 on tree, 4292 best solution, best possible 560 (58.96 seconds)
Cbc0010I After 654 nodes, 355 on tree, 4292 best solution, best possible 560 (59.71 seconds)
Cbc0010I After 665 nodes, 360 on tree, 4292 best solution, best possible 560 (60.41 seconds)
Cbc0010I After 677 nodes, 367 on tree, 4292 best solution, best possible 560 (61.12 seconds)
Cbc0010I After 688 nodes, 370 on tree, 4292 best solution, best possible 560 (61.86 seconds)
Cbc0010I After 703 nodes, 377 on tree, 4292 best solution, best possible 560 (62.77 seconds)
Cbc0010I After 715 nodes, 383 on tree, 4292 best solution, best possible 560 (63.65 seconds)
Cbc0010I After 730 nodes, 392 on tree, 4292 best solution, best possible 560 (64.36 seconds)
Cbc0010I After 742 nodes, 397 on tree, 4292 best solution, best possible 560 (65.09 seconds)
Cbc0010I After 759 nodes, 408 on tree, 4292 best solution, best possible 560 (65.81 seconds)
Cbc0010I After 771 nodes, 414 on tree, 4292 best solution, best possible 560 (66.54 seconds)
Cbc0010I After 789 nodes, 423 on tree, 4292 best solution, best possible 560 (67.46 seconds)
Cbc0010I After 807 nodes, 434 on tree, 4292 best solution, best possible 560 (68.21 seconds)
Cbc0010I After 820 nodes, 441 on tree, 4292 best solution, best possible 560 (68.91 seconds)
Cbc0010I After 833 nodes, 449 on tree, 4292 best solution, best possible 560 (69.64 seconds)
Cbc0010I After 844 nodes, 454 on tree, 4292 best solution, best possible 560 (70.52 seconds)
Cbc0010I After 856 nodes, 460 on tree, 4292 best solution, best possible 560 (71.30 seconds)
Cbc0010I After 868 nodes, 469 on tree, 4292 best solution, best possible 560 (72.02 seconds)
Cbc0010I After 882 nodes, 476 on tree, 4292 best solution, best possible 560 (72.74 seconds)
Cbc0010I After 895 nodes, 483 on tree, 4292 best solution, best possible 560 (73.46 seconds)
Cbc0010I After 915 nodes, 497 on tree, 4292 best solution, best possible 560 (74.18 seconds)
Cbc0010I After 939 nodes, 510 on tree, 4292 best solution, best possible 560 (74.90 seconds)
Cbc0010I After 960 nodes, 520 on tree, 4292 best solution, best possible 560 (75.61 seconds)
Cbc0010I After 979 nodes, 529 on tree, 4292 best solution, best possible 560 (76.33 seconds)
Cbc0010I After 1002 nodes, 540 on tree, 4292 best solution, best possible 560 (77.14 seconds)
Cbc0010I After 1019 nodes, 557 on tree, 4292 best solution, best possible 560 (77.85 seconds)
Cbc0010I After 1034 nodes, 570 on tree, 4292 best solution, best possible 560 (78.56 seconds)
Cbc0010I After 1057 nodes, 593 on tree, 4292 best solution, best possible 560 (79.28 seconds)
Cbc0010I After 1078 nodes, 612 on tree, 4292 best solution, best possible 560 (80.00 seconds)
Cbc0010I After 1108 nodes, 642 on tree, 4292 best solution, best possible 560 (80.71 seconds)
Cbc0016I Integer solution of 3762 found by strong branching after 46747 iterations and 1129 nodes (81.25 seconds)
Cbc0010I After 1130 nodes, 662 on tree, 3762 best solution, best possible 560 (81.42 seconds)
Cbc0010I After 1143 nodes, 668 on tree, 3762 best solution, best possible 560 (82.15 seconds)
Cbc0010I After 1156 nodes, 675 on tree, 3762 best solution, best possible 560 (82.86 seconds)
Cbc0010I After 1174 nodes, 685 on tree, 3762 best solution, best possible 560 (83.60 seconds)
Cbc0010I After 1192 nodes, 695 on tree, 3762 best solution, best possible 560 (84.35 seconds)
Cbc0010I After 1207 nodes, 703 on tree, 3762 best solution, best possible 560 (85.20 seconds)
Cbc0010I After 1226 nodes, 713 on tree, 3762 best solution, best possible 560 (85.93 seconds)
Cbc0010I After 1238 nodes, 717 on tree, 3762 best solution, best possible 560 (86.64 seconds)
Cbc0010I After 1256 nodes, 727 on tree, 3762 best solution, best possible 560 (87.35 seconds)
Cbc0010I After 1270 nodes, 734 on tree, 3762 best solution, best possible 560 (88.06 seconds)
Cbc0010I After 1287 nodes, 740 on tree, 3762 best solution, best possible 560 (88.78 seconds)
Cbc0010I After 1302 nodes, 748 on tree, 3762 best solution, best possible 560 (89.49 seconds)
Cbc0010I After 1320 nodes, 758 on tree, 3762 best solution, best possible 560 (90.40 seconds)
Cbc0010I After 1342 nodes, 769 on tree, 3762 best solution, best possible 560 (91.11 seconds)
Cbc0010I After 1357 nodes, 774 on tree, 3762 best solution, best possible 560 (91.83 seconds)
Cbc0010I After 1380 nodes, 786 on tree, 3762 best solution, best possible 560 (92.54 seconds)
Cbc0010I After 1397 nodes, 792 on tree, 3762 best solution, best possible 560 (93.26 seconds)
Cbc0010I After 1413 nodes, 803 on tree, 3762 best solution, best possible 560 (93.98 seconds)
Cbc0010I After 1431 nodes, 809 on tree, 3762 best solution, best possible 560 (94.69 seconds)
Cbc0010I After 1448 nodes, 816 on tree, 3762 best solution, best possible 560 (95.46 seconds)
Cbc0010I After 1465 nodes, 824 on tree, 3762 best solution, best possible 560 (96.17 seconds)
Cbc0010I After 1484 nodes, 835 on tree, 3762 best solution, best possible 560 (96.90 seconds)
Cbc0010I After 1508 nodes, 848 on tree, 3762 best solution, best possible 560 (97.63 seconds)
Cbc0010I After 1524 nodes, 854 on tree, 3762 best solution, best possible 560 (98.35 seconds)
Cbc0010I After 1537 nodes, 862 on tree, 3762 best solution, best possible 560 (99.07 seconds)
Cbc0010I After 1552 nodes, 871 on tree, 3762 best solution, best possible 560 (99.80 seconds)
Cbc0010I After 1569 nodes, 881 on tree, 3762 best solution, best possible 560 (100.52 seconds)
Cbc0010I After 1586 nodes, 891 on tree, 3762 best solution, best possible 560 (101.26 seconds)
Cbc0010I After 1604 nodes, 898 on tree, 3762 best solution, best possible 560 (101.98 seconds)
Cbc0010I After 1621 nodes, 904 on tree, 3762 best solution, best possible 560 (102.69 seconds)
Cbc0010I After 1636 nodes, 909 on tree, 3762 best solution, best possible 560 (103.55 seconds)
Cbc0010I After 1645 nodes, 914 on tree, 3762 best solution, best possible 560 (104.28 seconds)
Cbc0010I After 1662 nodes, 923 on tree, 3762 best solution, best possible 560 (104.99 seconds)
Cbc0010I After 1677 nodes, 933 on tree, 3762 best solution, best possible 560 (105.70 seconds)
Cbc0010I After 1690 nodes, 939 on tree, 3762 best solution, best possible 560 (106.41 seconds)
Cbc0010I After 1704 nodes, 944 on tree, 3762 best solution, best possible 560 (107.14 seconds)
Cbc0010I After 1716 nodes, 946 on tree, 3762 best solution, best possible 560 (107.87 seconds)
Cbc0010I After 1735 nodes, 956 on tree, 3762 best solution, best possible 560 (108.61 seconds)
Cbc0010I After 1749 nodes, 962 on tree, 3762 best solution, best possible 560 (109.32 seconds)
Cbc0010I After 1762 nodes, 967 on tree, 3762 best solution, best possible 560 (110.02 seconds)
Cbc0010I After 1776 nodes, 974 on tree, 3762 best solution, best possible 560 (110.91 seconds)
Cbc0010I After 1785 nodes, 979 on tree, 3762 best solution, best possible 560 (111.61 seconds)
Cbc0010I After 1795 nodes, 983 on tree, 3762 best solution, best possible 560 (112.35 seconds)
Cbc0010I After 1815 nodes, 996 on tree, 3762 best solution, best possible 560 (113.06 seconds)
Cbc0010I After 1834 nodes, 1002 on tree, 3762 best solution, best possible 560 (113.77 seconds)
Cbc0010I After 1850 nodes, 1011 on tree, 3762 best solution, best possible 560 (114.58 seconds)
Cbc0010I After 1865 nodes, 1018 on tree, 3762 best solution, best possible 560 (115.31 seconds)
Cbc0010I After 1884 nodes, 1029 on tree, 3762 best solution, best possible 560 (116.11 seconds)
Cbc0010I After 1905 nodes, 1038 on tree, 3762 best solution, best possible 560 (116.81 seconds)
Cbc0010I After 1918 nodes, 1047 on tree, 3762 best solution, best possible 560 (117.53 seconds)
Cbc0010I After 1940 nodes, 1060 on tree, 3762 best solution, best possible 560 (118.25 seconds)
Cbc0010I After 1955 nodes, 1070 on tree, 3762 best solution, best possible 560 (119.02 seconds)
Cbc0010I After 1970 nodes, 1078 on tree, 3762 best solution, best possible 560 (119.72 seconds)
Cbc0010I After 1985 nodes, 1086 on tree, 3762 best solution, best possible 560 (120.44 seconds)
Cbc0010I After 2002 nodes, 1095 on tree, 3762 best solution, best possible 560 (121.16 seconds)
Cbc0010I After 2015 nodes, 1100 on tree, 3762 best solution, best possible 560 (121.93 seconds)
Cbc0010I After 2034 nodes, 1103 on tree, 3762 best solution, best possible 560 (122.64 seconds)
Cbc0010I After 2048 nodes, 1108 on tree, 3762 best solution, best possible 560 (123.44 seconds)
Cbc0010I After 2072 nodes, 1124 on tree, 3762 best solution, best possible 560 (124.17 seconds)
Cbc0010I After 2090 nodes, 1136 on tree, 3762 best solution, best possible 560 (124.87 seconds)
Cbc0010I After 2115 nodes, 1152 on tree, 3762 best solution, best possible 560 (125.64 seconds)
Cbc0010I After 2131 nodes, 1156 on tree, 3762 best solution, best possible 560 (126.34 seconds)
Cbc0010I After 2147 nodes, 1163 on tree, 3762 best solution, best possible 560 (127.10 seconds)
Cbc0010I After 2167 nodes, 1167 on tree, 3762 best solution, best possible 560 (127.81 seconds)
Cbc0010I After 2189 nodes, 1179 on tree, 3762 best solution, best possible 560 (128.52 seconds)
Cbc0010I After 2212 nodes, 1190 on tree, 3762 best solution, best possible 560 (129.24 seconds)
Cbc0010I After 2234 nodes, 1202 on tree, 3762 best solution, best possible 560 (129.94 seconds)
Cbc0010I After 2251 nodes, 1211 on tree, 3762 best solution, best possible 560 (130.66 seconds)
Cbc0010I After 2270 nodes, 1220 on tree, 3762 best solution, best possible 560 (131.43 seconds)
Cbc0010I After 2288 nodes, 1229 on tree, 3762 best solution, best possible 560 (132.16 seconds)
Cbc0010I After 2314 nodes, 1242 on tree, 3762 best solution, best possible 560 (132.87 seconds)
Cbc0010I After 2339 nodes, 1256 on tree, 3762 best solution, best possible 560 (133.57 seconds)
Cbc0010I After 2363 nodes, 1268 on tree, 3762 best solution, best possible 560 (134.35 seconds)
Cbc0010I After 2381 nodes, 1276 on tree, 3762 best solution, best possible 560 (135.05 seconds)
Cbc0010I After 2405 nodes, 1282 on tree, 3762 best solution, best possible 560 (135.78 seconds)
Cbc0010I After 2430 nodes, 1295 on tree, 3762 best solution, best possible 560 (136.49 seconds)
Cbc0010I After 2454 nodes, 1308 on tree, 3762 best solution, best possible 560 (137.22 seconds)
