Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Mar 30 2022
command line - -import /home/danilo/cbc-test-set/neos-4300652-rahue.mps.gz -timeM elapsed -seconds 10800 -knapsack off -solve -solu sol-group-root/neos-4300652-rahue.txt -quit (default strategy 1)
At line 1 NAME          neos-4300652-rahue
At line 2 ROWS
At line 76996 COLUMNS
At line 270989 RHS
At line 293871 BOUNDS
At line 314772 ENDATA
Problem neos-4300652-rahue has 76992 rows, 33003 columns and 183616 elements
Coin0008I neos-4300652-rahue read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 2.49758 seconds
Cgl0003I 0 fixed, 0 tightened bounds, 10374 strengthened rows, 0 substitutions
Cgl0004I processed model has 71729 rows, 27759 columns (20843 integer (20843 of which binary)) and 183407 elements
Coin3009W Conflict graph built in 0.028 seconds, density: 0.003%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 93 integers unsatisfied sum - 31
Cbc0038I Pass   1: (23.69 seconds) suminf.   20.00000 (40) obj. 0 iterations 4966
Cbc0038I Pass   2: (26.87 seconds) suminf.   20.00000 (40) obj. 0 iterations 403
Cbc0038I Pass   3: (28.39 seconds) suminf.   20.00000 (40) obj. 0 iterations 227
Cbc0038I Pass   4: (30.08 seconds) suminf.   20.00000 (40) obj. 0 iterations 225
Cbc0038I Pass   5: (31.80 seconds) suminf.   20.00000 (40) obj. 0 iterations 253
Cbc0038I Pass   6: (33.45 seconds) suminf.   20.00000 (40) obj. 0 iterations 229
Cbc0038I Pass   7: (35.39 seconds) suminf.   20.00000 (40) obj. 0 iterations 267
Cbc0038I Pass   8: (37.81 seconds) suminf.   20.00000 (40) obj. 0 iterations 331
Cbc0038I Pass   9: (41.49 seconds) suminf.   20.00000 (40) obj. 0 iterations 509
Cbc0038I Pass  10: (45.10 seconds) suminf.   20.00000 (40) obj. 0 iterations 579
Cbc0038I Pass  11: (49.49 seconds) suminf.   20.00000 (40) obj. 0 iterations 672
Cbc0038I Pass  12: (53.89 seconds) suminf.   20.00000 (40) obj. 0 iterations 739
Cbc0038I Pass  13: (55.92 seconds) suminf.   20.00000 (40) obj. 0 iterations 322
Cbc0038I Pass  14: (59.27 seconds) suminf.   20.00000 (40) obj. 0 iterations 461
Cbc0038I Pass  15: (63.30 seconds) suminf.   20.00000 (40) obj. 0 iterations 623
Cbc0038I Pass  16: (67.08 seconds) suminf.   20.00000 (40) obj. 0 iterations 546
Cbc0038I Pass  17: (70.75 seconds) suminf.   20.00000 (40) obj. 0 iterations 537
Cbc0038I Pass  18: (90.29 seconds) suminf.  167.00000 (361) obj. 1.23075 iterations 4586
Cbc0038I Pass  19: (115.14 seconds) suminf.   37.54167 (111) obj. 0.233029 iterations 5701
Cbc0038I Pass  20: (119.48 seconds) suminf.   31.70833 (96) obj. 0.219425 iterations 854
Cbc0038I Pass  21: (121.91 seconds) suminf.   30.54167 (100) obj. 0.237292 iterations 408
Cbc0038I Pass  22: (123.28 seconds) suminf.   30.41667 (100) obj. 0.232383 iterations 247
Cbc0038I Pass  23: (123.96 seconds) suminf.   30.41667 (100) obj. 0.232383 iterations 106
Cbc0038I Pass  24: (129.15 seconds) suminf.   26.66667 (74) obj. 0.2432 iterations 885
Cbc0038I Pass  25: (130.92 seconds) suminf.   25.16667 (68) obj. 0.241867 iterations 283
Cbc0038I Pass  26: (133.78 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 393
Cbc0038I Pass  27: (135.08 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 192
Cbc0038I Pass  28: (136.72 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 222
Cbc0038I Pass  29: (137.58 seconds) suminf.   24.33333 (67) obj. 0.237867 iterations 165
Cbc0038I Pass  30: (141.23 seconds) suminf.   22.66667 (68) obj. 0.237867 iterations 479
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 20446 integers at bound fixed and 3251 continuous
Cbc0038I Full problem 71729 rows 27759 columns, reduced to 16640 rows 2939 columns
Cbc0038I Mini branch and bound did not improve solution (142.16 seconds)
Cbc0038I After 142.16 seconds - Feasibility pump exiting - took 130.89 seconds
Cbc0031I 138 added rows had average density of 72.384058
Cbc0013I At root node, 138 cuts changed objective from 0 to 0.12010892 in 36 passes
Cbc0010I After 30 nodes, 19 on tree, 1e+50 best solution, best possible 0.12010892 (3453.61 seconds)
Cbc0010I After 31 nodes, 20 on tree, 1e+50 best solution, best possible 0.12010892 (3475.86 seconds)
Cbc0010I After 32 nodes, 20 on tree, 1e+50 best solution, best possible 0.12010892 (3578.09 seconds)
Cbc0010I After 33 nodes, 21 on tree, 1e+50 best solution, best possible 0.12010892 (3613.87 seconds)
Cbc0010I After 34 nodes, 21 on tree, 1e+50 best solution, best possible 0.12010892 (3709.38 seconds)
Cbc0010I After 35 nodes, 22 on tree, 1e+50 best solution, best possible 0.12010892 (3736.09 seconds)
Cbc0010I After 36 nodes, 22 on tree, 1e+50 best solution, best possible 0.12010892 (3815.70 seconds)
Cbc0010I After 37 nodes, 23 on tree, 1e+50 best solution, best possible 0.12010892 (3844.31 seconds)
Cbc0010I After 38 nodes, 23 on tree, 1e+50 best solution, best possible 0.12010892 (3921.90 seconds)
Cbc0010I After 39 nodes, 24 on tree, 1e+50 best solution, best possible 0.12010892 (3956.29 seconds)
Cbc0010I After 40 nodes, 25 on tree, 1e+50 best solution, best possible 0.12010892 (4002.73 seconds)
Cbc0010I After 41 nodes, 25 on tree, 1e+50 best solution, best possible 0.12010892 (4037.51 seconds)
Cbc0010I After 42 nodes, 26 on tree, 1e+50 best solution, best possible 0.12010892 (4066.96 seconds)
Cbc0010I After 43 nodes, 26 on tree, 1e+50 best solution, best possible 0.12010892 (4114.00 seconds)
Cbc0010I After 44 nodes, 27 on tree, 1e+50 best solution, best possible 0.12010892 (4132.06 seconds)
Cbc0010I After 45 nodes, 28 on tree, 1e+50 best solution, best possible 0.12010892 (4149.59 seconds)
Cbc0010I After 46 nodes, 28 on tree, 1e+50 best solution, best possible 0.12010892 (4172.24 seconds)
Cbc0010I After 47 nodes, 29 on tree, 1e+50 best solution, best possible 0.12010892 (4189.14 seconds)
Cbc0010I After 48 nodes, 30 on tree, 1e+50 best solution, best possible 0.12010892 (4226.27 seconds)
Cbc0010I After 49 nodes, 30 on tree, 1e+50 best solution, best possible 0.12010892 (4268.77 seconds)
Cbc0010I After 50 nodes, 30 on tree, 1e+50 best solution, best possible 0.12010892 (4292.84 seconds)
Cbc0010I After 51 nodes, 31 on tree, 1e+50 best solution, best possible 0.12010892 (4324.13 seconds)
Cbc0010I After 52 nodes, 31 on tree, 1e+50 best solution, best possible 0.12010892 (4363.23 seconds)
Cbc0010I After 53 nodes, 32 on tree, 1e+50 best solution, best possible 0.12010892 (4377.48 seconds)
Cbc0010I After 54 nodes, 32 on tree, 1e+50 best solution, best possible 0.12010892 (4394.38 seconds)
Cbc0010I After 55 nodes, 33 on tree, 1e+50 best solution, best possible 0.12010892 (4406.13 seconds)
Cbc0010I After 56 nodes, 33 on tree, 1e+50 best solution, best possible 0.12010892 (4420.99 seconds)
Cbc0010I After 57 nodes, 33 on tree, 1e+50 best solution, best possible 0.12010892 (4439.64 seconds)
Cbc0010I After 58 nodes, 34 on tree, 1e+50 best solution, best possible 0.12010892 (4449.96 seconds)
Cbc0010I After 59 nodes, 35 on tree, 1e+50 best solution, best possible 0.12010892 (4460.24 seconds)
Cbc0010I After 60 nodes, 35 on tree, 1e+50 best solution, best possible 0.12010892 (4473.84 seconds)
Cbc0010I After 61 nodes, 36 on tree, 1e+50 best solution, best possible 0.12010892 (4482.48 seconds)
Cbc0010I After 62 nodes, 36 on tree, 1e+50 best solution, best possible 0.12010892 (4492.08 seconds)
Cbc0010I After 63 nodes, 37 on tree, 1e+50 best solution, best possible 0.12010892 (4500.01 seconds)
Cbc0010I After 64 nodes, 38 on tree, 1e+50 best solution, best possible 0.12010892 (4505.65 seconds)
Cbc0010I After 65 nodes, 38 on tree, 1e+50 best solution, best possible 0.12010892 (4514.79 seconds)
Cbc0010I After 66 nodes, 38 on tree, 1e+50 best solution, best possible 0.12010892 (4524.40 seconds)
Cbc0010I After 67 nodes, 39 on tree, 1e+50 best solution, best possible 0.12010892 (4536.70 seconds)
Cbc0010I After 68 nodes, 39 on tree, 1e+50 best solution, best possible 0.12010892 (4542.80 seconds)
Cbc0010I After 69 nodes, 40 on tree, 1e+50 best solution, best possible 0.12010892 (4552.82 seconds)
Cbc0010I After 70 nodes, 40 on tree, 1e+50 best solution, best possible 0.12010892 (4598.46 seconds)
Cbc0010I After 71 nodes, 41 on tree, 1e+50 best solution, best possible 0.12010892 (4607.82 seconds)
Cbc0010I After 72 nodes, 41 on tree, 1e+50 best solution, best possible 0.12010892 (4642.76 seconds)
Cbc0010I After 73 nodes, 42 on tree, 1e+50 best solution, best possible 0.12010892 (4656.51 seconds)
Cbc0010I After 74 nodes, 42 on tree, 1e+50 best solution, best possible 0.12010892 (4664.92 seconds)
Cbc0010I After 75 nodes, 43 on tree, 1e+50 best solution, best possible 0.12010892 (4677.97 seconds)
Cbc0010I After 76 nodes, 43 on tree, 1e+50 best solution, best possible 0.12010892 (4688.60 seconds)
Cbc0010I After 77 nodes, 44 on tree, 1e+50 best solution, best possible 0.12010892 (4705.32 seconds)
Cbc0010I After 78 nodes, 44 on tree, 1e+50 best solution, best possible 0.12010892 (4725.24 seconds)
Cbc0010I After 79 nodes, 45 on tree, 1e+50 best solution, best possible 0.12010892 (4755.88 seconds)
Cbc0010I After 80 nodes, 45 on tree, 1e+50 best solution, best possible 0.12010892 (4798.41 seconds)
Cbc0010I After 81 nodes, 46 on tree, 1e+50 best solution, best possible 0.12010892 (4806.12 seconds)
Cbc0010I After 82 nodes, 46 on tree, 1e+50 best solution, best possible 0.12010892 (4880.30 seconds)
Cbc0010I After 83 nodes, 47 on tree, 1e+50 best solution, best possible 0.12010892 (4889.84 seconds)
Cbc0010I After 84 nodes, 48 on tree, 1e+50 best solution, best possible 0.12010892 (4900.08 seconds)
Cbc0010I After 85 nodes, 48 on tree, 1e+50 best solution, best possible 0.12010892 (4912.37 seconds)
Cbc0010I After 86 nodes, 49 on tree, 1e+50 best solution, best possible 0.12010892 (4924.69 seconds)
Cbc0010I After 87 nodes, 49 on tree, 1e+50 best solution, best possible 0.12010892 (4936.60 seconds)
Cbc0010I After 88 nodes, 49 on tree, 1e+50 best solution, best possible 0.12010892 (4953.67 seconds)
Cbc0010I After 89 nodes, 50 on tree, 1e+50 best solution, best possible 0.12010892 (4964.95 seconds)
Cbc0010I After 90 nodes, 50 on tree, 1e+50 best solution, best possible 0.12010892 (4977.51 seconds)
Cbc0010I After 91 nodes, 51 on tree, 1e+50 best solution, best possible 0.12010892 (4988.27 seconds)
Cbc0010I After 92 nodes, 51 on tree, 1e+50 best solution, best possible 0.12010892 (5000.59 seconds)
Cbc0010I After 93 nodes, 52 on tree, 1e+50 best solution, best possible 0.12010892 (5013.22 seconds)
Cbc0010I After 94 nodes, 52 on tree, 1e+50 best solution, best possible 0.12010892 (5028.12 seconds)
Cbc0010I After 95 nodes, 53 on tree, 1e+50 best solution, best possible 0.12010892 (5034.12 seconds)
Cbc0010I After 96 nodes, 54 on tree, 1e+50 best solution, best possible 0.12010892 (5039.03 seconds)
Cbc0010I After 97 nodes, 54 on tree, 1e+50 best solution, best possible 0.12010892 (5059.29 seconds)
Cbc0010I After 98 nodes, 55 on tree, 1e+50 best solution, best possible 0.12010892 (5071.82 seconds)
Cbc0010I After 99 nodes, 55 on tree, 1e+50 best solution, best possible 0.12010892 (5099.77 seconds)
Cbc0010I After 100 nodes, 55 on tree, 1e+50 best solution, best possible 0.12010892 (5137.86 seconds)
Cbc0010I After 101 nodes, 56 on tree, 1e+50 best solution, best possible 0.12010892 (5158.25 seconds)
Cbc0010I After 102 nodes, 56 on tree, 1e+50 best solution, best possible 0.12010892 (5251.56 seconds)
Cbc0010I After 103 nodes, 57 on tree, 1e+50 best solution, best possible 0.12010892 (5269.43 seconds)
Cbc0010I After 104 nodes, 57 on tree, 1e+50 best solution, best possible 0.12010892 (5291.54 seconds)
Cbc0010I After 105 nodes, 58 on tree, 1e+50 best solution, best possible 0.12010892 (5303.45 seconds)
Cbc0010I After 106 nodes, 59 on tree, 1e+50 best solution, best possible 0.12010892 (5312.15 seconds)
Cbc0010I After 107 nodes, 60 on tree, 1e+50 best solution, best possible 0.12010892 (5331.04 seconds)
Cbc0010I After 108 nodes, 60 on tree, 1e+50 best solution, best possible 0.12010892 (5356.61 seconds)
Cbc0010I After 109 nodes, 60 on tree, 1e+50 best solution, best possible 0.12010892 (5377.47 seconds)
Cbc0010I After 110 nodes, 60 on tree, 1e+50 best solution, best possible 0.12010892 (5396.37 seconds)
Cbc0010I After 111 nodes, 61 on tree, 1e+50 best solution, best possible 0.12010892 (5420.78 seconds)
Cbc0010I After 112 nodes, 61 on tree, 1e+50 best solution, best possible 0.12010892 (5445.25 seconds)
Cbc0010I After 113 nodes, 62 on tree, 1e+50 best solution, best possible 0.12010892 (5464.13 seconds)
Cbc0010I After 114 nodes, 62 on tree, 1e+50 best solution, best possible 0.12010892 (5490.97 seconds)
Cbc0010I After 115 nodes, 63 on tree, 1e+50 best solution, best possible 0.12010892 (5517.56 seconds)
Cbc0010I After 116 nodes, 63 on tree, 1e+50 best solution, best possible 0.12010892 (5563.19 seconds)
Cbc0010I After 117 nodes, 64 on tree, 1e+50 best solution, best possible 0.12010892 (5580.61 seconds)
Cbc0010I After 118 nodes, 65 on tree, 1e+50 best solution, best possible 0.12010892 (5590.04 seconds)
Cbc0010I After 119 nodes, 66 on tree, 1e+50 best solution, best possible 0.12010892 (5600.06 seconds)
Cbc0010I After 120 nodes, 67 on tree, 1e+50 best solution, best possible 0.12010892 (5610.90 seconds)
Cbc0010I After 121 nodes, 68 on tree, 1e+50 best solution, best possible 0.12010892 (5620.40 seconds)
Cbc0010I After 122 nodes, 69 on tree, 1e+50 best solution, best possible 0.12010892 (5629.52 seconds)
Cbc0010I After 123 nodes, 70 on tree, 1e+50 best solution, best possible 0.12010892 (5636.96 seconds)
Cbc0010I After 124 nodes, 71 on tree, 1e+50 best solution, best possible 0.12010892 (5646.88 seconds)
Cbc0010I After 125 nodes, 72 on tree, 1e+50 best solution, best possible 0.12010892 (5656.18 seconds)
Cbc0010I After 126 nodes, 73 on tree, 1e+50 best solution, best possible 0.12010892 (5664.26 seconds)
Cbc0010I After 127 nodes, 74 on tree, 1e+50 best solution, best possible 0.12010892 (5673.40 seconds)
Cbc0010I After 128 nodes, 75 on tree, 1e+50 best solution, best possible 0.12010892 (5682.93 seconds)
Cbc0010I After 129 nodes, 75 on tree, 1e+50 best solution, best possible 0.12010892 (5798.10 seconds)
Cbc0010I After 130 nodes, 76 on tree, 1e+50 best solution, best possible 0.12010892 (5805.73 seconds)
Cbc0010I After 131 nodes, 77 on tree, 1e+50 best solution, best possible 0.12010892 (5813.28 seconds)
Cbc0010I After 132 nodes, 78 on tree, 1e+50 best solution, best possible 0.12010892 (5821.48 seconds)
Cbc0010I After 133 nodes, 79 on tree, 1e+50 best solution, best possible 0.12010892 (5829.75 seconds)
Cbc0010I After 134 nodes, 80 on tree, 1e+50 best solution, best possible 0.12010892 (5838.02 seconds)
Cbc0010I After 135 nodes, 81 on tree, 1e+50 best solution, best possible 0.12010892 (5847.14 seconds)
Cbc0010I After 136 nodes, 82 on tree, 1e+50 best solution, best possible 0.12010892 (5856.04 seconds)
Cbc0010I After 137 nodes, 83 on tree, 1e+50 best solution, best possible 0.12010892 (5864.67 seconds)
Cbc0010I After 138 nodes, 84 on tree, 1e+50 best solution, best possible 0.12010892 (5873.19 seconds)
Cbc0010I After 139 nodes, 84 on tree, 1e+50 best solution, best possible 0.12010892 (5913.42 seconds)
Cbc0010I After 140 nodes, 85 on tree, 1e+50 best solution, best possible 0.12010892 (5935.35 seconds)
Cbc0010I After 141 nodes, 85 on tree, 1e+50 best solution, best possible 0.12010892 (5952.16 seconds)
Cbc0010I After 142 nodes, 86 on tree, 1e+50 best solution, best possible 0.12010892 (5979.34 seconds)
Cbc0010I After 143 nodes, 86 on tree, 1e+50 best solution, best possible 0.12010892 (6038.98 seconds)
Cbc0010I After 144 nodes, 87 on tree, 1e+50 best solution, best possible 0.12010892 (6075.63 seconds)
Cbc0010I After 145 nodes, 87 on tree, 1e+50 best solution, best possible 0.12010892 (6131.14 seconds)
Cbc0010I After 146 nodes, 88 on tree, 1e+50 best solution, best possible 0.12010892 (6138.71 seconds)
Cbc0010I After 147 nodes, 88 on tree, 1e+50 best solution, best possible 0.12010892 (6158.56 seconds)
Cbc0010I After 148 nodes, 89 on tree, 1e+50 best solution, best possible 0.12010892 (6166.51 seconds)
Cbc0010I After 149 nodes, 90 on tree, 1e+50 best solution, best possible 0.12010892 (6183.08 seconds)
Cbc0010I After 150 nodes, 90 on tree, 1e+50 best solution, best possible 0.12010892 (6198.68 seconds)
Cbc0010I After 151 nodes, 91 on tree, 1e+50 best solution, best possible 0.12010892 (6214.17 seconds)
Cbc0010I After 152 nodes, 91 on tree, 1e+50 best solution, best possible 0.12010892 (6232.27 seconds)
Cbc0010I After 153 nodes, 91 on tree, 1e+50 best solution, best possible 0.12010892 (6250.28 seconds)
Cbc0010I After 154 nodes, 92 on tree, 1e+50 best solution, best possible 0.12010892 (6264.01 seconds)
Cbc0010I After 155 nodes, 92 on tree, 1e+50 best solution, best possible 0.12010892 (6274.98 seconds)
Cbc0010I After 156 nodes, 93 on tree, 1e+50 best solution, best possible 0.12010892 (6312.47 seconds)
Cbc0010I After 157 nodes, 93 on tree, 1e+50 best solution, best possible 0.12010892 (6359.55 seconds)
Cbc0010I After 158 nodes, 94 on tree, 1e+50 best solution, best possible 0.12010892 (6367.99 seconds)
Cbc0010I After 159 nodes, 94 on tree, 1e+50 best solution, best possible 0.12010892 (6396.37 seconds)
Cbc0010I After 160 nodes, 95 on tree, 1e+50 best solution, best possible 0.12010892 (6404.00 seconds)
Cbc0010I After 161 nodes, 96 on tree, 1e+50 best solution, best possible 0.12010892 (6412.74 seconds)
Cbc0010I After 162 nodes, 97 on tree, 1e+50 best solution, best possible 0.12010892 (6421.31 seconds)
Cbc0010I After 163 nodes, 98 on tree, 1e+50 best solution, best possible 0.12010892 (6452.26 seconds)
Cbc0010I After 164 nodes, 98 on tree, 1e+50 best solution, best possible 0.12010892 (6553.64 seconds)
Cbc0010I After 165 nodes, 98 on tree, 1e+50 best solution, best possible 0.12010892 (6579.82 seconds)
Cbc0010I After 166 nodes, 99 on tree, 1e+50 best solution, best possible 0.12010892 (6649.45 seconds)
Cbc0010I After 167 nodes, 99 on tree, 1e+50 best solution, best possible 0.12010892 (6682.44 seconds)
Cbc0010I After 168 nodes, 99 on tree, 1e+50 best solution, best possible 0.12010892 (6713.71 seconds)
Cbc0010I After 169 nodes, 100 on tree, 1e+50 best solution, best possible 0.12010892 (6756.59 seconds)
Cbc0010I After 170 nodes, 100 on tree, 1e+50 best solution, best possible 0.12010892 (6798.03 seconds)
