Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos5.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos5.txt -quit (default strategy 1)
At line 1 NAME          neos5
At line 2 ROWS
At line 67 COLUMNS
At line 1141 RHS
At line 1174 BOUNDS
At line 1238 ENDATA
Problem neos5 has 63 rows, 63 columns and 2016 elements
Coin0008I neos5 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 13 - 0.007764 seconds
Cgl0004I processed model has 63 rows, 63 columns (53 integer (53 of which binary)) and 2016 elements
Coin3009W Conflict graph built in 0.000 seconds, density: 0.662%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 35 integers unsatisfied sum - 12.75
Cbc0038I Pass   1: suminf.    1.50000 (3) obj. 18.5 iterations 96
Cbc0038I Pass   2: suminf.    1.50000 (3) obj. 18.5 iterations 0
Cbc0038I Solution found of 20
Cbc0038I Relaxing continuous gives 19.5
Cbc0038I Before mini branch and bound, 13 integers at bound fixed and 1 continuous
Cbc0038I Full problem 63 rows 63 columns, reduced to 63 rows 49 columns
Cbc0038I Mini branch and bound improved solution from 19.5 to 15.5 (0.39 seconds)
Cbc0038I Round again with cutoff of 15.2499
Cbc0038I Pass   3: suminf.    3.00018 (13) obj. 15.2499 iterations 18
Cbc0038I Pass   4: suminf.    1.00000 (4) obj. 15.2499 iterations 19
Cbc0038I Pass   5: suminf.    0.75009 (4) obj. 15.2499 iterations 12
Cbc0038I Pass   6: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass   7: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass   8: suminf.    1.24973 (4) obj. 15.2499 iterations 22
Cbc0038I Pass   9: suminf.    0.87514 (3) obj. 15.2499 iterations 3
Cbc0038I Pass  10: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  11: suminf.    1.24973 (6) obj. 15.2499 iterations 21
Cbc0038I Pass  12: suminf.    0.75009 (4) obj. 15.2499 iterations 14
Cbc0038I Pass  13: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass  14: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass  15: suminf.    1.24973 (4) obj. 15.2499 iterations 26
Cbc0038I Pass  16: suminf.    0.87514 (3) obj. 15.2499 iterations 4
Cbc0038I Pass  17: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  18: suminf.    1.24973 (6) obj. 15.2499 iterations 22
Cbc0038I Pass  19: suminf.    0.75009 (4) obj. 15.2499 iterations 14
Cbc0038I Pass  20: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass  21: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass  22: suminf.    1.24973 (4) obj. 15.2499 iterations 22
Cbc0038I Pass  23: suminf.    0.87514 (3) obj. 15.2499 iterations 3
Cbc0038I Pass  24: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  25: suminf.    1.24973 (6) obj. 15.2499 iterations 21
Cbc0038I Pass  26: suminf.    0.75009 (4) obj. 15.2499 iterations 14
Cbc0038I Pass  27: suminf.    1.00036 (4) obj. 15.2499 iterations 10
Cbc0038I Pass  28: suminf.    0.75018 (4) obj. 15.2499 iterations 7
Cbc0038I Pass  29: suminf.    1.24973 (4) obj. 15.2499 iterations 23
Cbc0038I Pass  30: suminf.    0.87514 (3) obj. 15.2499 iterations 4
Cbc0038I Pass  31: suminf.    1.25009 (5) obj. 15.2499 iterations 14
Cbc0038I Pass  32: suminf.    1.24973 (6) obj. 15.2499 iterations 22
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 13 integers at bound fixed and 4 continuous
Cbc0038I Full problem 63 rows 63 columns, reduced to 63 rows 46 columns
Cbc0038I Mini branch and bound did not improve solution (0.80 seconds)
Cbc0038I After 0.80 seconds - Feasibility pump exiting with objective of 15.5 - took 0.79 seconds
Cbc0012I Integer solution of 15.5 found by feasibility pump after 0 iterations and 0 nodes (0.80 seconds)
Cbc0038I Full problem 63 rows 63 columns, reduced to 63 rows 46 columns
Cbc0031I 11 added rows had average density of 63
Cbc0013I At root node, 11 cuts changed objective from 13 to 13.643387 in 100 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.079 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 2414 row cuts average 63.0 elements, 0 column cuts (0 active)  in 0.502 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.121 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 2.074 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 18 row cuts average 62.5 elements, 0 column cuts (0 active)  in 0.349 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.115 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 15.5 best solution, best possible 13.643387 (5.98 seconds)
Cbc0010I After 17619 nodes, 3543 on tree, 15 best solution, best possible 13.949996 (47.88 seconds)
Cbc0010I After 18058 nodes, 3555 on tree, 15 best solution, best possible 13.949999 (48.58 seconds)
Cbc0010I After 18356 nodes, 3704 on tree, 15 best solution, best possible 13.960524 (49.28 seconds)
Cbc0010I After 18628 nodes, 3841 on tree, 15 best solution, best possible 13.96875 (49.98 seconds)
Cbc0010I After 18870 nodes, 3961 on tree, 15 best solution, best possible 13.999999 (50.69 seconds)
Cbc0010I After 19140 nodes, 4098 on tree, 15 best solution, best possible 14 (51.39 seconds)
Cbc0010I After 19444 nodes, 4255 on tree, 15 best solution, best possible 14 (52.10 seconds)
Cbc0010I After 19758 nodes, 4434 on tree, 15 best solution, best possible 14 (52.80 seconds)
Cbc0010I After 20040 nodes, 4547 on tree, 15 best solution, best possible 14 (53.50 seconds)
Cbc0010I After 20376 nodes, 4761 on tree, 15 best solution, best possible 14 (54.20 seconds)
Cbc0010I After 20676 nodes, 4868 on tree, 15 best solution, best possible 14 (54.90 seconds)
Cbc0010I After 21000 nodes, 5030 on tree, 15 best solution, best possible 14 (55.61 seconds)
Cbc0010I After 21532 nodes, 5025 on tree, 15 best solution, best possible 14 (56.31 seconds)
Cbc0010I After 22013 nodes, 4998 on tree, 15 best solution, best possible 14 (57.01 seconds)
Cbc0010I After 22317 nodes, 5176 on tree, 15 best solution, best possible 14 (57.71 seconds)
Cbc0010I After 22629 nodes, 5344 on tree, 15 best solution, best possible 14 (58.42 seconds)
Cbc0010I After 22933 nodes, 5464 on tree, 15 best solution, best possible 14 (59.12 seconds)
Cbc0010I After 23244 nodes, 5616 on tree, 15 best solution, best possible 14 (59.82 seconds)
Cbc0010I After 23565 nodes, 5774 on tree, 15 best solution, best possible 14 (60.52 seconds)
Cbc0010I After 23900 nodes, 5944 on tree, 15 best solution, best possible 14 (61.23 seconds)
Cbc0010I After 24223 nodes, 6156 on tree, 15 best solution, best possible 14 (61.93 seconds)
Cbc0010I After 24546 nodes, 6342 on tree, 15 best solution, best possible 14 (62.63 seconds)
Cbc0010I After 24861 nodes, 6478 on tree, 15 best solution, best possible 14 (63.33 seconds)
Cbc0010I After 25261 nodes, 6518 on tree, 15 best solution, best possible 14 (64.03 seconds)
Cbc0010I After 25733 nodes, 6514 on tree, 15 best solution, best possible 14 (64.73 seconds)
Cbc0010I After 26136 nodes, 6563 on tree, 15 best solution, best possible 14 (65.44 seconds)
Cbc0010I After 26466 nodes, 6734 on tree, 15 best solution, best possible 14 (66.14 seconds)
Cbc0010I After 26784 nodes, 6913 on tree, 15 best solution, best possible 14 (66.84 seconds)
Cbc0010I After 27102 nodes, 7050 on tree, 15 best solution, best possible 14 (67.55 seconds)
Cbc0010I After 27412 nodes, 7195 on tree, 15 best solution, best possible 14 (68.25 seconds)
Cbc0010I After 27721 nodes, 7345 on tree, 15 best solution, best possible 14 (68.95 seconds)
Cbc0010I After 28023 nodes, 7498 on tree, 15 best solution, best possible 14 (69.65 seconds)
Cbc0010I After 28344 nodes, 7662 on tree, 15 best solution, best possible 14 (70.35 seconds)
Cbc0010I After 28670 nodes, 7844 on tree, 15 best solution, best possible 14 (71.05 seconds)
Cbc0010I After 29000 nodes, 8034 on tree, 15 best solution, best possible 14 (71.76 seconds)
Cbc0010I After 29403 nodes, 8038 on tree, 15 best solution, best possible 14 (72.46 seconds)
Cbc0010I After 29823 nodes, 8027 on tree, 15 best solution, best possible 14 (73.17 seconds)
Cbc0010I After 30192 nodes, 8133 on tree, 15 best solution, best possible 14 (73.87 seconds)
Cbc0010I After 30525 nodes, 8321 on tree, 15 best solution, best possible 14 (74.57 seconds)
Cbc0010I After 30859 nodes, 8489 on tree, 15 best solution, best possible 14 (75.27 seconds)
Cbc0010I After 31161 nodes, 8594 on tree, 15 best solution, best possible 14 (75.97 seconds)
Cbc0010I After 31489 nodes, 8739 on tree, 15 best solution, best possible 14 (76.68 seconds)
Cbc0010I After 31814 nodes, 8891 on tree, 15 best solution, best possible 14 (77.38 seconds)
Cbc0010I After 32142 nodes, 9082 on tree, 15 best solution, best possible 14 (78.08 seconds)
Cbc0010I After 32462 nodes, 9261 on tree, 15 best solution, best possible 14 (78.78 seconds)
Cbc0010I After 32781 nodes, 9416 on tree, 15 best solution, best possible 14 (79.48 seconds)
Cbc0010I After 33135 nodes, 9524 on tree, 15 best solution, best possible 14 (80.19 seconds)
Cbc0010I After 33587 nodes, 9499 on tree, 15 best solution, best possible 14 (80.89 seconds)
Cbc0010I After 34009 nodes, 9498 on tree, 15 best solution, best possible 14 (81.59 seconds)
Cbc0010I After 34318 nodes, 9636 on tree, 15 best solution, best possible 14 (82.29 seconds)
Cbc0010I After 34625 nodes, 9787 on tree, 15 best solution, best possible 14 (82.99 seconds)
Cbc0010I After 34924 nodes, 9942 on tree, 15 best solution, best possible 14 (83.69 seconds)
Cbc0010I After 35226 nodes, 10085 on tree, 15 best solution, best possible 14 (84.40 seconds)
Cbc0010I After 35535 nodes, 10239 on tree, 15 best solution, best possible 14 (85.10 seconds)
Cbc0010I After 35841 nodes, 10388 on tree, 15 best solution, best possible 14 (85.80 seconds)
Cbc0010I After 36217 nodes, 10496 on tree, 15 best solution, best possible 14 (86.51 seconds)
Cbc0010I After 36645 nodes, 10560 on tree, 15 best solution, best possible 14 (87.21 seconds)
Cbc0010I After 37113 nodes, 10605 on tree, 15 best solution, best possible 14 (87.91 seconds)
Cbc0010I After 37602 nodes, 10570 on tree, 15 best solution, best possible 14 (88.62 seconds)
Cbc0010I After 38031 nodes, 10579 on tree, 15 best solution, best possible 14 (89.32 seconds)
Cbc0010I After 38379 nodes, 10723 on tree, 15 best solution, best possible 14 (90.02 seconds)
Cbc0010I After 38737 nodes, 10886 on tree, 15 best solution, best possible 14 (90.72 seconds)
Cbc0010I After 39110 nodes, 11036 on tree, 15 best solution, best possible 14 (91.43 seconds)
Cbc0010I After 39480 nodes, 11189 on tree, 15 best solution, best possible 14 (92.13 seconds)
Cbc0010I After 39855 nodes, 11359 on tree, 15 best solution, best possible 14 (92.83 seconds)
Cbc0010I After 40294 nodes, 11432 on tree, 15 best solution, best possible 14 (93.53 seconds)
Cbc0010I After 40737 nodes, 11488 on tree, 15 best solution, best possible 14 (94.24 seconds)
Cbc0010I After 41187 nodes, 11518 on tree, 15 best solution, best possible 14 (94.94 seconds)
Cbc0010I After 41632 nodes, 11513 on tree, 15 best solution, best possible 14 (95.64 seconds)
Cbc0010I After 42012 nodes, 11481 on tree, 15 best solution, best possible 14 (96.34 seconds)
Cbc0010I After 42336 nodes, 11617 on tree, 15 best solution, best possible 14 (97.05 seconds)
Cbc0010I After 42702 nodes, 11776 on tree, 15 best solution, best possible 14 (97.75 seconds)
Cbc0010I After 43047 nodes, 11896 on tree, 15 best solution, best possible 14 (98.45 seconds)
Cbc0010I After 43410 nodes, 12083 on tree, 15 best solution, best possible 14 (99.15 seconds)
Cbc0010I After 43755 nodes, 12210 on tree, 15 best solution, best possible 14 (99.86 seconds)
Cbc0010I After 44155 nodes, 12333 on tree, 15 best solution, best possible 14 (100.56 seconds)
Cbc0010I After 44654 nodes, 12399 on tree, 15 best solution, best possible 14 (101.26 seconds)
Cbc0010I After 45150 nodes, 12463 on tree, 15 best solution, best possible 14 (101.97 seconds)
Cbc0010I After 45648 nodes, 12420 on tree, 15 best solution, best possible 14 (102.67 seconds)
Cbc0010I After 45969 nodes, 12382 on tree, 15 best solution, best possible 14 (103.37 seconds)
Cbc0010I After 46284 nodes, 12503 on tree, 15 best solution, best possible 14 (104.08 seconds)
Cbc0010I After 46668 nodes, 12676 on tree, 15 best solution, best possible 14 (104.78 seconds)
Cbc0010I After 47038 nodes, 12819 on tree, 15 best solution, best possible 14 (105.48 seconds)
Cbc0010I After 47399 nodes, 12991 on tree, 15 best solution, best possible 14 (106.18 seconds)
Cbc0010I After 47760 nodes, 13141 on tree, 15 best solution, best possible 14 (106.89 seconds)
Cbc0010I After 48183 nodes, 13280 on tree, 15 best solution, best possible 14 (107.59 seconds)
Cbc0010I After 48604 nodes, 13274 on tree, 15 best solution, best possible 14 (108.29 seconds)
Cbc0010I After 49009 nodes, 13291 on tree, 15 best solution, best possible 14 (109.00 seconds)
Cbc0010I After 49495 nodes, 13293 on tree, 15 best solution, best possible 14 (109.70 seconds)
Cbc0010I After 50005 nodes, 13291 on tree, 15 best solution, best possible 14 (110.40 seconds)
Cbc0010I After 50337 nodes, 13358 on tree, 15 best solution, best possible 14 (111.10 seconds)
Cbc0010I After 50680 nodes, 13470 on tree, 15 best solution, best possible 14 (111.80 seconds)
Cbc0010I After 51036 nodes, 13632 on tree, 15 best solution, best possible 14 (112.51 seconds)
Cbc0010I After 51387 nodes, 13757 on tree, 15 best solution, best possible 14 (113.21 seconds)
Cbc0010I After 51744 nodes, 13917 on tree, 15 best solution, best possible 14 (113.91 seconds)
Cbc0010I After 52141 nodes, 14037 on tree, 15 best solution, best possible 14 (114.61 seconds)
Cbc0010I After 52624 nodes, 14035 on tree, 15 best solution, best possible 14 (115.31 seconds)
Cbc0010I After 53067 nodes, 14066 on tree, 15 best solution, best possible 14 (116.02 seconds)
Cbc0010I After 53546 nodes, 14064 on tree, 15 best solution, best possible 14 (116.72 seconds)
Cbc0010I After 53990 nodes, 14060 on tree, 15 best solution, best possible 14 (117.42 seconds)
Cbc0010I After 54363 nodes, 14206 on tree, 15 best solution, best possible 14 (118.12 seconds)
Cbc0010I After 54703 nodes, 14367 on tree, 15 best solution, best possible 14 (118.83 seconds)
Cbc0010I After 55029 nodes, 14527 on tree, 15 best solution, best possible 14 (119.53 seconds)
Cbc0010I After 55377 nodes, 14693 on tree, 15 best solution, best possible 14 (120.23 seconds)
Cbc0010I After 55701 nodes, 14846 on tree, 15 best solution, best possible 14 (120.94 seconds)
Cbc0010I After 56022 nodes, 14987 on tree, 15 best solution, best possible 14 (121.64 seconds)
Cbc0010I After 56506 nodes, 15027 on tree, 15 best solution, best possible 14 (122.34 seconds)
Cbc0010I After 57001 nodes, 15106 on tree, 15 best solution, best possible 14 (123.05 seconds)
Cbc0010I After 57367 nodes, 15030 on tree, 15 best solution, best possible 14 (123.75 seconds)
Cbc0010I After 57651 nodes, 14966 on tree, 15 best solution, best possible 14 (124.45 seconds)
Cbc0010I After 57925 nodes, 14909 on tree, 15 best solution, best possible 14 (125.16 seconds)
Cbc0010I After 58106 nodes, 14924 on tree, 15 best solution, best possible 14 (125.86 seconds)
Cbc0010I After 58392 nodes, 15067 on tree, 15 best solution, best possible 14 (126.56 seconds)
Cbc0010I After 58701 nodes, 15224 on tree, 15 best solution, best possible 14 (127.27 seconds)
Cbc0010I After 59025 nodes, 15387 on tree, 15 best solution, best possible 14 (127.97 seconds)
Cbc0010I After 59355 nodes, 15554 on tree, 15 best solution, best possible 14 (128.68 seconds)
Cbc0010I After 59687 nodes, 15714 on tree, 15 best solution, best possible 14 (129.38 seconds)
Cbc0010I After 60020 nodes, 15881 on tree, 15 best solution, best possible 14 (130.08 seconds)
