Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/50v-10.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/50v-10.txt -quit (default strategy 1)
At line 1 NAME          50v-10
At line 2 ROWS
At line 237 COLUMNS
At line 4632 RHS
At line 4659 BOUNDS
At line 6307 ENDATA
Problem 50v-10 has 233 rows, 2013 columns and 2745 elements
Coin0008I 50v-10 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 2879.07 - 0.100023 seconds
Cgl0004I processed model has 233 rows, 2013 columns (1647 integer (1464 of which binary)) and 2745 elements
Coin3009W Conflict graph built in 0.002 seconds, density: 0.018%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 29 integers unsatisfied sum - 8.7963
Cbc0038I Solution found of 2879.07
Cbc0038I Branch and bound needed to clear up 29 general integers
Cbc0038I Full problem 233 rows 2013 columns, reduced to 233 rows 549 columns
Cbc0038I Cleaned solution of 6627.51
Cbc0038I Before mini branch and bound, 1618 integers at bound fixed and 337 continuous
Cbc0038I Mini branch and bound did not improve solution (0.94 seconds)
Cbc0038I Round again with cutoff of 6252.67
Cbc0038I Solution found of 2879.07
Cbc0038I Branch and bound needed to clear up 29 general integers
Cbc0038I Full problem 234 rows 2013 columns, reduced to 234 rows 549 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 1618 integers at bound fixed and 337 continuous
Cbc0038I Mini branch and bound did not improve solution (1.98 seconds)
Cbc0038I After 1.98 seconds - Feasibility pump exiting with objective of 6627.51 - took 1.89 seconds
Cbc0012I Integer solution of 6627.51 found by feasibility pump after 0 iterations and 0 nodes (2.00 seconds)
Cbc0038I Full problem 233 rows 2013 columns, reduced to 20 rows 33 columns
Cbc0012I Integer solution of 6621.18 found by RINS after 0 iterations and 0 nodes (5.24 seconds)
Cbc0012I Integer solution of 6427.1 found by DiveCoefficient after 1239 iterations and 0 nodes (12.72 seconds)
Cbc0031I 73 added rows had average density of 231.79452
Cbc0013I At root node, 73 cuts changed objective from 2879.0657 to 3161.7528 in 15 passes
Cbc0014I Cut generator 0 (Probing) - 6 row cuts average 103.0 elements, 1 column cuts (1 active)  in 5.409 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 249 row cuts average 381.3 elements, 0 column cuts (0 active)  in 0.379 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.072 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.144 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 94 row cuts average 168.4 elements, 0 column cuts (0 active)  in 0.178 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.126 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 219 row cuts average 225.5 elements, 0 column cuts (0 active)  in 0.221 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 6427.1 best solution, best possible 3161.7528 (14.81 seconds)
Cbc0010I After 1695 nodes, 1203 on tree, 5918.1 best solution, best possible 3161.7528 (37.62 seconds)
Cbc0010I After 1778 nodes, 1280 on tree, 5918.1 best solution, best possible 3161.7528 (38.34 seconds)
Cbc0010I After 1864 nodes, 1366 on tree, 5918.1 best solution, best possible 3161.7528 (39.04 seconds)
Cbc0010I After 1958 nodes, 1460 on tree, 5918.1 best solution, best possible 3161.7528 (39.75 seconds)
Cbc0010I After 2058 nodes, 1560 on tree, 5918.1 best solution, best possible 3161.7528 (40.46 seconds)
Cbc0010I After 2165 nodes, 1667 on tree, 5918.1 best solution, best possible 3161.7528 (41.16 seconds)
Cbc0010I After 2275 nodes, 1767 on tree, 5918.1 best solution, best possible 3161.7528 (41.86 seconds)
Cbc0010I After 2395 nodes, 1881 on tree, 5918.1 best solution, best possible 3161.7528 (42.56 seconds)
Cbc0004I Integer solution of 5180.19 found after 35725 iterations and 2510 nodes (43.24 seconds)
Cbc0010I After 2511 nodes, 1987 on tree, 5180.19 best solution, best possible 3161.7528 (43.29 seconds)
Cbc0010I After 2558 nodes, 2010 on tree, 5180.19 best solution, best possible 3161.7528 (44.00 seconds)
Cbc0010I After 2655 nodes, 2060 on tree, 5180.19 best solution, best possible 3161.7528 (44.72 seconds)
Cbc0010I After 2766 nodes, 2115 on tree, 5180.19 best solution, best possible 3161.7528 (45.42 seconds)
Cbc0010I After 2873 nodes, 2169 on tree, 5180.19 best solution, best possible 3161.7528 (46.12 seconds)
Cbc0010I After 2973 nodes, 2219 on tree, 5180.19 best solution, best possible 3161.7528 (46.84 seconds)
Cbc0010I After 3069 nodes, 2268 on tree, 5180.19 best solution, best possible 3161.7528 (47.54 seconds)
Cbc0004I Integer solution of 4160.03 found after 47970 iterations and 3120 nodes (47.95 seconds)
Cbc0010I After 3120 nodes, 1496 on tree, 4160.03 best solution, best possible 3161.7528 (48.25 seconds)
Cbc0010I After 3153 nodes, 1511 on tree, 4160.03 best solution, best possible 3161.7528 (48.96 seconds)
Cbc0010I After 3196 nodes, 1533 on tree, 4160.03 best solution, best possible 3161.7528 (49.67 seconds)
Cbc0010I After 3253 nodes, 1562 on tree, 4160.03 best solution, best possible 3161.7528 (50.38 seconds)
Cbc0010I After 3332 nodes, 1602 on tree, 4160.03 best solution, best possible 3161.7528 (51.10 seconds)
Cbc0010I After 3374 nodes, 1622 on tree, 4160.03 best solution, best possible 3161.7528 (51.80 seconds)
Cbc0010I After 3414 nodes, 1642 on tree, 4160.03 best solution, best possible 3161.7528 (52.54 seconds)
Cbc0010I After 3456 nodes, 1663 on tree, 4160.03 best solution, best possible 3161.7528 (53.25 seconds)
Cbc0010I After 3525 nodes, 1697 on tree, 4160.03 best solution, best possible 3161.7528 (53.97 seconds)
Cbc0010I After 3580 nodes, 1724 on tree, 4160.03 best solution, best possible 3161.7528 (54.68 seconds)
Cbc0010I After 3636 nodes, 1751 on tree, 4160.03 best solution, best possible 3161.7528 (55.40 seconds)
Cbc0010I After 3696 nodes, 1780 on tree, 4160.03 best solution, best possible 3161.7528 (56.11 seconds)
Cbc0010I After 3762 nodes, 1815 on tree, 4160.03 best solution, best possible 3161.7528 (56.81 seconds)
Cbc0010I After 3843 nodes, 1853 on tree, 4160.03 best solution, best possible 3161.7528 (57.52 seconds)
Cbc0010I After 3917 nodes, 1888 on tree, 4160.03 best solution, best possible 3161.7528 (58.22 seconds)
Cbc0010I After 3988 nodes, 1922 on tree, 4160.03 best solution, best possible 3161.7528 (58.92 seconds)
Cbc0010I After 4104 nodes, 1977 on tree, 4160.03 best solution, best possible 3161.7528 (59.62 seconds)
Cbc0010I After 4214 nodes, 2028 on tree, 4160.03 best solution, best possible 3161.7528 (60.33 seconds)
Cbc0010I After 4316 nodes, 2077 on tree, 4160.03 best solution, best possible 3161.7528 (61.03 seconds)
Cbc0010I After 4430 nodes, 2132 on tree, 4160.03 best solution, best possible 3161.7528 (61.73 seconds)
Cbc0010I After 4537 nodes, 2181 on tree, 4160.03 best solution, best possible 3161.7528 (62.43 seconds)
Cbc0010I After 4657 nodes, 2237 on tree, 4160.03 best solution, best possible 3161.7528 (63.13 seconds)
Cbc0004I Integer solution of 3864.89 found after 86457 iterations and 4718 nodes (63.48 seconds)
Cbc0010I After 4718 nodes, 1214 on tree, 3864.89 best solution, best possible 3161.7528 (63.84 seconds)
Cbc0010I After 4764 nodes, 1233 on tree, 3864.89 best solution, best possible 3161.7528 (64.57 seconds)
Cbc0010I After 4807 nodes, 1255 on tree, 3864.89 best solution, best possible 3161.7528 (65.28 seconds)
Cbc0010I After 4854 nodes, 1278 on tree, 3864.89 best solution, best possible 3161.7528 (66.00 seconds)
Cbc0010I After 4899 nodes, 1301 on tree, 3864.89 best solution, best possible 3161.7528 (66.71 seconds)
Cbc0010I After 4943 nodes, 1323 on tree, 3864.89 best solution, best possible 3161.7528 (67.42 seconds)
Cbc0010I After 4987 nodes, 1345 on tree, 3864.89 best solution, best possible 3161.7528 (68.13 seconds)
Cbc0010I After 5013 nodes, 1365 on tree, 3864.89 best solution, best possible 3161.7528 (68.88 seconds)
Cbc0010I After 5036 nodes, 1388 on tree, 3864.89 best solution, best possible 3161.7528 (69.58 seconds)
Cbc0010I After 5070 nodes, 1422 on tree, 3864.89 best solution, best possible 3161.7528 (70.30 seconds)
Cbc0010I After 5108 nodes, 1460 on tree, 3864.89 best solution, best possible 3161.7528 (71.00 seconds)
Cbc0010I After 5157 nodes, 1509 on tree, 3864.89 best solution, best possible 3161.7528 (71.72 seconds)
Cbc0010I After 5220 nodes, 1572 on tree, 3864.89 best solution, best possible 3161.7528 (72.45 seconds)
Cbc0010I After 5304 nodes, 1656 on tree, 3864.89 best solution, best possible 3161.7528 (73.16 seconds)
Cbc0010I After 5404 nodes, 1756 on tree, 3864.89 best solution, best possible 3161.7528 (73.87 seconds)
Cbc0010I After 5529 nodes, 1881 on tree, 3864.89 best solution, best possible 3161.7528 (74.58 seconds)
Cbc0010I After 5644 nodes, 1891 on tree, 3864.89 best solution, best possible 3161.7528 (75.28 seconds)
Cbc0010I After 5750 nodes, 1872 on tree, 3864.89 best solution, best possible 3161.7528 (75.99 seconds)
Cbc0010I After 5847 nodes, 1855 on tree, 3864.89 best solution, best possible 3161.7528 (76.69 seconds)
Cbc0010I After 5947 nodes, 1855 on tree, 3864.89 best solution, best possible 3161.7528 (77.39 seconds)
Cbc0010I After 6038 nodes, 1857 on tree, 3864.89 best solution, best possible 3161.7528 (78.09 seconds)
Cbc0010I After 6138 nodes, 1872 on tree, 3864.89 best solution, best possible 3161.7528 (78.80 seconds)
Cbc0010I After 6257 nodes, 1858 on tree, 3864.89 best solution, best possible 3161.7528 (79.50 seconds)
Cbc0010I After 6354 nodes, 1872 on tree, 3864.89 best solution, best possible 3161.7528 (80.20 seconds)
Cbc0010I After 6498 nodes, 1863 on tree, 3864.89 best solution, best possible 3161.7528 (80.91 seconds)
Cbc0010I After 6598 nodes, 1859 on tree, 3864.89 best solution, best possible 3161.7528 (81.61 seconds)
Cbc0010I After 6714 nodes, 1854 on tree, 3864.89 best solution, best possible 3161.7528 (82.32 seconds)
Cbc0010I After 6805 nodes, 1860 on tree, 3864.89 best solution, best possible 3161.7528 (83.02 seconds)
Cbc0010I After 6915 nodes, 1854 on tree, 3864.89 best solution, best possible 3161.7528 (83.72 seconds)
Cbc0010I After 7017 nodes, 1877 on tree, 3864.89 best solution, best possible 3161.7528 (84.43 seconds)
Cbc0010I After 7148 nodes, 1974 on tree, 3864.89 best solution, best possible 3161.7528 (85.13 seconds)
Cbc0010I After 7299 nodes, 1995 on tree, 3864.89 best solution, best possible 3161.7528 (85.83 seconds)
Cbc0010I After 7443 nodes, 1959 on tree, 3864.89 best solution, best possible 3161.7528 (86.54 seconds)
Cbc0010I After 7556 nodes, 2000 on tree, 3864.89 best solution, best possible 3161.7528 (87.24 seconds)
Cbc0010I After 7705 nodes, 2021 on tree, 3864.89 best solution, best possible 3161.7528 (87.95 seconds)
Cbc0010I After 7826 nodes, 2034 on tree, 3864.89 best solution, best possible 3161.7528 (88.65 seconds)
Cbc0010I After 7980 nodes, 1967 on tree, 3864.89 best solution, best possible 3161.7528 (89.35 seconds)
Cbc0010I After 8101 nodes, 1994 on tree, 3864.89 best solution, best possible 3161.7528 (90.06 seconds)
Cbc0010I After 8232 nodes, 1993 on tree, 3864.89 best solution, best possible 3161.7528 (90.76 seconds)
Cbc0010I After 8354 nodes, 1997 on tree, 3864.89 best solution, best possible 3161.7528 (91.46 seconds)
Cbc0010I After 8484 nodes, 1996 on tree, 3864.89 best solution, best possible 3161.7528 (92.17 seconds)
Cbc0010I After 8609 nodes, 1992 on tree, 3864.89 best solution, best possible 3161.7528 (92.87 seconds)
Cbc0010I After 8748 nodes, 1970 on tree, 3864.89 best solution, best possible 3161.7528 (93.58 seconds)
Cbc0010I After 8872 nodes, 1969 on tree, 3864.89 best solution, best possible 3161.7528 (94.28 seconds)
Cbc0010I After 8998 nodes, 1960 on tree, 3864.89 best solution, best possible 3161.7528 (94.99 seconds)
Cbc0010I After 9014 nodes, 1975 on tree, 3864.89 best solution, best possible 3161.7528 (95.75 seconds)
Cbc0010I After 9031 nodes, 1992 on tree, 3864.89 best solution, best possible 3161.7528 (96.46 seconds)
Cbc0010I After 9064 nodes, 2025 on tree, 3864.89 best solution, best possible 3161.7528 (97.18 seconds)
Cbc0010I After 9099 nodes, 2060 on tree, 3864.89 best solution, best possible 3161.7528 (97.91 seconds)
Cbc0010I After 9134 nodes, 2095 on tree, 3864.89 best solution, best possible 3161.7528 (98.61 seconds)
Cbc0010I After 9192 nodes, 2153 on tree, 3864.89 best solution, best possible 3161.7528 (99.32 seconds)
Cbc0010I After 9273 nodes, 2234 on tree, 3864.89 best solution, best possible 3161.7528 (100.02 seconds)
Cbc0010I After 9369 nodes, 2330 on tree, 3864.89 best solution, best possible 3161.7528 (100.73 seconds)
Cbc0010I After 9478 nodes, 2420 on tree, 3864.89 best solution, best possible 3161.7528 (101.43 seconds)
Cbc0010I After 9561 nodes, 2428 on tree, 3864.89 best solution, best possible 3161.7528 (102.13 seconds)
Cbc0010I After 9687 nodes, 2524 on tree, 3864.89 best solution, best possible 3161.7528 (102.84 seconds)
Cbc0010I After 9820 nodes, 2530 on tree, 3864.89 best solution, best possible 3161.7528 (103.54 seconds)
Cbc0010I After 9933 nodes, 2530 on tree, 3864.89 best solution, best possible 3161.7528 (104.25 seconds)
Cbc0010I After 10075 nodes, 2513 on tree, 3864.89 best solution, best possible 3161.7528 (104.95 seconds)
Cbc0010I After 10184 nodes, 2527 on tree, 3864.89 best solution, best possible 3161.7528 (105.66 seconds)
Cbc0010I After 10305 nodes, 2516 on tree, 3864.89 best solution, best possible 3161.7528 (106.37 seconds)
Cbc0010I After 10421 nodes, 2501 on tree, 3864.89 best solution, best possible 3161.7528 (107.08 seconds)
Cbc0010I After 10531 nodes, 2472 on tree, 3864.89 best solution, best possible 3161.7528 (107.79 seconds)
Cbc0010I After 10631 nodes, 2516 on tree, 3864.89 best solution, best possible 3161.7528 (108.49 seconds)
Cbc0010I After 10743 nodes, 2545 on tree, 3864.89 best solution, best possible 3161.7528 (109.19 seconds)
Cbc0010I After 10855 nodes, 2551 on tree, 3864.89 best solution, best possible 3161.7528 (109.89 seconds)
Cbc0010I After 10966 nodes, 2535 on tree, 3864.89 best solution, best possible 3161.7528 (110.59 seconds)
Cbc0010I After 11001 nodes, 2536 on tree, 3864.89 best solution, best possible 3162.6028 (111.31 seconds)
Cbc0010I After 11004 nodes, 2536 on tree, 3864.89 best solution, best possible 3164.305 (112.04 seconds)
Cbc0010I After 11007 nodes, 2536 on tree, 3864.89 best solution, best possible 3166.2315 (112.77 seconds)
Cbc0010I After 11025 nodes, 2543 on tree, 3864.89 best solution, best possible 3168.1537 (113.49 seconds)
Cbc0010I After 11034 nodes, 2547 on tree, 3864.89 best solution, best possible 3168.9632 (114.30 seconds)
Cbc0010I After 11048 nodes, 2554 on tree, 3864.89 best solution, best possible 3169.6111 (115.22 seconds)
Cbc0010I After 11062 nodes, 2560 on tree, 3864.89 best solution, best possible 3170.1383 (115.96 seconds)
Cbc0010I After 11074 nodes, 2566 on tree, 3864.89 best solution, best possible 3170.3453 (116.71 seconds)
Cbc0010I After 11090 nodes, 2574 on tree, 3864.89 best solution, best possible 3170.8534 (117.59 seconds)
Cbc0010I After 11108 nodes, 2583 on tree, 3864.89 best solution, best possible 3171.2108 (118.30 seconds)
Cbc0010I After 11122 nodes, 2590 on tree, 3864.89 best solution, best possible 3171.381 (119.12 seconds)
Cbc0010I After 11140 nodes, 2599 on tree, 3864.89 best solution, best possible 3171.598 (119.83 seconds)
Cbc0010I After 11157 nodes, 2607 on tree, 3864.89 best solution, best possible 3171.8486 (120.61 seconds)
Cbc0010I After 11175 nodes, 2616 on tree, 3864.89 best solution, best possible 3172.1299 (121.55 seconds)
Cbc0010I After 11187 nodes, 2622 on tree, 3864.89 best solution, best possible 3172.2868 (122.38 seconds)
Cbc0010I After 11199 nodes, 2628 on tree, 3864.89 best solution, best possible 3172.382 (123.12 seconds)
Cbc0010I After 11211 nodes, 2634 on tree, 3864.89 best solution, best possible 3172.4679 (123.86 seconds)
Cbc0010I After 11229 nodes, 2643 on tree, 3864.89 best solution, best possible 3172.6154 (124.57 seconds)
Cbc0010I After 11244 nodes, 2650 on tree, 3864.89 best solution, best possible 3172.6959 (125.33 seconds)
Cbc0010I After 11260 nodes, 2658 on tree, 3864.89 best solution, best possible 3172.7721 (126.05 seconds)
Cbc0010I After 11268 nodes, 2662 on tree, 3864.89 best solution, best possible 3172.821 (126.78 seconds)
Cbc0010I After 11283 nodes, 2670 on tree, 3864.89 best solution, best possible 3172.9198 (127.57 seconds)
Cbc0010I After 11298 nodes, 2677 on tree, 3864.89 best solution, best possible 3173.0829 (128.47 seconds)
Cbc0010I After 11311 nodes, 2684 on tree, 3864.89 best solution, best possible 3173.1353 (129.18 seconds)
Cbc0010I After 11323 nodes, 2690 on tree, 3864.89 best solution, best possible 3173.1772 (129.91 seconds)
Cbc0010I After 11331 nodes, 2694 on tree, 3864.89 best solution, best possible 3173.3009 (130.65 seconds)
Cbc0010I After 11339 nodes, 2698 on tree, 3864.89 best solution, best possible 3173.3562 (131.41 seconds)
Cbc0010I After 11350 nodes, 2703 on tree, 3864.89 best solution, best possible 3173.4204 (132.13 seconds)
Cbc0010I After 11366 nodes, 2711 on tree, 3864.89 best solution, best possible 3173.5487 (132.84 seconds)
Cbc0010I After 11380 nodes, 2718 on tree, 3864.89 best solution, best possible 3173.5968 (133.58 seconds)
Cbc0010I After 11392 nodes, 2724 on tree, 3864.89 best solution, best possible 3173.7162 (134.38 seconds)
Cbc0010I After 11402 nodes, 2729 on tree, 3864.89 best solution, best possible 3173.7966 (135.19 seconds)
Cbc0010I After 11414 nodes, 2735 on tree, 3864.89 best solution, best possible 3173.8767 (135.93 seconds)
Cbc0010I After 11420 nodes, 2738 on tree, 3864.89 best solution, best possible 3173.9022 (136.68 seconds)
Cbc0010I After 11436 nodes, 2746 on tree, 3864.89 best solution, best possible 3174.0014 (137.41 seconds)
Cbc0010I After 11451 nodes, 2754 on tree, 3864.89 best solution, best possible 3174.0958 (138.17 seconds)
Cbc0010I After 11465 nodes, 2761 on tree, 3864.89 best solution, best possible 3174.2228 (138.90 seconds)
Cbc0010I After 11481 nodes, 2769 on tree, 3864.89 best solution, best possible 3174.2565 (139.64 seconds)
Cbc0010I After 11491 nodes, 2774 on tree, 3864.89 best solution, best possible 3174.2963 (140.40 seconds)
Cbc0010I After 11498 nodes, 2777 on tree, 3864.89 best solution, best possible 3174.3386 (141.16 seconds)
Cbc0010I After 11512 nodes, 2784 on tree, 3864.89 best solution, best possible 3174.431 (141.94 seconds)
Cbc0010I After 11528 nodes, 2792 on tree, 3864.89 best solution, best possible 3174.5007 (142.67 seconds)
Cbc0010I After 11538 nodes, 2797 on tree, 3864.89 best solution, best possible 3174.5473 (143.48 seconds)
Cbc0010I After 11552 nodes, 2804 on tree, 3864.89 best solution, best possible 3174.6059 (144.25 seconds)
Cbc0010I After 11566 nodes, 2811 on tree, 3864.89 best solution, best possible 3174.6795 (144.97 seconds)
Cbc0010I After 11580 nodes, 2818 on tree, 3864.89 best solution, best possible 3174.7714 (145.73 seconds)
Cbc0010I After 11594 nodes, 2825 on tree, 3864.89 best solution, best possible 3174.8053 (146.49 seconds)
Cbc0010I After 11616 nodes, 2836 on tree, 3864.89 best solution, best possible 3174.9089 (147.21 seconds)
Cbc0010I After 11628 nodes, 2842 on tree, 3864.89 best solution, best possible 3174.9606 (147.97 seconds)
Cbc0010I After 11642 nodes, 2849 on tree, 3864.89 best solution, best possible 3175.0164 (148.78 seconds)
Cbc0010I After 11653 nodes, 2855 on tree, 3864.89 best solution, best possible 3175.0763 (149.53 seconds)
Cbc0010I After 11664 nodes, 2860 on tree, 3864.89 best solution, best possible 3175.1251 (150.28 seconds)
