Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-3627168-kasai.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-3627168-kasai.txt -quit (default strategy 1)
At line 1 NAME          neos-3627168-kasai
At line 2 ROWS
At line 1659 COLUMNS
At line 6823 RHS
At line 7818 BOUNDS
At line 8284 ENDATA
Problem neos-3627168-kasai has 1655 rows, 1462 columns and 5158 elements
Coin0008I neos-3627168-kasai read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 945808 - 0.207023 seconds
Cgl0004I processed model has 1652 rows, 1400 columns (476 integer (476 of which binary)) and 4158 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.012%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 157 integers unsatisfied sum - 43.2401
Cbc0038I Pass   1: suminf.   15.24531 (83) obj. 968401 iterations 500
Cbc0038I Pass   2: suminf.   12.29192 (79) obj. 969092 iterations 39
Cbc0038I Pass   3: suminf.    3.31194 (23) obj. 981104 iterations 116
Cbc0038I Pass   4: suminf.    0.88000 (12) obj. 989076 iterations 40
Cbc0038I Solution found of 991856
Cbc0038I Relaxing continuous gives 991523
Cbc0038I Before mini branch and bound, 263 integers at bound fixed and 324 continuous
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 400 rows 385 columns
Cbc0038I Mini branch and bound improved solution from 991523 to 989622 (1.48 seconds)
Cbc0038I Round again with cutoff of 986094
Cbc0038I Pass   5: suminf.   15.24531 (83) obj. 968401 iterations 0
Cbc0038I Pass   6: suminf.   12.29192 (79) obj. 969092 iterations 58
Cbc0038I Pass   7: suminf.    5.84577 (57) obj. 972228 iterations 66
Cbc0038I Pass   8: suminf.    1.52491 (20) obj. 982154 iterations 72
Cbc0038I Pass   9: suminf.    0.19204 (3) obj. 986094 iterations 84
Cbc0038I Pass  10: suminf.    0.17982 (3) obj. 986094 iterations 3
Cbc0038I Pass  11: suminf.    0.92859 (3) obj. 986094 iterations 28
Cbc0038I Pass  12: suminf.    0.13131 (2) obj. 986094 iterations 22
Cbc0038I Pass  13: suminf.    5.04140 (27) obj. 986094 iterations 261
Cbc0038I Pass  14: suminf.    3.50183 (19) obj. 986094 iterations 76
Cbc0038I Pass  15: suminf.    1.76272 (8) obj. 986094 iterations 90
Cbc0038I Pass  16: suminf.    1.65129 (9) obj. 986094 iterations 26
Cbc0038I Pass  17: suminf.    2.10612 (11) obj. 986094 iterations 43
Cbc0038I Pass  18: suminf.    2.11091 (11) obj. 986094 iterations 10
Cbc0038I Pass  19: suminf.    1.71634 (11) obj. 986094 iterations 50
Cbc0038I Pass  20: suminf.    1.71634 (11) obj. 986094 iterations 2
Cbc0038I Pass  21: suminf.    2.63233 (11) obj. 986094 iterations 51
Cbc0038I Pass  22: suminf.    2.61324 (13) obj. 986094 iterations 8
Cbc0038I Pass  23: suminf.    3.26009 (16) obj. 986094 iterations 48
Cbc0038I Pass  24: suminf.    3.25567 (18) obj. 986094 iterations 5
Cbc0038I Pass  25: suminf.    1.56725 (6) obj. 986094 iterations 86
Cbc0038I Pass  26: suminf.    1.26167 (6) obj. 986094 iterations 77
Cbc0038I Pass  27: suminf.   12.96482 (61) obj. 986094 iterations 353
Cbc0038I Pass  28: suminf.    8.46968 (48) obj. 986094 iterations 125
Cbc0038I Pass  29: suminf.    6.11743 (31) obj. 986094 iterations 154
Cbc0038I Pass  30: suminf.    5.07514 (28) obj. 986094 iterations 32
Cbc0038I Pass  31: suminf.    5.08030 (24) obj. 986094 iterations 111
Cbc0038I Pass  32: suminf.    4.21003 (22) obj. 986094 iterations 50
Cbc0038I Pass  33: suminf.    4.07728 (19) obj. 986094 iterations 46
Cbc0038I Pass  34: suminf.    3.95199 (20) obj. 986094 iterations 14
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 164 integers at bound fixed and 201 continuous
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 900 rows 787 columns - 108 fixed gives 644, 593 - ok now
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 644 rows 592 columns
Cbc0038I Mini branch and bound did not improve solution (3.13 seconds)
Cbc0038I After 3.13 seconds - Feasibility pump exiting with objective of 989622 - took 2.83 seconds
Cbc0012I Integer solution of 989621.93 found by feasibility pump after 0 iterations and 0 nodes (3.16 seconds)
Cbc0038I Full problem 1652 rows 1400 columns, reduced to 642 rows 550 columns
Cbc0031I 211 added rows had average density of 7.7772512
Cbc0013I At root node, 211 cuts changed objective from 954341.03 to 967481.12 in 43 passes
Cbc0014I Cut generator 0 (Probing) - 1147 row cuts average 2.4 elements, 0 column cuts (93 active)  in 0.093 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 290 row cuts average 22.7 elements, 0 column cuts (0 active)  in 0.590 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 46 row cuts average 13.5 elements, 0 column cuts (0 active)  in 0.233 seconds - new frequency is 1
Cbc0014I Cut generator 3 (liftKnapsack) - 45 row cuts average 11.8 elements, 0 column cuts (0 active)  in 0.654 seconds - new frequency is 1
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 701 row cuts average 10.2 elements, 0 column cuts (0 active)  in 0.151 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 17 row cuts average 11.4 elements, 0 column cuts (0 active)  in 0.107 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 538 row cuts average 55.0 elements, 0 column cuts (0 active)  in 0.221 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 989621.93 best solution, best possible 967481.12 (10.19 seconds)
Cbc0010I After 1002 nodes, 169 on tree, 989621.93 best solution, best possible 967481.12 (58.32 seconds)
Cbc0010I After 1017 nodes, 183 on tree, 989621.93 best solution, best possible 967481.12 (59.11 seconds)
Cbc0010I After 1036 nodes, 182 on tree, 989621.93 best solution, best possible 967481.12 (59.86 seconds)
Cbc0010I After 1049 nodes, 182 on tree, 989621.93 best solution, best possible 967481.12 (60.60 seconds)
Cbc0010I After 1063 nodes, 178 on tree, 989621.93 best solution, best possible 967481.12 (61.31 seconds)
Cbc0010I After 1075 nodes, 178 on tree, 989621.93 best solution, best possible 967481.12 (62.05 seconds)
Cbc0010I After 1088 nodes, 176 on tree, 989621.93 best solution, best possible 967481.12 (62.82 seconds)
Cbc0010I After 1104 nodes, 176 on tree, 989621.93 best solution, best possible 967481.12 (63.62 seconds)
Cbc0010I After 1121 nodes, 178 on tree, 989621.93 best solution, best possible 967481.12 (64.45 seconds)
Cbc0010I After 1135 nodes, 173 on tree, 989621.93 best solution, best possible 967481.12 (65.15 seconds)
Cbc0010I After 1163 nodes, 175 on tree, 989621.93 best solution, best possible 967481.12 (65.86 seconds)
Cbc0010I After 1186 nodes, 173 on tree, 989621.93 best solution, best possible 967481.12 (66.57 seconds)
Cbc0010I After 1227 nodes, 171 on tree, 989621.93 best solution, best possible 967481.12 (67.28 seconds)
Cbc0010I After 1254 nodes, 174 on tree, 989621.93 best solution, best possible 967481.12 (68.00 seconds)
Cbc0010I After 1287 nodes, 173 on tree, 989621.93 best solution, best possible 967481.12 (68.73 seconds)
Cbc0010I After 1320 nodes, 171 on tree, 989621.93 best solution, best possible 967481.12 (69.43 seconds)
Cbc0010I After 1347 nodes, 174 on tree, 989621.93 best solution, best possible 967481.12 (70.14 seconds)
Cbc0010I After 1379 nodes, 173 on tree, 989621.93 best solution, best possible 967481.12 (70.87 seconds)
Cbc0010I After 1420 nodes, 172 on tree, 989621.93 best solution, best possible 967481.12 (71.60 seconds)
Cbc0010I After 1488 nodes, 164 on tree, 989621.93 best solution, best possible 967481.12 (72.33 seconds)
Cbc0010I After 1532 nodes, 160 on tree, 989621.93 best solution, best possible 967481.12 (73.03 seconds)
Cbc0010I After 1583 nodes, 154 on tree, 989621.93 best solution, best possible 967481.12 (73.73 seconds)
Cbc0010I After 1625 nodes, 154 on tree, 989621.93 best solution, best possible 967481.12 (74.45 seconds)
Cbc0010I After 1665 nodes, 151 on tree, 989621.93 best solution, best possible 967481.12 (75.18 seconds)
Cbc0010I After 1707 nodes, 150 on tree, 989621.93 best solution, best possible 967481.12 (75.90 seconds)
Cbc0010I After 1751 nodes, 150 on tree, 989621.93 best solution, best possible 967481.12 (76.62 seconds)
Cbc0010I After 1791 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (77.33 seconds)
Cbc0010I After 1837 nodes, 157 on tree, 989621.93 best solution, best possible 967481.12 (78.03 seconds)
Cbc0010I After 1881 nodes, 152 on tree, 989621.93 best solution, best possible 967481.12 (78.74 seconds)
Cbc0010I After 1927 nodes, 151 on tree, 989621.93 best solution, best possible 967481.12 (79.44 seconds)
Cbc0010I After 1965 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (80.15 seconds)
Cbc0010I After 2021 nodes, 147 on tree, 989621.93 best solution, best possible 967481.12 (80.90 seconds)
Cbc0010I After 2051 nodes, 144 on tree, 989621.93 best solution, best possible 967481.12 (81.61 seconds)
Cbc0010I After 2086 nodes, 157 on tree, 989621.93 best solution, best possible 967481.12 (82.33 seconds)
Cbc0010I After 2148 nodes, 152 on tree, 989621.93 best solution, best possible 967481.12 (83.04 seconds)
Cbc0010I After 2201 nodes, 145 on tree, 989621.93 best solution, best possible 967481.12 (83.74 seconds)
Cbc0010I After 2240 nodes, 148 on tree, 989621.93 best solution, best possible 967481.12 (84.49 seconds)
Cbc0010I After 2280 nodes, 144 on tree, 989621.93 best solution, best possible 967481.12 (85.24 seconds)
Cbc0010I After 2314 nodes, 142 on tree, 989621.93 best solution, best possible 967481.12 (85.96 seconds)
Cbc0010I After 2360 nodes, 141 on tree, 989621.93 best solution, best possible 967481.12 (86.66 seconds)
Cbc0010I After 2400 nodes, 138 on tree, 989621.93 best solution, best possible 967481.12 (87.40 seconds)
Cbc0010I After 2418 nodes, 138 on tree, 989621.93 best solution, best possible 967481.12 (88.15 seconds)
Cbc0010I After 2440 nodes, 136 on tree, 989621.93 best solution, best possible 967481.12 (88.85 seconds)
Cbc0010I After 2469 nodes, 136 on tree, 989621.93 best solution, best possible 967481.12 (89.57 seconds)
Cbc0010I After 2500 nodes, 136 on tree, 989621.93 best solution, best possible 967481.12 (90.29 seconds)
Cbc0010I After 2534 nodes, 132 on tree, 989621.93 best solution, best possible 967481.12 (90.99 seconds)
Cbc0010I After 2560 nodes, 132 on tree, 989621.93 best solution, best possible 967481.12 (91.72 seconds)
Cbc0010I After 2583 nodes, 131 on tree, 989621.93 best solution, best possible 967481.12 (92.43 seconds)
Cbc0010I After 2607 nodes, 132 on tree, 989621.93 best solution, best possible 967481.12 (93.17 seconds)
Cbc0010I After 2633 nodes, 130 on tree, 989621.93 best solution, best possible 967481.12 (93.89 seconds)
Cbc0010I After 2672 nodes, 132 on tree, 989621.93 best solution, best possible 967481.12 (94.63 seconds)
Cbc0010I After 2695 nodes, 130 on tree, 989621.93 best solution, best possible 967481.12 (95.37 seconds)
Cbc0010I After 2722 nodes, 128 on tree, 989621.93 best solution, best possible 967481.12 (96.09 seconds)
Cbc0010I After 2775 nodes, 124 on tree, 989621.93 best solution, best possible 967481.12 (96.80 seconds)
Cbc0010I After 2803 nodes, 124 on tree, 989621.93 best solution, best possible 967481.12 (97.56 seconds)
Cbc0010I After 2832 nodes, 122 on tree, 989621.93 best solution, best possible 967481.12 (98.26 seconds)
Cbc0010I After 2862 nodes, 121 on tree, 989621.93 best solution, best possible 967481.12 (99.03 seconds)
Cbc0010I After 2887 nodes, 121 on tree, 989621.93 best solution, best possible 967481.12 (99.75 seconds)
Cbc0010I After 2916 nodes, 121 on tree, 989621.93 best solution, best possible 967481.12 (100.51 seconds)
Cbc0010I After 2939 nodes, 118 on tree, 989621.93 best solution, best possible 967481.12 (101.21 seconds)
Cbc0010I After 2968 nodes, 119 on tree, 989621.93 best solution, best possible 967481.12 (101.94 seconds)
Cbc0010I After 2996 nodes, 116 on tree, 989621.93 best solution, best possible 967481.12 (102.67 seconds)
Cbc0010I After 3024 nodes, 115 on tree, 989621.93 best solution, best possible 967481.12 (103.37 seconds)
Cbc0010I After 3057 nodes, 114 on tree, 989621.93 best solution, best possible 967481.12 (104.09 seconds)
Cbc0010I After 3096 nodes, 110 on tree, 989621.93 best solution, best possible 967481.12 (104.81 seconds)
Cbc0010I After 3136 nodes, 109 on tree, 989621.93 best solution, best possible 967481.12 (105.54 seconds)
Cbc0010I After 3172 nodes, 110 on tree, 989621.93 best solution, best possible 967481.12 (106.30 seconds)
Cbc0010I After 3214 nodes, 107 on tree, 989621.93 best solution, best possible 967481.12 (107.05 seconds)
Cbc0010I After 3246 nodes, 107 on tree, 989621.93 best solution, best possible 967481.12 (107.78 seconds)
Cbc0010I After 3298 nodes, 104 on tree, 989621.93 best solution, best possible 967481.12 (108.56 seconds)
Cbc0010I After 3339 nodes, 111 on tree, 989621.93 best solution, best possible 967481.12 (109.27 seconds)
Cbc0010I After 3385 nodes, 106 on tree, 989621.93 best solution, best possible 967481.12 (109.97 seconds)
Cbc0010I After 3417 nodes, 103 on tree, 989621.93 best solution, best possible 967481.12 (110.67 seconds)
Cbc0010I After 3467 nodes, 105 on tree, 989621.93 best solution, best possible 967481.12 (111.38 seconds)
Cbc0010I After 3503 nodes, 105 on tree, 989621.93 best solution, best possible 967481.12 (112.08 seconds)
Cbc0010I After 3547 nodes, 104 on tree, 989621.93 best solution, best possible 967481.12 (112.84 seconds)
Cbc0010I After 3606 nodes, 106 on tree, 989621.93 best solution, best possible 967481.12 (113.61 seconds)
Cbc0010I After 3640 nodes, 103 on tree, 989621.93 best solution, best possible 967481.12 (114.33 seconds)
Cbc0010I After 3690 nodes, 101 on tree, 989621.93 best solution, best possible 967481.12 (115.03 seconds)
Cbc0010I After 3730 nodes, 101 on tree, 989621.93 best solution, best possible 967481.12 (115.74 seconds)
Cbc0010I After 3775 nodes, 99 on tree, 989621.93 best solution, best possible 967481.12 (116.47 seconds)
Cbc0010I After 3813 nodes, 102 on tree, 989621.93 best solution, best possible 967481.12 (117.21 seconds)
Cbc0010I After 3856 nodes, 102 on tree, 989621.93 best solution, best possible 967481.12 (117.95 seconds)
Cbc0010I After 3893 nodes, 100 on tree, 989621.93 best solution, best possible 967481.12 (118.70 seconds)
Cbc0010I After 3936 nodes, 104 on tree, 989621.93 best solution, best possible 967481.12 (119.42 seconds)
Cbc0010I After 3974 nodes, 100 on tree, 989621.93 best solution, best possible 967481.12 (120.12 seconds)
Cbc0010I After 4005 nodes, 100 on tree, 989621.93 best solution, best possible 967481.12 (120.87 seconds)
Cbc0010I After 4041 nodes, 96 on tree, 989621.93 best solution, best possible 967481.12 (121.59 seconds)
Cbc0010I After 4075 nodes, 100 on tree, 989621.93 best solution, best possible 967481.12 (122.30 seconds)
Cbc0010I After 4115 nodes, 97 on tree, 989621.93 best solution, best possible 967481.12 (123.01 seconds)
Cbc0010I After 4157 nodes, 96 on tree, 989621.93 best solution, best possible 967481.12 (123.71 seconds)
Cbc0010I After 4197 nodes, 99 on tree, 989621.93 best solution, best possible 967481.12 (124.43 seconds)
Cbc0010I After 4226 nodes, 93 on tree, 989621.93 best solution, best possible 967481.12 (125.18 seconds)
Cbc0010I After 4250 nodes, 90 on tree, 989621.93 best solution, best possible 967481.12 (125.90 seconds)
Cbc0010I After 4296 nodes, 90 on tree, 989621.93 best solution, best possible 967481.12 (126.61 seconds)
