SCIP version 8.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 6.0.0] [GitHash: a740f0891e]
Copyright (C) 2002-2021 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

read problem </home/danilo/cbc-test-set/ns1760995.mps.gz> ...

original problem has 17956 variables (17822 bin, 0 int, 0 impl, 134 cont) and 615388 constraints
solve problem ...

presolving:
   Deactivated symmetry handling methods, since SCIP was built without symmetry detector (SYM=none).
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 17956 variables (17822 bin, 0 int, 0 impl, 134 cont) and 615388 constraints
 615388 constraints of type <linear>
Presolving Time: 0.10

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  340s|     1 |     0 | 56538 |     - |  1238M |   0 |  17k| 604k| 615k|   0 | 22 |  36 | 218 |-1.318226e+03 |      --      |    Inf | unknown
  357s|     1 |     0 | 56623 |     - |  1243M |   0 |  17k| 604k| 615k|   0 | 23 |  40 | 233 |-1.318226e+03 |      --      |    Inf | unknown
  375s|     1 |     0 | 56922 |     - |  1244M |   0 |  17k| 604k| 615k|   0 | 24 |  41 | 247 |-1.318115e+03 |      --      |    Inf | unknown
  381s|     1 |     0 | 57112 |     - |  1244M |   0 |  17k| 603k| 615k|   0 | 25 |  43 | 254 |-1.318115e+03 |      --      |    Inf | unknown
  385s|     1 |     0 | 57761 |     - |  1251M |   0 |  17k| 603k| 615k|   0 | 26 |  44 | 260 |-1.317959e+03 |      --      |    Inf | unknown
  390s|     1 |     0 | 58760 |     - |  1251M |   0 |  17k| 602k| 615k|   0 | 27 |  45 | 266 |-1.317809e+03 |      --      |    Inf | unknown
  392s|     1 |     0 | 59271 |     - |  1251M |   0 |  17k| 601k| 615k|   0 | 28 |  45 | 271 |-1.317809e+03 |      --      |    Inf | unknown
  394s|     1 |     0 | 59307 |     - |  1256M |   0 |  17k| 601k| 615k|   0 | 29 |  45 | 276 |-1.317809e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  396s|     1 |     0 | 59336 |     - |  1262M |   0 |  17k| 600k| 615k|   0 | 30 |  45 | 281 |-1.317809e+03 |      --      |    Inf | unknown
  398s|     1 |     0 | 59361 |     - |  1262M |   0 |  17k| 599k| 615k|   0 | 31 |  45 | 286 |-1.317809e+03 |      --      |    Inf | unknown
  439s|     1 |     0 | 59401 |     - |  1268M |   0 |  17k| 599k| 615k|   0 | 32 |  45 | 307 |-1.317809e+03 |      --      |    Inf | unknown
  444s|     1 |     0 | 59454 |     - |  1273M |   0 |  17k| 598k| 615k|   0 | 33 |  46 | 313 |-1.317809e+03 |      --      |    Inf | unknown
  446s|     1 |     0 | 59482 |     - |  1278M |   0 |  17k| 598k| 615k|   0 | 34 |  46 | 318 |-1.317809e+03 |      --      |    Inf | unknown
  465s|     1 |     0 | 59505 |     - |  1280M |   0 |  17k| 597k| 615k|   0 | 35 |  47 | 332 |-1.317809e+03 |      --      |    Inf | unknown
  470s|     1 |     0 | 59530 |     - |  1285M |   0 |  17k| 597k| 615k|   0 | 36 |  47 | 338 |-1.317809e+03 |      --      |    Inf | unknown
  472s|     1 |     0 | 59553 |     - |  1293M |   0 |  17k| 596k| 615k|   0 | 37 |  47 | 343 |-1.317809e+03 |      --      |    Inf | unknown
  475s|     1 |     0 | 59844 |     - |  1293M |   0 |  17k| 595k| 615k|   0 | 38 |  48 | 349 |-1.317763e+03 |      --      |    Inf | unknown
  495s|     1 |     0 | 60324 |     - |  1294M |   0 |  17k| 591k| 615k|   0 | 39 |  48 | 362 |-1.317659e+03 |      --      |    Inf | unknown
  502s|     1 |     0 | 60645 |     - |  1295M |   0 |  17k| 590k| 615k|   0 | 40 |  50 | 369 |-1.317659e+03 |      --      |    Inf | unknown
  506s|     1 |     0 | 60708 |     - |  1296M |   0 |  17k| 590k| 615k|   0 | 41 |  53 | 375 |-1.317659e+03 |      --      |    Inf | unknown
  511s|     1 |     0 | 60741 |     - |  1302M |   0 |  17k| 589k| 615k|   0 | 42 |  54 | 381 |-1.317659e+03 |      --      |    Inf | unknown
  520s|     1 |     0 | 60765 |     - |  1311M |   0 |  17k| 589k| 615k|   0 | 43 |  56 | 390 |-1.317659e+03 |      --      |    Inf | unknown
  531s|     1 |     0 | 60799 |     - |  1311M |   0 |  17k| 588k| 615k|   0 | 44 |  56 | 399 |-1.317659e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  537s|     1 |     0 | 60846 |     - |  1317M |   0 |  17k| 588k| 615k|   0 | 45 |  58 | 407 |-1.317659e+03 |      --      |    Inf | unknown
  542s|     1 |     0 | 61115 |     - |  1323M |   0 |  17k| 588k| 615k|   0 | 46 |  58 | 414 |-1.317593e+03 |      --      |    Inf | unknown
  557s|     1 |     0 | 61248 |     - |  1329M |   0 |  17k| 587k| 616k|   0 | 47 |  58 | 429 |-1.317593e+03 |      --      |    Inf | unknown
  559s|     1 |     0 | 61276 |     - |  1334M |   0 |  17k| 586k| 616k|   0 | 48 |  59 | 434 |-1.317593e+03 |      --      |    Inf | unknown
  564s|     1 |     0 | 61305 |     - |  1343M |   0 |  17k| 586k| 616k|   0 | 49 |  59 | 441 |-1.317593e+03 |      --      |    Inf | unknown
  572s|     1 |     0 | 61344 |     - |  1348M |   0 |  17k| 586k| 616k|   0 | 50 |  61 | 451 |-1.317593e+03 |      --      |    Inf | unknown
  588s|     1 |     0 | 61373 |     - |  1353M |   0 |  17k| 585k| 616k|   0 | 51 |  62 | 464 |-1.317574e+03 |      --      |    Inf | unknown
  593s|     1 |     0 | 61406 |     - |  1358M |   0 |  17k| 585k| 616k|   0 | 52 |  64 | 470 |-1.317574e+03 |      --      |    Inf | unknown
  609s|     1 |     0 | 61419 |     - |  1363M |   0 |  17k| 584k| 616k|   0 | 53 |  65 | 484 |-1.317574e+03 |      --      |    Inf | unknown
  614s|     1 |     0 | 61535 |     - |  1372M |   0 |  17k| 582k| 616k|   0 | 54 |  68 | 490 |-1.317574e+03 |      --      |    Inf | unknown
  625s|     1 |     0 | 63707 |     - |  1377M |   0 |  17k| 582k| 616k|   0 | 55 |  70 | 501 |-1.317185e+03 |      --      |    Inf | unknown
  652s|     1 |     0 | 64786 |     - |  1380M |   0 |  17k| 581k| 616k|   0 | 56 |  73 | 517 |-1.317144e+03 |      --      |    Inf | unknown
  675s|     1 |     0 | 71329 |     - |  1387M |   0 |  17k| 580k| 616k|   0 | 57 |  73 | 530 |-1.313464e+03 |      --      |    Inf | unknown
  687s|     1 |     0 | 72094 |     - |  1388M |   0 |  17k| 580k| 616k|   0 | 58 |  77 | 538 |-1.313464e+03 |      --      |    Inf | unknown
  710s|     1 |     0 | 72178 |     - |  1393M |   0 |  17k| 579k| 616k|   0 | 59 |  77 | 553 |-1.313464e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  741s|     1 |     0 | 72770 |     - |  1401M |   0 |  17k| 579k| 616k|   0 | 60 |  79 | 572 |-1.313127e+03 |      --      |    Inf | unknown
  767s|     1 |     0 | 73325 |     - |  1407M |   0 |  17k| 578k| 616k|   0 | 61 |  79 | 589 |-1.312803e+03 |      --      |    Inf | unknown
  777s|     1 |     0 | 74811 |     - |  1416M |   0 |  17k| 578k| 617k|   0 | 62 |  79 | 596 |-1.310875e+03 |      --      |    Inf | unknown
  792s|     1 |     0 | 75361 |     - |  1417M |   0 |  17k| 578k| 617k|   0 | 63 |  81 | 608 |-1.310875e+03 |      --      |    Inf | unknown
  816s|     1 |     0 | 75491 |     - |  1422M |   0 |  17k| 577k| 617k|   0 | 64 |  82 | 623 |-1.310872e+03 |      --      |    Inf | unknown
  825s|     1 |     0 | 76346 |     - |  1429M |   0 |  17k| 577k| 617k|   0 | 65 |  83 | 630 |-1.310539e+03 |      --      |    Inf | unknown
  830s|     1 |     0 | 77273 |     - |  1429M |   0 |  17k| 576k| 617k|   0 | 66 |  83 | 636 |-1.310287e+03 |      --      |    Inf | unknown
  837s|     1 |     0 | 78080 |     - |  1430M |   0 |  17k| 576k| 617k|   0 | 67 |  85 | 644 |-1.310030e+03 |      --      |    Inf | unknown
  853s|     1 |     0 | 79596 |     - |  1440M |   0 |  17k| 574k| 617k|   0 | 68 |  85 | 659 |-1.308240e+03 |      --      |    Inf | unknown
  879s|     1 |     0 | 82058 |     - |  1441M |   0 |  17k| 573k| 617k|   0 | 69 |  85 | 674 |-1.307816e+03 |      --      |    Inf | unknown
  900s|     1 |     0 | 83516 |     - |  1441M |   0 |  17k| 573k| 617k|   0 | 70 |  86 | 687 |-1.307414e+03 |      --      |    Inf | unknown
  905s|     1 |     0 | 83790 |     - |  1441M |   0 |  17k| 572k| 617k|   0 | 71 |  86 | 695 |-1.307414e+03 |      --      |    Inf | unknown
  911s|     1 |     0 | 83810 |     - |  1451M |   0 |  17k| 572k| 617k|   0 | 72 |  87 | 701 |-1.307414e+03 |      --      |    Inf | unknown
  913s|     1 |     0 | 83825 |     - |  1456M |   0 |  17k| 571k| 617k|   0 | 73 |  88 | 706 |-1.307414e+03 |      --      |    Inf | unknown
  915s|     1 |     0 | 83840 |     - |  1461M |   0 |  17k| 571k| 618k|   0 | 74 |  88 | 711 |-1.307414e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  919s|     1 |     0 | 83855 |     - |  1467M |   0 |  17k| 570k| 618k|   0 | 75 |  90 | 716 |-1.307414e+03 |      --      |    Inf | unknown
  921s|     1 |     0 | 83867 |     - |  1472M |   0 |  17k| 570k| 618k|   0 | 76 |  91 | 721 |-1.307414e+03 |      --      |    Inf | unknown
  927s|     1 |     0 | 83878 |     - |  1477M |   0 |  17k| 569k| 618k|   0 | 77 |  92 | 727 |-1.307414e+03 |      --      |    Inf | unknown
  931s|     1 |     0 | 83889 |     - |  1489M |   0 |  17k| 568k| 618k|   0 | 78 |  94 | 732 |-1.307414e+03 |      --      |    Inf | unknown
  933s|     1 |     0 | 83901 |     - |  1494M |   0 |  17k| 568k| 618k|   0 | 79 |  94 | 737 |-1.307414e+03 |      --      |    Inf | unknown
  947s|     1 |     0 | 83911 |     - |  1505M |   0 |  17k| 567k| 616k|   0 | 80 |  94 | 747 |-1.307414e+03 |      --      |    Inf | unknown
  949s|     1 |     0 | 83947 |     - |  1505M |   0 |  17k| 567k| 616k|   0 | 81 |  94 | 752 |-1.307414e+03 |      --      |    Inf | unknown
  953s|     1 |     0 | 84014 |     - |  1510M |   0 |  17k| 566k| 616k|   0 | 82 |  95 | 757 |-1.307414e+03 |      --      |    Inf | unknown
  980s|     1 |     0 | 84054 |     - |  1515M |   0 |  17k| 566k| 616k|   0 | 83 |  97 | 787 |-1.307414e+03 |      --      |    Inf | unknown
  982s|     1 |     0 | 84066 |     - |  1518M |   0 |  17k| 565k| 616k|   0 | 84 |  99 | 792 |-1.307414e+03 |      --      |    Inf | unknown
 1009s|     1 |     0 | 84071 |     - |  1523M |   0 |  17k| 565k| 616k|   0 | 85 |  99 | 815 |-1.307414e+03 |      --      |    Inf | unknown
 1015s|     1 |     0 | 84110 |     - |  1528M |   0 |  17k| 565k| 616k|   0 | 86 | 101 | 821 |-1.307222e+03 |      --      |    Inf | unknown
 1045s|     1 |     0 | 84121 |     - |  1532M |   0 |  17k| 565k| 616k|   0 | 87 | 102 | 839 |-1.307222e+03 |      --      |    Inf | unknown
 1059s|     1 |     0 | 85583 |     - |  1537M |   0 |  17k| 564k| 616k|   0 | 88 | 104 | 847 |-1.306170e+03 |      --      |    Inf | unknown
 1069s|     1 |     0 | 86149 |     - |  1546M |   0 |  17k| 563k| 616k|   0 | 89 | 107 | 854 |-1.306170e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 1086s|     1 |     0 | 86163 |     - |  1547M |   0 |  17k| 563k| 616k|   0 | 90 | 109 | 865 |-1.306170e+03 |      --      |    Inf | unknown
 1098s|     1 |     0 | 86171 |     - |  1552M |   0 |  17k| 562k| 616k|   0 | 91 | 109 | 873 |-1.306170e+03 |      --      |    Inf | unknown
 1124s|     1 |     0 | 86722 |     - |  1557M |   0 |  17k| 562k| 615k|   0 | 92 | 110 | 889 |-1.305971e+03 |      --      |    Inf | unknown
 1133s|     1 |     0 | 87059 |     - |  1563M |   0 |  17k| 561k| 616k|   0 | 93 | 111 | 895 |-1.305971e+03 |      --      |    Inf | unknown
 1156s|     1 |     0 | 90926 |     - |  1570M |   0 |  17k| 561k| 616k|   0 | 94 | 113 | 908 |-1.304595e+03 |      --      |    Inf | unknown
 1179s|     1 |     0 | 91522 |     - |  1571M |   0 |  17k| 560k| 616k|   0 | 95 | 113 | 924 |-1.304595e+03 |      --      |    Inf | unknown
 1190s|     1 |     0 | 91542 |     - |  1571M |   0 |  17k| 559k| 616k|   0 | 96 | 113 | 933 |-1.304595e+03 |      --      |    Inf | unknown
 1197s|     1 |     0 | 91551 |     - |  1585M |   0 |  17k| 559k| 616k|   0 | 97 | 115 | 939 |-1.304595e+03 |      --      |    Inf | unknown
 1203s|     1 |     0 | 91565 |     - |  1590M |   0 |  17k| 559k| 616k|   0 | 98 | 115 | 946 |-1.304595e+03 |      --      |    Inf | unknown
 1226s|     1 |     0 | 92931 |     - |  1591M |   0 |  17k| 558k| 616k|   0 | 99 | 118 | 958 |-1.304022e+03 |      --      |    Inf | unknown
 1248s|     1 |     0 | 93412 |     - |  1591M |   0 |  17k| 558k| 616k|   0 |100 | 120 | 969 |-1.304022e+03 |      --      |    Inf | unknown
 1272s|     1 |     0 | 93433 |     - |  1604M |   0 |  17k| 558k| 616k|   0 |101 | 121 | 981 |-1.304022e+03 |      --      |    Inf | unknown
 1280s|     1 |     0 | 93445 |     - |  1604M |   0 |  17k| 557k| 616k|   0 |102 | 122 | 987 |-1.304022e+03 |      --      |    Inf | unknown
 1311s|     1 |     0 | 93454 |     - |  1609M |   0 |  17k| 557k| 616k|   0 |103 | 122 |1002 |-1.304022e+03 |      --      |    Inf | unknown
 1323s|     1 |     0 | 93464 |     - |  1614M |   0 |  17k| 556k| 616k|   0 |104 | 124 |1010 |-1.304022e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 1334s|     1 |     0 | 93470 |     - |  1620M |   0 |  17k| 556k| 616k|   0 |105 | 125 |1016 |-1.304022e+03 |      --      |    Inf | unknown
 1353s|     1 |     0 | 93482 |     - |  1625M |   0 |  17k| 556k| 616k|   0 |106 | 126 |1029 |-1.304022e+03 |      --      |    Inf | unknown
 1369s|     1 |     0 | 93507 |     - |  1636M |   0 |  17k| 554k| 616k|   0 |107 | 127 |1039 |-1.304022e+03 |      --      |    Inf | unknown
 1376s|     1 |     0 | 93518 |     - |  1642M |   0 |  17k| 553k| 616k|   0 |108 | 128 |1045 |-1.304022e+03 |      --      |    Inf | unknown
 1387s|     1 |     0 | 93528 |     - |  1653M |   0 |  17k| 553k| 617k|   0 |109 | 129 |1052 |-1.304022e+03 |      --      |    Inf | unknown
 1427s|     1 |     0 | 93534 |     - |  1659M |   0 |  17k| 553k| 617k|   0 |110 | 131 |1070 |-1.304022e+03 |      --      |    Inf | unknown
 1461s|     1 |     0 | 93557 |     - |  1665M |   0 |  17k| 553k| 617k|   0 |111 | 132 |1087 |-1.304022e+03 |      --      |    Inf | unknown
 1480s|     1 |     0 | 98327 |     - |  1672M |   0 |  17k| 552k| 617k|   0 |112 | 132 |1098 |-1.301492e+03 |      --      |    Inf | unknown
 1505s|     1 |     0 | 99017 |     - |  1673M |   0 |  17k| 552k| 617k|   0 |113 | 134 |1111 |-1.301492e+03 |      --      |    Inf | unknown
 1526s|     1 |     0 | 99912 |     - |  1688M |   0 |  17k| 551k| 617k|   0 |114 | 134 |1124 |-1.301398e+03 |      --      |    Inf | unknown
 1540s|     1 |     0 |103125 |     - |  1691M |   0 |  17k| 550k| 617k|   0 |115 | 135 |1133 |-1.300114e+03 |      --      |    Inf | unknown
 1602s|     1 |     0 |106027 |     - |  1691M |   0 |  17k| 550k| 617k|   0 |116 | 136 |1156 |-1.299787e+03 |      --      |    Inf | unknown
 1645s|     1 |     0 |106651 |     - |  1698M |   0 |  17k| 549k| 617k|   0 |117 | 138 |1174 |-1.299787e+03 |      --      |    Inf | unknown
 1654s|     1 |     0 |109690 |     - |  1704M |   0 |  17k| 549k| 617k|   0 |118 | 141 |1180 |-1.299380e+03 |      --      |    Inf | unknown
 1709s|     1 |     0 |109711 |     - |  1709M |   0 |  17k| 549k| 618k|   0 |119 | 143 |1208 |-1.299380e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 1729s|     1 |     0 |109731 |     - |  1717M |   0 |  17k| 548k| 618k|   0 |120 | 144 |1224 |-1.299380e+03 |      --      |    Inf | unknown
 1757s|     1 |     0 |109758 |     - |  1722M |   0 |  17k| 548k| 618k|   0 |121 | 144 |1239 |-1.299380e+03 |      --      |    Inf | unknown
 1787s|     1 |     0 |113610 |     - |  1727M |   0 |  17k| 548k| 618k|   0 |122 | 146 |1254 |-1.298209e+03 |      --      |    Inf | unknown
 1817s|     1 |     0 |114224 |     - |  1730M |   0 |  17k| 547k| 618k|   0 |123 | 146 |1269 |-1.298192e+03 |      --      |    Inf | unknown
 1836s|     1 |     0 |114246 |     - |  1737M |   0 |  17k| 547k| 618k|   0 |124 | 146 |1280 |-1.298192e+03 |      --      |    Inf | unknown
 1865s|     1 |     0 |114276 |     - |  1746M |   0 |  17k| 546k| 618k|   0 |125 | 146 |1296 |-1.298192e+03 |      --      |    Inf | unknown
 1892s|     1 |     0 |122913 |     - |  1754M |   0 |  17k| 545k| 618k|   0 |126 | 147 |1311 |-1.293826e+03 |      --      |    Inf | unknown
 1926s|     1 |     0 |123740 |     - |  1754M |   0 |  17k| 545k| 618k|   0 |127 | 148 |1331 |-1.293826e+03 |      --      |    Inf | unknown
 1936s|     1 |     0 |123779 |     - |  1764M |   0 |  17k| 545k| 618k|   0 |128 | 149 |1340 |-1.293826e+03 |      --      |    Inf | unknown
 1940s|     1 |     0 |123797 |     - |  1769M |   0 |  17k| 544k| 618k|   0 |129 | 150 |1345 |-1.293826e+03 |      --      |    Inf | unknown
 1945s|     1 |     0 |123809 |     - |  1774M |   0 |  17k| 544k| 618k|   0 |130 | 151 |1350 |-1.293826e+03 |      --      |    Inf | unknown
 1950s|     1 |     0 |123822 |     - |  1781M |   0 |  17k| 543k| 619k|   0 |131 | 151 |1358 |-1.293826e+03 |      --      |    Inf | unknown
 1955s|     1 |     0 |123833 |     - |  1788M |   0 |  17k| 543k| 619k|   0 |132 | 152 |1364 |-1.293826e+03 |      --      |    Inf | unknown
 1978s|     1 |     0 |123848 |     - |  1794M |   0 |  17k| 543k| 619k|   0 |133 | 155 |1381 |-1.293711e+03 |      --      |    Inf | unknown
 2014s|     1 |     0 |123858 |     - |  1803M |   0 |  17k| 540k| 619k|   0 |134 | 156 |1405 |-1.293711e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 2036s|     1 |     0 |123874 |     - |  1808M |   0 |  17k| 540k| 619k|   0 |135 | 156 |1419 |-1.293711e+03 |      --      |    Inf | unknown
 2042s|     1 |     0 |123887 |     - |  1825M |   0 |  17k| 539k| 619k|   0 |136 | 156 |1425 |-1.293711e+03 |      --      |    Inf | unknown
 2049s|     1 |     0 |124765 |     - |  1831M |   0 |  17k| 539k| 619k|   0 |137 | 156 |1431 |-1.293711e+03 |      --      |    Inf | unknown
 2075s|     1 |     0 |124970 |     - |  1831M |   0 |  17k| 538k| 616k|   0 |138 | 158 |1447 |-1.293711e+03 |      --      |    Inf | unknown
 2099s|     1 |     0 |124995 |     - |  1838M |   0 |  17k| 538k| 616k|   0 |139 | 158 |1463 |-1.293711e+03 |      --      |    Inf | unknown
 2107s|     1 |     0 |125007 |     - |  1844M |   0 |  17k| 538k| 616k|   0 |140 | 160 |1468 |-1.293711e+03 |      --      |    Inf | unknown
 2116s|     1 |     0 |125133 |     - |  1856M |   0 |  17k| 537k| 616k|   0 |141 | 162 |1476 |-1.293711e+03 |      --      |    Inf | unknown
 2130s|     1 |     0 |125188 |     - |  1856M |   0 |  17k| 537k| 616k|   0 |142 | 163 |1484 |-1.293711e+03 |      --      |    Inf | unknown
 2154s|     1 |     0 |125194 |     - |  1870M |   0 |  17k| 536k| 617k|   0 |143 | 165 |1494 |-1.293711e+03 |      --      |    Inf | unknown
 2166s|     1 |     0 |125206 |     - |  1875M |   0 |  17k| 536k| 617k|   0 |144 | 165 |1502 |-1.293711e+03 |      --      |    Inf | unknown
 2184s|     1 |     0 |125217 |     - |  1891M |   0 |  17k| 535k| 617k|   0 |145 | 166 |1512 |-1.293711e+03 |      --      |    Inf | unknown
 2192s|     1 |     0 |125233 |     - |  1897M |   0 |  17k| 535k| 617k|   0 |146 | 167 |1518 |-1.293711e+03 |      --      |    Inf | unknown
 2205s|     1 |     0 |125261 |     - |  1902M |   0 |  17k| 534k| 617k|   0 |147 | 168 |1526 |-1.293711e+03 |      --      |    Inf | unknown
 2247s|     1 |     0 |125300 |     - |  1902M |   0 |  17k| 534k| 617k|   0 |148 | 172 |1545 |-1.293711e+03 |      --      |    Inf | unknown
 2263s|     1 |     0 |125330 |     - |  1914M |   0 |  17k| 535k| 618k|   0 |149 | 174 |1553 |-1.293711e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 2287s|     1 |     0 |125351 |     - |  1919M |   0 |  17k| 534k| 618k|   0 |150 | 174 |1566 |-1.293711e+03 |      --      |    Inf | unknown
 2294s|     1 |     0 |125371 |     - |  1929M |   0 |  17k| 534k| 617k|   0 |151 | 174 |1572 |-1.293711e+03 |      --      |    Inf | unknown
